District_Division,2022-23_Area_Acres,2022-23_Hectors,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2022-23_Production_MT,2023-24_Area_Acres,2023-24_Hectors,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,2023-24_Production_MT
Barguna,127270,51526,30.61,2.822,145417,129555,52430,31.5,2.905,152332
Barishal,118746,48075,26.21,2.417,116175,122252,49475,31.1,2.869,141920
Bhola,353190,142992,32.23,2.972,424909,399044,161491,32.92,3.036,490352
Jhalokathi,28946,11719,29.97,2.763,32382,29150,11797,32.56,3.003,35428
Patuakhali,256036,103658,29.01,2.675,277253,264276,106951,31.52,2.907,310936
Pirojpur,23470,9502,29.22,2.694,25599,25087,10153,32.1,2.961,30059
Barishal Division,907658,367473,30.16,2.78,1021735,969364,392296,35.77,2.96,1161028
Bandarban,25004,10123,31.11,2.868,29036,23170,9377,32.1,2.961,27762
Brahmanbaria,120995,48986,33.11,3.053,149539,118721,48046,33.76,3.114,149609
Chandpur,57022,23076,25.95,2.394,55234,65394,26465,30.75,2.836,75060
Chattogram,376788,152546,29.35,2.706,412793,361997,146498,33.63,3.102,454421
Cumilla,276881,112098,29.01,2.675,299825,272324,110208,32.75,3.021,332908
Cox’s Bazar,174942,70827,32.24,2.972,210531,168354,68132,33.75,3.113,212092
Feni,147318,59643,34.42,3.173,189275,151519,61319,34.8,3.21,196822
Khagrachari,63976,25901,36.53,3.368,87236,63821,25828,36.91,3.404,87930
Laxmipur,171951,69616,30.25,2.789,194159,169696,68675,31.88,2.94,201938
Noakhali,312971,126709,32.38,2.985,378276,318842,129033,32.67,3.013,388822
Rangamati,23557,9537,31.86,2.937,28015,23303,9431,32.5,2.998,28270
Chattogram Division,1751404,709061,31.11,2.868,2033918,1737140,703011,33.24,3.066,2155635
Dhaka,6768,2740,28.56,2.633,7215,7323,2964,31.15,2.873,8515
Faridpur,165500,67004,34.58,3.188,213624,162982,65958,35.5,3.274,215971
Gazipur,96717,39157,28.73,2.649,103721,94918,38413,32.8,3.025,116212
Gopalgonj,26585,10763,26.35,2.429,26148,27666,11196,31.6,2.915,32633
Kishoregonj,185524,75111,32.48,2.995,224928,157021,63546,33.8,3.118,198108
Madaripur,24253,9819,33.31,3.071,30156,27075,10957,35.85,3.307,36231
Manikgonj,23636,9569,31.51,2.905,27800,25816,10448,32.56,3.003,31376
Munsigonj,3914,1584,27.75,2.56,4054,5287,2139,32.4,2.988,6394
Narayangonj,4275,1731,29.9,2.757,4771,4236,1714,31.25,2.882,4941
Narsingdi,80934,32767,31.23,2.879,94347,84094,34032,33.26,3.068,104404
Rajbari,107250,43421,29.4,2.711,117699,101172,40944,32.2,2.97,121603
Shariatpur,5436,2201,28.2,2.6,5722,10042,4064,31.86,2.939,11942
Tangail,191814,77657,30.4,2.803,217661,192707,79374,32.53,3,233996
Dhaka Division,922606,373524,31.3,2.886,1077847,900339,364362,33.4,3.08,1122327
Bagerhat,81473,32985,30.63,2.824,93151,84617,34244,32.35,2.984,102178
Chuadanga,82299,33319,32.18,2.967,98857,76838,31096,33.1,3.053,94936
Jashore,344093,139309,31.5,2.904,404589,319958,129485,32.47,2.995,387795
Jhenaidah,255067,103266,36.35,3.351,346087,235658,95369,37.2,3.431,327230
Khulna,178927,72440,31.23,2.879,208581,177105,71673,33.5,3.09,221464
Kushtia,214492,86839,33.7,3.107,269816,179267,72548,34.1,3.145,228182
Magura,149545,60545,29.99,2.765,167408,122907,49740,31.52,2.907,144607
Meherpur,63448,25687,33.19,3.06,78605,61109,24730,34.56,3.188,78833
Narail,84555,34233,32.46,2.993,102451,67546,27335,34.5,3.182,86985
Satkhira,211700,85709,33.69,3.106,266225,201652,81607,34.44,3.177,259235
Khulna Division,1665599,674332,32.74,3.019,2035771,1526657,617830,33.89,3.126,1931445
Jamalpur,256638,103860,28.25,2.606,270624,182241,73752,32.8,3.025,223124
Mymensingh,556238,225106,30.48,2.811,632853,517850,209571,31.42,2.898,607348
Netrokona,289642,117217,31.62,2.916,341862,241882,97888,32.5,2.998,293437
Sherpur,166701,67463,30.81,2.842,191715,171901,69567,33.26,3.068,213416
Mymensingh Division,1269219,513646,30.33,2.798,1437055,1113874,450779,32.16,2.967,1337325
Bogura,438492,177455,33.65,3.104,550775,418590,169401,34.33,3.166,536401
Joypurhat,157045,63555,32.17,2.967,188583,155168,62796,33.15,3.058,192005
Naogaon,429024,173694,31.21,2.878,499807,430670,174290,33.67,3.106,541271
Natore,179029,72481,33.04,3.046,220796,171501,69406,34.62,3.193,221626
Chapai Nawabganj,127098,51436,35.44,3.269,168136,129251,52307,36.4,3.357,175615
Pabna,134487,54426,30.71,2.833,154166,129291,52323,31.6,2.915,152505
Rajshahi,191708,77583,35.64,3.287,255038,196134,79374,36.1,3.33,264294
Sirajganj,169725,68715,33.61,3.099,212932,170288,68915,35.45,3.27,225334
Rajshahi Division,1826608,739346,33,3.044,2250233,1800893,728811,34.35,3.168,2309052
Dinajpur,629303,254675,30.75,2.836,722324,613351,248220,32.55,3.002,745225
Gaibandha,296434,119965,28.15,2.596,311483,297589,120433,31.25,2.882,347132
Kurigram,271892,110033,32.75,3.021,332380,243877,98696,34.5,3.182,314063
Lalmonirhat,211022,85434,33.8,3.116,266239,191694,77577,34.2,3.154,244716
Nilphamari,278440,112683,30.31,2.796,315025,221921,89810,33.47,3.087,277256
Panchagarh,245607,99396,34.44,3.177,315741,210753,85291,35.3,3.256,277700
Rangpur,406463,164493,30.3,2.795,459717,346737,140323,33.45,3.085,432936
Thakurgaon,338160,136907,31.65,2.918,399506,324326,131253,33,3.044,399506
Rangpur Division,2677321,1083587,31.24,2.882,3122415,2450248,991602,33.22,3.064,3038533
