District_Division,2022-23_Area_Acres,2022-23_Hectors,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2022-23_Production_MT,2023-24_Area_Acres,2023-24_Hectors,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,2023-24_Production_MT
Barguna,119982,48556,25.18,2.323,112771,105205,42576,26.25,2.421,103084
Barishal,16344,6614,26.53,2.447,16185,14157,5729,27.8,2.564,14691
Bhola,170214,68885,29.99,2.766,190546,171240,69300,29,2.675,185366
Jhallokati,24160,9777,31.03,2.862,27984,26075,10552,30.8,2.841,29978
Patuakhali,36336,14705,24.83,2.29,33678,38746,15680,26.39,2.434,38167
Pirojpur,27953,11312,27.49,2.536,28683,35488,14362,26.95,2.486,35700
Barishal Division,394989,159850,27.8,2.564,409847,390911,158200,27.89,2.573,406987
Bandarban,8500,3440,30.03,2.77,9528,5991,2425,31.12,2.87,6959
Brahmanbaria,24287,9829,33.2,3.062,30098,37741,15274,33.55,3.095,47264
Chandpur,25185,10192,26.03,2.401,24471,26866,10873,30.99,2.858,31078
Chattogram,69275,28035,35.89,3.31,92807,52003,21045,35.95,3.316,69784
Cumilla,181350,73391,30.88,2.848,209036,174475,70609,31.33,2.89,204043
Cox’s Bazar,5819,2355,37.62,3.47,8171,6113,2474,37.44,3.453,8543
Feni,19976,8084,27.22,2.511,20297,16729,6770,29.27,2.7,18278
Khagrachari,4009,1622,31.77,2.93,4754,3676,1488,32.41,2.989,4447
Lakshmipur,49665,20099,28.6,2.638,53020,40058,16211,27.8,2.564,41568
Noakhali,81027,32791,29.08,2.682,87953,74109,29992,28.96,2.671,80112
Rangamati,1743,705,32.12,2.963,2089,1706,690,33.51,3.091,2134
Chattogram Division,470835,190544,30.85,2.846,542224,439467,177850,31.35,2.891,514210
Dhaka,1578,639,30.29,2.794,1785,1537,622,31.29,2.886,1795
Faridpur,6623,2680,31.35,2.892,7750,6318,2557,32.7,3.016,7712
Gazipur,3485,1410,35.19,3.246,4578,3333,1349,36.75,3.39,4572
Gopalganj,3592,1454,31.11,2.869,4171,2805,1135,32.22,2.972,3374
Kishoreganj,58418,23641,30.1,2.776,65636,40548,16410,31.35,2.892,47450
