District_Division,2022-23_Area_Acres,2022-23_Hectors,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2022-23_Production_MT,2023-24_Area_Acres,2023-24_Hectors,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,2023-24_Production_MT
Barguna,1099,445,16.8,1.55,689,960,389,17.5,1.614,627
Barishal,13842,5602,16.5,1.522,8525,7109,2877,17.3,1.596,4591
Bhola,32770,13262,15.6,1.439,19082,7759,3140,17.5,1.614,5068
Jhalokathi,2852,1154,17.6,1.623,1874,3369,1363,18.1,1.669,2276
Patuakhali,11266,4559,14.7,1.356,6182,9671,3914,18.2,1.679,6570
Pirojpur,5253,2126,16.22,1.496,3180,4864,1968,18.3,1.688,3323
Barishal Division,67082,27148,15.79,1.456,39533,33732,13651,17.83,1.645,22455
Bandarban,21469,8688,18.6,1.716,14906,20134,8148,17.33,1.598,13024
Brahmanbaria,14,6,15.85,1.462,8,0,0,0,0,0
Chandpur,745,301,15.53,1.432,432,1465,593,16.1,1.485,880
Chattogram,20634,8350,16.2,1.494,12477,19716,7979,17.5,1.614,12879
Cumilla,3167,1282,13.63,1.257,1611,0,0,0,0,0
Cox�s Bazar,170,69,13.5,1.245,86,159,64,15.73,1.451,93
Feni,5910,2392,13.51,1.246,2980,2754,1115,14.75,1.36,1516
Khagrachhari,3871,1567,14.08,1.299,2034,3606,1459,15.07,1.39,2028
Lakshmipur,1821,737,15.07,1.39,1024,1600,648,17.29,1.595,1033
Noakhali,8375,3389,15,1.384,4689,11245,4551,14,1.291,5876
Rangamati,11887,4811,16.2,1.494,7188,11153,4514,16.53,1.525,6882
Chattogram Division,78063,31592,16.28,1.502,47437,71832,29070,16.49,1.521,44213
Dhaka,207,84,17.9,1.651,138,50,20,14.1,1.301,26
Faridpur,8401,3400,13.78,1.271,4321,7890,3193,13.21,1.218,3891
Gazipur,0,0,0,0,0,0,0,0,0,0
Gopalganj,1651,668,13.6,1.254,838,891,361,15.41,1.421,513
Kishoreganj,89,36,16.64,1.535,55,24,10,19.01,1.753,17
Madaripur,840,340,14.82,1.367,465,502,203,13.2,1.218,247
Manikganj,946,383,13.24,1.221,468,957,387,10.34,0.954,369
Munshiganj,0,0,0,0,0,0,0,0,0,0
Narayanganj,0,0,0,0,0,0,0,0,0,0
Narsingdi,0,0,0,0,0,0,0,0,0,0
Rajbari,2659,1076,13.45,1.241,1335,2495,1010,16.37,1.51,1525
Shariatpur,2005,811,15.2,1.402,1138,6894,2790,17.04,1.572,4385
Tangail,1705,690,13.77,1.27,876,1573,637,12.98,1.197,762
Dhaka Division,18503,7488,13.95,1.287,9634,21276,8610,14.78,1.363,11735
Bagerhat,240,97,13.33,1.23,119,223,90,14.22,1.312,118
Chuadanga,0,0,0,0,0,0,0,0,0,0
Jessore,0,0,0,0,0,0,0,0,0,0
Jhenaidah,0,0,0,0,0,0,0,0,0,0
Khulna,6500,2631,14.5,1.337,3518,7943,3214,14.36,1.325,4258
Kushtia,968,392,12.73,1.174,460,815,330,11.95,1.102,364
Magura,437,177,13.97,1.289,228,639,259,14.5,1.337,346
Meherpur,0,0,0,0,0,0,0,0,0,0
Narail,9650,3905,16.05,1.48,5781,10412,4214,17,1.568,6607
Satkhira,0,0,0,0,0,0,0,0,0,0
Khulna,17795,7202,15.22,1.403,10107,20032,8107,15.64,1.442,11692
Jamalpur,181,73,16.64,1.535,112,131,53,16.73,1.543,82
Mymensinghh,0,0,0,0,0,0,0,0,0,0
Netrokona,26,11,17.19,1.586,17,9,4,15.25,1.407,5
Sherpur,25,10,8.96,0.826,8,14,6,16.71,1.541,9
Mymensinghh Division,232,94,15.87,1.464,137,154,62,16.51,1.523,96
Bogura,0,0,0,0,0,0,0,0,0,0
Joypurhat,0,0,0,0,0,0,0,0,0,0
Naogaon,0,0,0,0,0,0,0,0,0,0
Natore,172,69,14.15,1.305,91,480,194,15.53,1.432,278
Chapai Nawabganj,4698,1901,14.04,1.295,2462,5301,2145,15.25,1.407,3018
Pabna,13568,5491,12.31,1.135,6234,5807,2350,14.25,1.314,3089
Rajshahi,330,134,19.33,1.783,238,345,140,18.2,1.679,234
Sirajganj,5396,2184,17.95,1.656,3615,6147,2488,18.1,1.669,4153
Rajshahi Division,24164,9779,14.01,1.293,12641,18080,7317,15.96,1.472,10772
Dinajpur,0,0,0,0,0,0,0,0,0,0
Gaibandha,7,3,14.61,1.348,4,0,0,0,0,0
Kurigram,360,146,14.48,1.336,195,0,0,0,0,0
Lalmonirhat,0,0,0,0,0,0,0,0,0,0
Nilphamari,0,0,0,0,0,0,0,0,0,0
Panchagarh,74,30,17.92,1.653,49,74,30,18.16,1.675,50
Rangpur,0,0,0,0,0,0,0,0,0,0
Thakurgaon,0,0,0,0,0,0,0,0,0,0
Rangpur Divison,441,178,15.06,1.389,248,74,30,18.16,1.675,50
Habiganj,193,78,17.49,1.613,126,191,77,18.25,1.683,130
Maulvibazar,433,175,18.52,1.708,299,266,108,18.3,1.688,182
Sunamganj,922,373,18.55,1.711,638,478,193,18.25,1.683,326
Sylhet,2093,847,17.26,1.592,1348,1947,788,18.1,1.669,1315
Sylhet Division,3641,1473,17.75,1.637,2412,2882,1166,18.15,1.674,1953
Bangladesh,209921,84954,15.59,1.438,122148,168062,68014,16.41,1.514,102966
