District_Division,2022-23_Area_Acres,2022-23_Hectors,2022-23_Yield_Acre_Maund,2022-23_Yield_Hector_MT,2022-23_Production_MT,2023-24_Area_Acres,2023-24_Hectors,2023-24_Yield_Acre_Maund,2023-24_Yield_Hector_MT,2023-24_Production_MT
Barguna,121081,49001,25.1,2.315,113461,106300,43019,26.19,2.416,103919
Barishal,30186,12216,21.93,2.023,24711,21266,8606,24.29,2.24,19281
Bhola,202984,82146,27.67,2.552,209628,179246,72540,28.51,2.63,190784
Jhalokathi,27012,10932,29.61,2.731,29857,29444,11916,29.35,2.707,32254
Patuakhali,47602,19264,22.43,2.069,39859,48432,19600,24.76,2.284,44758
Pirojpur,33206,13438,25.71,2.371,31864,40352,16330,25.91,2.39,39023
Barishal Division,462071,186998,26.05,2.403,449380,425040,172011,27.1,2.5,430020
Bandarban,29969,12128,21.84,2.015,24434,30231,12234,23.29,2.148,26281
Brahmanbaria,24301,9834,33.19,3.061,30106,37814,15303,33.57,3.096,47383
Chandpur,25930,10494,25.73,2.373,24902,28733,11628,30.43,2.807,32637
Chattogram,89909,36386,31.37,2.894,105284,85702,34683,32.42,2.99,103713
Cumilla,184517,74673,30.58,2.821,210647,194346,78651,32.37,2.986,234839
Cox�s Bazar,5989,2424,36.94,3.407,8257,6272,2538,36.89,3.403,8636
Feni,25886,10476,24.09,2.222,23277,19580,7924,27.28,2.516,19940
Khagrachhari,7880,3189,23.08,2.129,6789,7341,2971,23.96,2.21,6565
Lakshmipur,51486,20836,28.12,2.594,54045,41658,16859,27.4,2.527,42601
Noakhali,89402,36180,27.76,2.561,92642,85354,34542,26.99,2.489,85988
Rangamati,13630,5516,18.24,1.682,9277,12859,5204,18.78,1.732,9016
Chattogram Division,548898,222136,28.78,2.655,589661,549890,222538,30.09,2.775,617600
Dhaka,1785,723,28.85,2.661,1923,1587,642,30.75,2.836,1821
Faridpur,15024,6080,21.53,1.985,12072,14208,5750,21.88,2.018,11602
Gazipur,3485,1410,35.19,3.246,4578,3412,1381,36.93,3.406,4703
Gopalganj,5243,2122,25.6,2.361,5009,3820,1546,28.47,2.626,4060
Kishoreganj,58507,23677,30.08,2.774,65691,42595,17238,31.73,2.927,50455
Madaripur,3112,1259,21.84,2.015,2537,3284,1329,22.77,2.1,2792
