Sl. No.,Species,Production (Metric Ton),%
1,Rui (Labeo rohita),13,0.10
2,Catla (Catla catla),22,0.17
3,Mrigal (Cirrhinus cirrhosus),7,0.06
4,Kalibaus (Labeo calbasu),14,0.11
5,Bata (Labeo bata),47,0.37
6,Ghania (Labeo gonius),0,0.00
7,Silver Carp (Hypophthalmichthys molitrix),0.11,0.00
8,Grass Carp (Ctenopharyngodon idella),7,0.06
9,Common Carp (Cyprinus carpio),0,0.00
10,Other Exotic Carp,0.03,0.00
11,Pangas (Pangasius pangasius),0,0.00
12,"Boal/Air/Guizza Air
(Wallago attu/ Sperata aor / Sperata seenghala)",215,1.69
13,"Shol/Gazar/Taki
(Channa striatus/C. marulius/C. punctatus)",32,0.25
14,Koi (Anabas testudineus),0.01,0.00
15,Shingi/Magur (Heteropneustes fossilis/Clarias batrachus),2,0.02
16,Big Prawn,0,0.00
17,Small Prawn,149,1.17
18,Tilapia/Nilotica (Oreochromis mossambicus/ O. niloticus),21,0.17
19,Sarpunti (Puntius sarana),4,0.03
20,Other Fish,12163,95.80
T O T A L,None,12696,100
