District,Area (Ha),None,None_1,None_2,Shrimp/ Prawn Production (MT),None_3,None_4,None_5,Crab Produc -tion (MT),Fish Produc- tion (MT),Total Produc- tion (MT)
None,Bagda,Galda,Crab,Total,Bagda,Galda,"Other
shrimp/
prawn","Total
shrimp/
prawn",None,None,None
Dhaka,0,1.26,0,1.26,0,0.18,0,0.18,0,5.18,5.36
Faridpur,0,9.40,0,9.40,0,5.07,0,5.07,0,5.85,10.92
Gazipur,0,1.60,0,1.60,0,0.7,0,0.70,0,5.10,5.80
Gopalganj,0,1467.45,0,1467.45,0,858.03,0,858.03,0,1470.54,2328.57
Kishoreganj,0,0,0,0,0,0,0,0,0,0,0
Madaripur,0,17.46,0,17.46,0,10.74,0,10.74,0,65.76,76.50
Manikganj,0,1.00,0,1.00,0,0.77,0,0.77,0,0.50,1.27
Munsiganj,0,1.22,0,1.22,0,0.96,0,0.96,0,3.70,4.66
Narayanganj,0,0,0,0,0,0,0,0,0,0,0
Narsingdi,0,0,0,0,0,0,0,0,0,0,0
Rajbari,0,0,0,0,0,0,0,0,0,0,0
Shariatpur,0,13.00,0,13.00,0,7.02,0,7.02,0,46.35,53.37
Tangail,0,0,0,0,0,0,0,0,0,0,0
Dhaka Div.,0,1512.39,0,1512.39,0,883.47,0,883.47,0,1602.98,2486.45
Jamalpur,0,0.50,0,0.50,0,0.26,0,0.26,0,2.00,2.26
Mymensingh,0,0,0,0,0,0,0,0,0,0,0
Netrakona,0,0,0,0,0,0,0,0,0,0,0
Sherpur,0,0,0,0,0,0,0,0,0,0,0
Mymensingh Div.,0,0.50,0,0.50,0,0.26,0,0.26,0,2.00,2.26
Bagerhat,52551,20173.30,1309.5,74033.80,19431.89,20268.09,2535.45,42235.43,3058.00,33475.68,78769.11
Chuadanga,0,0,0,0,0,0,0,0,0,0,0
Jashore,1278,15634.00,65,16977.00,367.88,9936.27,89.94,10394.09,0.24,22551.23,32945.56
Jhenaidah,0,0,0,0,0,0,0,0,0,0,0
Khulna,32998.33,19016.44,7325,59339.77,11706.34,12635.93,1952.85,26295.12,5203.00,42747.00,74245.12
Kushtia,0,1.00,0,1.00,0,0.34,0,0.34,0,0.50,0.84
Magura,0,11.16,0,11.16,0,3.59,0,3.59,0,38.66,42.25
Meherpur,0,3.60,0,3.60,0,0.88,0,0.88,0,0,0.88
Narail,0,2327.00,0,2327.00,0,2017.76,220.00,2237.76,0,2300.00,4537.76
Satkhira,58294,9389.00,321,68004.00,26214.99,10204.01,4493.00,40912.00,1965.00,40938.00,83815.00
Khulna Div.,145121.33,66555.50,9020.50,220697.33,57721.10,55066.87,9291.24,122079.21,10226.24,142051.07,274356.52
Barguna,256.50,148.40,8,412.90,103.92,110.67,79.01,293.60,34.24,322.36,650.20
Barishal,0,1017.00,0,1017.00,0,446.40,62.49,508.89,0,2389.00,2897.89
Bhola,22.60,23.40,14,60.00,10.44,14.26,0,24.70,35.34,61.50,121.54
Jhalokati,0,48.30,0,48.30,0,26.71,0,26.71,0,159.30,186.01
Patuakhali,476,709.95,20,1205.95,174.07,496.47,399.70,1070.24,83.96,2389.00,3543.20
Pirojpur,40,1035.00,6.20,1081.20,15.84,644.85,66.00,726.69,25.20,1891.50,2643.39
Barishal Div.,795.10,2982.05,48.20,3825.35,304.27,1739.36,607.20,2650.83,178.74,7212.66,10042.23
Dinajpur,0,4.63,0,4.63,0,1.70,0,1.70,0,13.00,14.70
Gaibandha,0,0,0,0,0,0,0,0,0,0,0
Kurigram,0,5.84,0,5.84,0,1.87,0,1.87,0,19.20,21.07
Lalmonirhat,0,1.06,0,1.06,0,0.60,0,0.60,0,4.30,4.90
Nilphamari,0,1.75,0,1.75,0,0.74,0,0.74,0,5.54,6.28
Panchagarh,0,5.08,0,5.08,0,2.63,0,2.63,0,1.70,4.33
Rangpur,0,4.20,0,4.20,0,1.58,0,1.58,0,0,1.58
Thakurgaon,0,2.96,0,2.96,0,1.37,0,1.37,0,8.41,9.78
Rangpur Div.,0,25.52,0,25.52,0,10.49,0,10.49,0,52.15,62.64
None,Bagda,Galda,Crab,Total,Bagda,Galda,"Other
shrimp/
prawn","Total
shrimp/
prawn",None,None,None
Bogura,0,4.63,0,4.63,0,1.70,0,1.70,0,13.00,14.70
C.Nawabganj,0,0,0,0,0,0,0,0,0,0,0
Joypurhat,0,5.84,0,5.84,0,1.87,0,1.87,0,19.20,21.07
Naogaon,0,1.06,0,1.06,0,0.60,0,0.60,0,4.30,4.90
Natore,0,1.75,0,1.75,0,0.74,0,0.74,0,5.54,6.28
Pabna,0,5.08,0,5.08,0,2.63,0,2.63,0,1.70,4.33
Rajshahi,0,4.20,0,4.20,0,1.58,0,1.58,0,0,1.58
Sirajganj,0,2.96,0,2.96,0,1.37,0,1.37,0,8.41,9.78
Rajshahi Div.,0,25.52,0,25.52,0,10.49,0,10.49,0,52.15,62.64
Bandarban,0,0,0,0,0,0,0,0,0,0,0
Brahmanbaria,0,0,0,0,0,0,0,0,0,0,0
Chandpur,0,37.00,0,37.00,0,24.71,2,26.71,0,97.00,123.71
Chattogram,2010,151.00,0,2161.00,546.31,102.25,90.06,738.62,0,191.00,929.62
Cumilla,0,40.35,0,40.35,0,27.12,2.00,29.12,0,92.00,121.12
Cox’s Bazar,42125,145.00,"286.5
0",42556.50,14963.10,234.01,2535.50,17732.61,2457.02,4886.30,25075.93
Feni,12,30.60,0,42.60,5.22,21.35,0.02,26.59,0,91.13,117.72
Khagrachhari,0,0,0,0,0,0,0,0,0,0,0
Lakshmipur,0,146.90,0,146.90,0,70.68,10.50,81.18,0,96.90,178.08
Noakhali,0,122.50,17.10,139.60,0,81.15,0,81.15,19,312.03,412.18
Rangamati,0,0,0,0,0,0,0,0,0,0,0
Chattogram Div.,44147,673.35,"303.6
0",45123.95,15514.63,561.27,2640.08,18715.98,2476.02,5766.36,26958.36
Habiganj,0,4.82,0,4.82,0,3.12,0,3.12,0,14.89,18.01
Moulvibazar,0,0.47,0,0.47,0,0.25,0.03,0.28,0,0.20,0.48
Sunamganj,0,0,0,0,0,0,0,0,0,0,0
Sylhet,0,0.20,0,0.20,0,0.08,0.01,0.09,0,0,0.09
Sylhet Div.,0,5.49,0,5.49,0,3.45,0.04,3.49,0,15.09,18.58
TOTAL,190063.43,71769.62,9372.30,271205.35,73540,58273.44,12538.56,144352,12881,156751,313984
%,70.08,26.46,3.46,100,23.42,18.56,3.99,45.98,4.10,49.92,100
