Sl no,Name of Comodity,None,Year-2024,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
01,Paddy Aman,Fine,-,-,-,-,-,-,-,-,-,-,-,-,-
02,",,",Medium,-,-,-,-,-,-,-,-,-,-,-,-,-
03,",,",Coarse,-,-,-,-,-,-,-,-,-,-,-,-,-
04,",,",Pajam,-,-,-,-,-,-,-,-,-,-,-,-,-
05,‘’,shugandhi,-,-,-,-,-,-,-,-,-,-,-,-,-
06,Paddy Aus,medium,-,-,-,-,-,-,-,-,-,-,-,-,-
07,",,",coarse,-,-,-,-,-,-,-,-,-,-,-,-,-
08,",,",Pajam,-,-,-,-,-,-,-,-,-,-,-,-,-
09,Paddy Boro,fine,-,-,-,-,-,-,-,-,-,-,-,-,-
10,",,",medium,-,-,-,-,-,-,-,-,-,-,-,-,-
11,‘’,coarse,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Rice Aman,fine,69.16,69.81,70.37,71.23,71.00,70.60,70.93,72.57,72.07,72.46,-,-,71.02
13,",,",medium,54.69,55.59,55.81,56.54,56.73,56.86,57.38,58.64,59.93,60.76,-,-,57.29
14,",,",coarse,48.23,48.94,49.11,49.79,49.91,49.67,50.27,51.26,52.35,52.87,-,-,50.24
15,",,",Pajam,61.73,62.04,61.08,63.37,61.48,61.57,62.87,64.01,65.27,66.20,-,-,62.96
16,Rice Aus,medium,56.03,55.75,56.25,57.25,56.50,56.50,56.60,57.63,58.75,59.25,-,-,57.05
17,",,",coarse,49.11,47.25,47.58,48.25,45.50,45.50,45.50,47.38,49.75,50.06,-,-,47.59
18,‘’,Pajam,71.00,71.00,71.00,71.00,71.00,71.00,71.40,73.50,74.50,74.50,-,-,71.99
19,Rice boro,fine,67.95,68.53,68.77,69.78,68.99,68.19,69.16,70.49,71.25,71.87,-,-,69.50
20,",,",medium,56.92,53.42,57.29,57.81,57.00,56.38,57.74.,59.19,60.12,61.15,-,-,57.70
21,",,",coarse,48.67,47.28,48.53,48.92,48.32,47.98,48.74,49.72,50.84,51.43,-,-,49.04
22,",,",pajam,54.62,55.38,55.17,53.23,52.89,54.21,54.85,56.28,56.91,57.35,-,-,55.09
23,Rice OMS,course,33.40,30.40,31.75,72.67,31.38,31.01,31.10,31.10,30.92,31.10,-,-,35.49
24,Aromatic rice,Chinigura,130.26,140.58,128.34,128.74,128.49,127.87,125.69,125.01,-,-,-,-,129.37
25,“,Kalojira,120.85,118.94,119.83,119.36,119.46,119.85,118.37,117.55,-,-,-,-,119.27
26,“,kataribhog,89.50,89.12,89.60,89.88,90.35,89.89,89.43,89.45,90.01,88.33,-,-,89.56
27,Wheat local,red,43.30,43.58,42.50,40.80,40.89,41.27,41.76,41.38,41.27,41.36,-,-,41.81
28,",,",white,43.93,38.34,41.61,40.81,40.06,40.63,40.39,40.00,39.93,40.35,-,-,40.60
29,Imported,red,44.20,44.02,42.97,42.02,41.53,42.46,41.71,41.32,41.45,41.11,-,-,42.28
30,",,",white,45.13,45.41,44.38,47.36,42.76,43.26,43.09,43.19,43.07,43.06,-,-,44.07
31,Ata,loose,45.98,45.25,42.89,43.83,40.46,41.05,40.75,40.84,41.07,41.36,-,-,42.35
32,",,",Packet,56.69,57.29,55.74,56.64,54.04,53.71,53.04,52.47,52.36,51.99,-,-,54.40
33,flour,loose,60.05,61.91,59.00,58.71,58.30,58.24,57.72,56.97,56.81,56.52,-,-,58.42
34,",,",packet,69.40,67.95,69.44,69.30,69.07,68.98,68.76,68.21,68.05,67.83,-,-,68.70
35,Maize,-,37.48,34.21,38.28,35.53,34.31,34.38,34.94,36.17,.36.72,37.22,-,-,35.93
36,Kalai,mash,133.90,135.58,137.45,136.25,140.05,140.84,141.63,-,145.49,146.78,-,-,139.77
37,",,",mashur,102.14,104.09,110.01,101.90,100.17,99.51,99.70,-,100.04,100.16,-,-,101.97
38,",,",mug,114.87,117.38,126.48,130.30,129.99,125.53,129.08,-,130.81,133.48,-,-,126.42
39,",,",Chola,95.25,99.21,102.99,101.74,100.97,101.81,105.99,-,113.39,118.85,-,-,104.47
40,",,",Motor local,78.03,77.30,87.66,85.46,88.17,89.46,91.89,-,95.75,96.58,-,-,87.81
41,",,",Motor foreign (Dabri),66.81,70.96,75.23,77.42,77.60,77.82,77.61,-,76.82,76.55,-,-,75.20
42,",,",kheshari,78.95,81.69,88.28,83.10,83.58,81.36,84.52,-,83.33,170.64,-,-,83.42
43,Dal,Mash gota,155.52,156.34,158.54,160.18,160.30,160.17,167.18,-,170.37,181.41,-,-,162.14
44,",,",Broken,166.50,167.28,170.27,171.94,173.90,174.56,176.84,143.18,181.85,133.51,-,-,170.77
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
45,",,",Mashur local gota,133.68,133.95,134.29,134.23,133.82,133.53,133.71,99.53,133.67,113.40,-,-,130.39
46,",,",Mashur broken,114.11,114.11,115.61,113.15,115.38,113.94,113.75,129.15,113.66,116.12,-,-,115.63
47,",,",Mashur foreign,116.73,116.36,116.67,115.73,115.88,116.02,115.63,110.16,116.55,165.53,-,-,115.58
48,",,",Mug local,147.75,157.46,165.50,170.46,166.79,161.60,161.86,65.25,163.68,125.20,-,-,155.59
49,",,",Chola gota,97.81,101.14,105.44,105.48,105.32,107.03,111.34,76.73,120.39,129.14,-,-,105.56
50,",,",Chola broken,99.03,101.83,105.07,105.21,106.34,107.98,113.45,83.04,122.49,112.32,-,-,107.36
51,",,",Motor local,97.70,96.59,107.86,105.68,108.34,111.87,110.58,171.50,112.11,78.42,-,-,113.45
52,",,",Motor foreign,70.19,73.52,77.72,78.61,78.46,78.76,78.68,180.42,79.06,109.70,-,-,87.38
53,",,",kheshari,92.96,98.59,114.06,112.032,108.49,107.77,108.86,133.75,109.10,86.59,-,-,109.53
54,Oil seed,Mustard,92.14,85.89,82.99,83.21,84.34,84.23,83.80,113.82,84.57,137.44,-,-,88.16
55,",,",Tishi,143.36,165.25,144.69,151.42,140.33,154.94,163.69,116.16,145.76,150.78,-,-,146.30
56,",,",Till,167.61,164.35,150.49,159.66,166.88,166.23,160.09,162.51,144.17,145.76,-,-,158.77
57,",,",Nut,157.15,157.72,156.94,156.10,155.80,151.95,153.22,115.57,155.72,156.04,-,-,151.65
58,Oil,Mustard loose,212.59,209.64,205.69,204.91,203.25,203.41,202.39,119.10,198.85,198.58,-,-,195.84
59,",,",Soyabeen,158.90,158.16,154.18,153.79,153.54,153.30,153.26,111.17,153.64,158.59,-,-,150.85
60,",,",Pulm,128.05,128.47,128.18,130.07,130.49,130.16,130.03,78.40,136.84,146.10,-,-,126.71
61,“,Ghee (dalda),169.42,166.57,164.76,164.86,165.37,164.98,164.71,108.82,166.42,171.36,-,-,160.73
62,",,",Butter oil,594.70,740.94,848.00,726.67,907.00,957.00,940.20,84.39,940.00,790.67,-,-,752.96
63,",,",Coconut local loose,370.63,385.02,389.91,396.69,394.17,394.30,395.58,156.71,407.21,406.63,-,-,369.69
64,khail,Mustard,51.79,51.57,51.17,51.42,51.58,51.78,51.61,162.41,51.71,52.00,-,-,62.70
65,",,",Till,89.25,53.25,54.56,54.56,54.27,53.75,54.94,153.11,54.17,55.73,-,-,67.76
66,",,",Khoil Others,57.30,57.40,58.30,58.50,60.93,61.30,60.34,200.83,60.10,60.10,-,-,73.51
67,Spice,Onion local,80.50,104.08,73.01,54.89,67.38,82.09,102.84,153.07,108.37,113.31,-,-,93.95
68,",,",Onion imported,111.90,107.72,97.06,62.30,70.58,81.40,97.94,130.96,103.17,1025.29,-,-,96.53
69,",,",Garlic local,254.62,187.49,129.96,148.84,187.43,208.38,205.78,167.03,217.20,223.86,-,-,193.06
70,",,",Garlic imported,233.19,208.12,201.16,208.20,220.57,221.15,195.87,827.50,212.30,214.89,-,-,274.29
71,,Chilli dried,422.67,412.75,403.01,389.38,382.47,378.93,374.85,403.57,361.84,362.43,-,-,389.19
72,",,",Green chilli,74.48,58.62,62.00,52.69,118.36,189.91,223.60,51.68,179.81,248.18,-,-,125.93
73,",,",Ginger local,210.79,200.79,208.08,233.90,256.61,278.34,293.21,55.54,252.17,199.45,-,-,218.89
74,",,",Ginger imported,205.13,194.78,193.04,206.75,234.80,266.01,274.36,60.10,237.67,204.17,-,-,207.68
75,",,",Turmeric round (Ghol),216.84,222.00,230.50,238.91,245.52,253.81,261.39,109.97,262.20,266.36,-,-,230.75
76,",,",Turmeric long,222.42,228.30,235.76,245.91,256.25,264.61,272.19,102.474,274.27,275.07,-,-,237.72
77,",,",Coriander old,211.76,213.19,210.64,209.21,205.15,203.07,203.79,208.73,200.61,207.64,-,-,207.38
78,",,",Coriander new,207.73,212.71,188.91,186.64,189.67,194.16,201.30,196.59,196.46,200.31,-,-,197.67
79,Jute,White,75.83,74.85,72.33,78.30,79.30,90.00,96.13,101.25,102.81,202.57,-,-,87.49
80,",,",Tosha,62.80,62.18,60.75,64.96,65.81,66.50,71.26,70.17,72.60,104.13,-,-,67.24
81,",,",bi-bottom,64.50,67.50,66.25,67.50,-,-,-,-,-,75.40,-,-,65.36
82,,SMR,57.00,58.00,58.00,59.00,59.00,59.00,59.00,59.00,59.00,63.00,-,-,59.00
83,,Average chat,142.10,146.00,146.92,147.58,149.50,149.67,149.04,148.00,149.00,155.17,-,-,148.30
84,,Mesta average chat,48.50,61.25,62.50,62.50,63.50,67.50,70.75,65.00,64.42,78.17,-,-,64.41
85,Cotton,Shimul,508.40,501.27,508.89,518.99,512.61,517.71,524.40,540.22,531.82,532.39,-,-,519.67
86,",,",carpus,241.33,257.27,255.00,265.00,252.27,253.30,256.91,265.80,254.75,249.50,-,-,255.11
87,Tobbaco,Jati heavy,315.20,231.00,301.20,281.20,281.20,281.20,283.00,286.70,285.20,281.20,-,-,291.71
88,",,",Jati Medium,243.00,250.00,245.63,241.25,238.25,238.75,239.50,242.50,249.38,253.75,-,-,244.20
89,",,",Jati general,193.00,195.00,185.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,-,-,179.80
90,",,",Motihar heavy,242.00,256.33,260.31,265.16,272.25,272.81,265.07,266.88,269.29,269.57,-,-,263.97
91,",,",Motihar medium,197.14,198.39,202.71,203.75,203.578,203.57,206.86,209.46,214.29,213.00,-,-,205.28
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
92,",,",Moti general,240.00,240.00,240.00,240.00,240.00,241.25,247.00,247.50,247.50,247.50,-,-,243.08
93,‘’,Vargina,195.00,195.00,195,195.00,195.00,195.00,195.00,210.00,210.00,210.00,-,-,199.50
94,‘’,Bangla-1,-,-,-,223.00,223.00,223.00,-,-,-,-,-,-,223.00
95,‘’,Bangla-2,-,-,-,196.00,196.00,196.00,-,-,-,-,-,-,169.00
96,‘’,Bangla-3,-,-,-,152.50,152.50,152.50,-,-,-,-,-,-,152.50
97,‘’,Bangla-4,-,-,-,137.50,137.50,137.50,-,-,-,-,-,-,137.50
98,‘’,Bangla-5,-,-,-,127.50,127.50,127.50,-,-,-,-,-,-,127.50
99,‘’,Bangla-6,-,-,-,116.00,116.00,116.00,-,-,-,-,-,-,116.0
100,"Hide skin:
COW",Light,359.79,364.73,361.59,362.76,358322,350.60,357.59,355.57,360.55,361.20-,-,-,359.56
101,",,",Medium,567.04,589.24,591.17,595.51,589.70,558.95,561.96,560.00,570.74,571.02-,-,-,575.53
102,",,",heavy,820.01,848.78,839.95,840.32,831.64,790.20,778.87,771.20,786.62,792.23-,-,-,809.98
103,",,",katachera,303.15,318.75,317.78,317.29,314.61,308.82,315.29,315.74,315.59,320.28-,-,-,314.73
104,"Hide skin
Bufello",heavy,852.22,953.13,903.57,990.30,990.63,915.00,900.63,898.61,921.88,872.22-,-,-,919.85
105,",,",medium,819.72,816.67,800.00,800.00,785.00,761.72,703.13,701.56,742.86,821.25-,-,-,775.19
106,",,",katachera,210.00,210.00,210.00,210.00,210.00,207.50,210.00,207.50,205.00,205.00-,-,-,208.50
107,Hide skin,Sheep,54.39,55.68,59.44,58.85,59.15,54.28,48.35,47.94,47.35,47.65-,-,-,53.31
108,",,",Goat,53.64,54.59,55.37,54.42,55.28,52.79,47.93,48.46,47.93,49.11-,-,-,52.02
109,"Chemical
fertilizer",Uria 50 kg,27.19,27.18,27.15,27.14,27.14,27.13,27.12,27.12,27.09,27.09-,-,-,27.13
110,",,","TSP ,,",27.15,27.16,27.13,27.14,27.17,27.13,27.13,27.12,27.09,27.09-,-,-,27.13
111,",,","DAP ,,",21.33,21.32,21.24,21.22,21.12,21.19,21.19,21.20,21.12,21.09-,-,-,21.21
112,",,","MP ,,",20.42,20.40,20.30,20.29,2029,20.28,20.28,20.29,20.25,20.21-,-,-,20.30
113,",,",Zinc LOCAL,175.43,184.60,188.31,191.38,190.66,184.79,185.74,186.475,184.73,181.79-,-,-,185.39
114,",,",Zinc foreign,247.05,247.07,248.80,249.989,250.03,250.54,251.14,251.56,252.87,253.16-,-,-,250.23
115,",,",Zipsum,21.46,21.51,21.46,21.58,21.73,71.94,22.04,22.04,22.19,22.37-,-,-,21.83
116,"Organic
fertilizer",Cowdung 50 kg,8.01,7.58,7.48,7.48,7.53,7.32,7.32,7.32,7.32,7.44,-,-,7.48
117,দুধ ও দুধজাত দ্রব্য,গুড়া দুধ(প্যাকেটজাতকৃত),642.21,732.40,732.19,739.29,739.29,739.28,739.29,741.43,741.43,741.43,-,-,728.82
118,Cow Milk,liquid,78.57,78.42,81.23,81.90,79.81,81.52,78.80,78.77,78.66,78.81,-,-,79.65
119,Cow Milk,Milkvita,98.22,98.24,98.35,98.28,98.32,98.32,98.32,98.36,98.14,98.42,-,-,98.30
120,Gawa ghee,-,1909.81,1632,1875.98,1558,1558,1732.6,1968.95,1968.684,1979.2105,1916.88,-,-,1810.01
121,Dano,--,1275.95,1290.9,1289.37,1288.16,1292.08,1308.21,1323.63,1326.125,1326.59375,1324.63,-,-,1304.56
122,"Condensed
milk",One kartoon,1042.05,1145.1,1147.5,1148.08,1149.42,918.654,1233.65,1339.773,1339.77273,1252.88,-,-,1171.69
123,"Hen/chicken-
Live",Local large(900gm+),1040.42,1142.7,1150,1150,1150,1150,1150,1150,1150,1360.75,-,-,1159.38
124,",,",",, medium(700gm+)",99.72,100.41,100.19,100.23,100.19,100.38,100.72,100.78,100.98,101.19,-,-,100.48
125,",,",",, small(500gm+)",490.59,558.06,527.30,547.87,559.75,558.06,530.57,494.09,493.94,493.94,-,-,525.42
126,",,",Cock,488.51,555.25,523.24,540.21,553.32,555.25,532.53,495.76,494.99,494.99,-,-,523.41
127,",,",Farm broiler,475.70,540.76,513.01,527.86,539.72,540.76,509.26,475.84,471.92,471.92,-,-,506.67
128,",,",Duck,298.99,317.27,306.98,324.19,337.66,317.27,292.05,260.35,277.09,277,-,-,300.89
129,Meat,Cow,189.83,185.75,199.80,215.08,204.41,185.75,170.88,168.30,182.72,182.72,-,-,188.52
130,",,",Goat,459.71,469.26,460.28,463.26,471.17,469.26,454.71,439.52,437.54,437.54,-,-,456.22
131,Egg,Chicken local,693.39,745.12,723.70,733.73,740.47,745.12,747.93,724.60,720.42,720.42,-,-,729.49
132,",,",Farm red,43.69,51.50,42.33,41.04,45.89,51.50,49.08,51.78,53.49,53.49,-,-,48.38
133,",,",Farm white,42.51,49.13,40.96,39.95,44.25,45.50,47.82,50.28,52.44,52.44,-,,46.89
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
