col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"09021-000 Green tea, packing",Kg,84,33,180,74,744,283
"09022- 000Green tea, other(not
fermented)",Kg,128490,60273,48251,24124,52551,19660
"0902300- Black tea packing not
exceeding 3 kg",Kg,398129,76128,632114,147703,833114,213309
09024000- Tea nec,Kg,107865,48379,201105,60727,860181,162173
"0904- Chillies, dry",Kg,2213087,625992,1254335,457374,689581,337796
0909- Black cumin seeds,Kg,104373,33938,264217,116186,626962,398814
093010- 10Turmeric (curcuma),Kg,369819,111082,-,-,,-
"Mixtures of two/more spices,
other(09109990)",Kg,7739956,2800670,8887331,3413760,9237115,4517603
10063010 Rice medium quality,mton,957851,92389,-,-,49650,6509
1209- Vegetable seeds for sowing,Kg,4199133,1137957,550429,367951,193134,349927
"12099100 Seeds, for sowing,other",Kg,4195083,1136391,547753,362764,179123,330260
"1211-Plant & part etc., used in
perfumery",Kg,430273,369081,477233,93997,434618,291186
"12119021- Plant & part herb
etc., for medicine",Kg,15648,11579,24113,15981,29256,20838
12129990- Betel leaves,Kg,4000,1030,-,-,-,-
"13023100-Balsam Mucilages &
thickeners:",Kg,513453,424969,449615,691021,530095,1442990
14011000- Bamboo,Kg,182395,2894,109216,4060,306302,8579
"1401-Veg mtrl use for plaiting:
other",Kg,187791,5931,112141,4226,306414,8596
"1701- Sugarcane/beet chem
pure/solid other",M.ton,10698,1673,259,55,59169,10170
"1703- Molasses, cane flavoured
coloured",M.ton,73884,9726,83323,17777,155573,39887
"19041000- Rice, beaten (Muri)",Kg,6083936,989153,6828931,1149173,8565720,1605417
19042000 Prepared food: other,Kg,608396,989153,6828931,1149173,28745,8590
"19019010 Pineapple prep/presv
w/sugar or not",Kg,-,-,11800,5451,-,-
"2106 Food preparations, other",Kg,123010,74894,133703,82291,419347,183438
"22021000- Non-alcoholic
beverage, other nec",Liter,13456365,881282,13734391,1116063,16447443,1406673
2203- Beer made from malt,Liter,-,-,-,-,455,100
22083000-Whiskies,Liter,1896,1675,1704,1812,-,-
"24011000- Tobaco N/stem/strip
F/cure N/virgna",Kg,4882604,900166,2923670,922607,3226961,1295580
"24012000-Tobacco whole/part
stem/strip virgna",Kg,30777918,7738661,45366968,14587770,37969,14953468
"24021000-Cigar chroot/cigrillo
cigarete other",Kg.,515259,298356,155295,156603,34970,58593
"24022000 Cigarette tobacco
cont subs or not",kg,56562,37820,34162,27276,4218510,3309944
