col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"31021000- Urea Aqueous
solution or not",M.ton,100,4,350,12,100,3
4101- Raw hides and skins other,Kg,-,-,-,,66183,3307
41041100- Calf leather,Kg,-,-,-,,-,-
"41044100- Leather, bovine
hides",Kg,-,-,-,,-,-
"4105-Leather, semi finished
sheep skin",Kg,2980,9441,1070,3548,12840,10678
"4107- Leather of other animal
(not hair on)",Kg,815998,1496215,886643,1955447,1999297,3695055
"52-Cotton, Bangladesh Sg",M.ton,119946838,21170921,176656668,41053294,248911971,61945097
"53031000 Jute, raw white A
bottom",M.ton,194051926,16392665,234930616,18792674,228417318,16160667
"53039000 Jute, raw white,
grades B,C,D or E",M.ton,16704534,2263666,16024936,1604714,22009745,1763724
5303900-Mesta (kenaf),Kg,-,-,16024936,1604714,22009745,1763724
