District name,Jan-2023,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Without Food
(in TK)",None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,543,None,None,371,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,473,None,None,379,None,None
Rangamati,438,None,None,313,None,None,313,None,None,229,None,None,0,None,None,0,None,None,487,None,None,333,None,None
Chattogram,543,None,None,444,None,None,510,None,None,382,None,None,457,None,None,400,None,None,684,None,None,427,None,None
Cox’sbazar,702,None,None,400,None,None,640,None,None,373,None,None,600,None,None,300,None,None,761,None,None,463,None,None
Cumilla,625,None,None,457,None,None,532,None,None,434,None,None,615,None,None,411,None,None,610,None,None,418,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,575,None,None,0,None,None
Brahmmanbaria,460,None,None,400,None,None,450,None,None,0,None,None,450,None,None,375,None,None,529,None,None,450,None,None
Noakhali,571,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,651,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,446,None,None,0,None,None
Feni,598,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,657,None,None,0,None,None
Chattogram Division,548,None,None,386,None,None,507,None,None,354,None,None,529,None,None,372,None,None,583,None,None,406,None,None
Sylhet,461,None,None,350,None,None,426,None,None,0,None,None,375,None,None,0,None,None,487,None,None,375,None,None
Maulavi Bazar,427,None,None,350,None,None,400,None,None,325,None,None,0,None,None,0,None,None,483,None,None,385,None,None
Sunamganj,427,None,None,315,None,None,0,None,None,0,None,None,0,None,None,0,None,None,474,None,None,355,None,None
Habiganj,475,None,None,350,None,None,0,None,None,0,None,None,0,None,None,0,None,None,500,None,None,342,None,None
Sylhet Division,449,None,None,338,None,None,413,None,None,350,None,None,375,None,None,0,None,None,478,None,None,345,None,None
Dhaka,544,None,None,500,None,None,486,None,None,400,None,None,505,None,None,350,None,None,585,None,None,550,None,None
Gazipur,600,None,None,475,None,None,550,None,None,475,None,None,525,None,None,425,None,None,680,None,None,510,None,None
Manikganj,494,None,None,400,None,None,489,None,None,371,None,None,445,None,None,330,None,None,571,None,None,477,None,None
Munshiganj,525,None,None,350,None,None,0,None,None,0,None,None,476,None,None,0,None,None,552,None,None,300,None,None
Narayanganj,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,489,None,None,421,None,None
Narsingdi,0,None,None,0,None,None,563,None,None,0,None,None,540,None,None,0,None,None,570,None,None,0,None,None
Faridpur,529,None,None,0,None,None,0,None,None,0,None,None,500,None,None,0,None,None,578,None,None,0,None,None
Rajbari,550,None,None,0,None,None,475,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Madaripur,400,None,None,388,None,None,0,None,None,0,None,None,500,None,None,0,None,None,511,None,None,394,None,None
Gopalganj,450,None,None,0,None,None,0,None,None,0,None,None,433,None,None,350,None,None,548,None,None,383,None,None
Shariatpur,556,None,None,375,None,None,0,None,None,0,None,None,400,None,None,0,None,None,588,None,None,410,None,None
Tangail,610,None,None,430,None,None,570,None,None,380,None,None,530,None,None,330,None,None,665,None,None,475,None,None
Kishoreganj,450,None,None,300,None,None,522,None,None,0,None,None,557,None,None,0,None,None,578,None,None,330,None,None
Dhaka Division,519,None,None,402,None,None,522,None,None,407,None,None,492,None,None,357,None,None,578,None,None,425,None,None
Mymensing,,533,,,463,,,561,,,510,,,604,,,543,,,632,,,572,
Jamalpur,,498,,,-,,,532,,,-,,,574,,,-,,,599,,,-,
Sherpur,,533,,,300,,,568,,,320,,,590,,,0,,,620,,,350,
Netrokona,,504,,,400,,,539,,,445,,,565,,,-,,,586,,,475,
"Mymensing
Division",517,None,None,388,None,None,550,None,None,425,None,None,583,None,None,543,None,None,609,None,None,466,None,None
