District name,Aug-2023,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,570,0,600,0,0,0,600,0
Jhalokathi,576,0,0,0,0,0,656,0
Perojpur,577,0,560,450,480,380,639,325
Bhola,556,0,522,0,0,0,643,0
Patuakhali,603,520,551,470,0,0,678,600
Barguna,600,450,560,0,0,0,650,500
"Barishal
Division",580,485,558,460,480,380,644,475
Jashore,o,o,o,o,o,o,375,261
Jhenaidah,411,322,390,311,379,297,439,338
Magura,582,450,532,420,537,400,603,470
Narail,442,286,0,0,0,0,489,332
Khulna,0,0,0,0,0,0,506,352
Bagerhat,0,0,542,0,541,0,557,417
Satkhira,0,0,0,0,0,0,448,303
Kushtia,492,0,0,0,0,0,539,0
Chuadanga,350,0,0,0,0,0,413,0
Meherpur,467,0,0,0,0,0,517,0
Khulna Division,392,353,488,366,364,349,488,353
Rajshahi,496,424,495,403,0,0,527,422
Naogaon,463,379,450,350,0,0,493,396
Natore,399,288,450,330,0,0,499,386
"Chapai
Nawabganj",0,0,450,0,0,0,435,343
Bogura,432,0,404,0,385,0,499,375
Joypurhat,618,418,633,438,655,430,630,432
Pabna,675,0,0,0,0,0,581,300
Sirajganj,0,0,0,0,0,0,445,325
"Rajshahi
Division",514,372,481,380,520,430,514,370
Rangpur,385,280,0,0,0,0,425,310
Gaibandha,0,0,0,0,0,0,425,300
Kurigram,388,245,0,0,0,0,418,273
Nilphamari,450,270,0,0,0,0,470,290
Lalmonirhat,443,284,400,250,0,0,484,318
Dinajpur,428,332,0,0,0,0,462,372
Thakurgaon,416,326,0,0,0,0,450,340
Panchagar,450,326,0,0,0,0,478,354
"Rangpur
Division",423,295,400,250,0,0,452,320
BANGLADESH,506,376,498,376,482,416,553,406
