District name,Feb-2023,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Without Food (in
TK)",None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,543,None,None,371,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,473,None,None,379,None,None
Rangamati,438,None,None,313,None,None,413,None,None,329,None,None,0,None,None,0,None,None,496,None,None,348,None,None
Chattogram,633,None,None,431,None,None,559,None,None,410,None,None,543,None,None,400,None,None,656,None,None,440,None,None
Cox’sbazar,706,None,None,400,None,None,634,None,None,365,None,None,625,None,None,325,None,None,766,None,None,468,None,None
Cumilla,606,None,None,433,None,None,493,None,None,384,None,None,582,None,None,396,None,None,557,None,None,390,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,575,None,None,0,None,None
Brahmmanbaria,463,None,None,400,None,None,450,None,None,0,None,None,465,None,None,418,None,None,532,None,None,453,None,None
Noakhali,575,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,656,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,440,None,None,0,None,None
Feni,583,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,632,None,None,0,None,None
ChattogramDivision,557,None,None,380,None,None,525,None,None,372,None,None,548,None,None,385,None,None,575,None,None,407,None,None
Sylhet,471,None,None,350,None,None,433,None,None,0,None,None,375,None,None,0,None,None,499,None,None,375,None,None
Maulavi Bazar,428,None,None,355,None,None,400,None,None,325,None,None,0,None,None,0,None,None,484,None,None,385,None,None
Sunamganj,429,None,None,318,None,None,0,None,None,0,None,None,0,None,None,0,None,None,472,None,None,353,None,None
Habiganj,450,None,None,350,None,None,0,None,None,0,None,None,0,None,None,0,None,None,475,None,None,375,None,None
Sylhet Division,444,None,None,343,None,None,417,None,None,350,None,None,375,None,None,0,None,None,482,None,None,372,None,None
Dhaka,541,None,None,500,None,None,515,None,None,400,None,None,510,None,None,350,None,None,585,None,None,550,None,None
Gazipur,575,None,None,475,None,None,550,None,None,450,None,None,500,None,None,425,None,None,670,None,None,510,None,None
Manikganj,494,None,None,400,None,None,472,None,None,388,None,None,479,None,None,350,None,None,589,None,None,477,None,None
Munshiganj,500,None,None,350,None,None,0,None,None,0,None,None,482,None,None,0,None,None,547,None,None,400,None,None
Narayanganj,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,491,None,None,425,None,None
Narsingdi,0,None,None,0,None,None,522,None,None,400,None,None,522,None,None,0,None,None,543,None,None,0,None,None
Faridpur,507,None,None,0,None,None,0,None,None,0,None,None,500,None,None,0,None,None,561,None,None,200,None,None
Rajbari,563,None,None,0,None,None,500,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Madaripur,417,None,None,338,None,None,450,None,None,0,None,None,500,None,None,0,None,None,528,None,None,425,None,None
Gopalganj,450,None,None,0,None,None,0,None,None,0,None,None,400,None,None,350,None,None,513,None,None,375,None,None
Shariatpur,549,None,None,363,None,None,0,None,None,0,None,None,400,None,None,0,None,None,583,None,None,400,None,None
Tangail,600,None,None,440,None,None,550,None,None,390,None,None,495,None,None,340,None,None,635,None,None,495,None,None
Kishoreganj,450,None,None,300,None,None,504,None,None,0,None,None,535,None,None,0,None,None,562,None,None,330,None,None
Dhaka Division,513,None,None,396,None,None,508,None,None,406,None,None,484,None,None,363,None,None,570,None,None,417,None,None
Mymensing,,520,,,413,,,547,,,454,,,569,,,493,,,600,,,526,
Jamalpur,,516,,,-,,,545,,,-,,,568,,,-,,,596,,,-,
Sherpur,,533,,,300,,,550,,,320,,,567,,,-,,,620,,,350,
Netrokona,,500,,,400,,,538,,,430,,,560,,,-,,,578,,,453,
Mymensing Division,517,None,None,371,None,None,545,None,None,401,None,None,566,None,None,445,None,None,599,None,None,443,None,None
