District name,Aug-2024,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,667,None,None,467,None,None,617,None,None,425,None,None,600,None,None,375,None,None,657,None,None,471,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,438,None,None,313,None,None,413,None,None,300,None,None,0,None,None,0,None,None,513,None,None,357,None,None
Chattogram,705,None,None,493,None,None,624,None,None,422,None,None,585,None,None,372,None,None,740,None,None,518,None,None
Cox’sbazar,770,None,None,425,None,None,716,None,None,425,None,None,700,None,None,400,None,None,856,None,None,500,None,None
Cumilla,628,None,None,325,None,None,556,None,None,338,None,None,500,None,None,312,None,None,738,None,None,488,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,470,None,None,400,None,None,450,None,None,350,None,None,405,None,None,300,None,None,604,None,None,513,None,None
Noakhali,619,None,None,0,None,None,650,None,None,0,None,None,600,None,None,0,None,None,717,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,490,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
Chattogram Division,600,None,None,389,None,None,575,None,None,377,None,None,565,None,None,352,None,None,646,None,None,464,None,None
Sylhet,471,None,None,350,None,None,414,None,None,0,None,None,375,None,None,0,None,None,516,None,None,400,None,None
Maulavi Bazar,515,None,None,420,None,None,400,None,None,376,None,None,0,None,None,0,None,None,533,None,None,443,None,None
Sunamganj,478,None,None,347,None,None,0,None,None,0,None,None,0,None,None,0,None,None,521,None,None,386,None,None
Habiganj,520,None,None,425,None,None,0,None,None,0,None,None,0,None,None,0,None,None,530,None,None,440,None,None
Sylhet Division,496,None,None,386,None,None,407,None,None,376,None,None,375,None,None,-,None,None,525,None,None,417,None,None
Dhaka,680,None,None,500,None,None,600,None,None,450,None,None,590,None,None,400,None,None,690,None,None,550,None,None
Gazipur,688,None,None,450,None,None,650,None,None,400,None,None,575,None,None,350,None,None,735,None,None,555,None,None
Manikganj,600,None,None,0,None,None,575,None,None,430,None,None,507,None,None,400,None,None,640,None,None,525,None,None
Munshiganj,0,None,None,0,None,None,0,None,None,0,None,None,524,None,None,0,None,None,598,None,None,450,None,None
Narayanganj,655,None,None,550,None,None,613,None,None,530,None,None,555,None,None,0,None,None,668,None,None,576,None,None
Narsingdi,0,None,None,0,None,None,588,None,None,0,None,None,568,None,None,0,None,None,597,None,None,0,None,None
Faridpur,652,None,None,335,None,None,0,None,None,0,None,None,0,None,None,0,None,None,696,None,None,337,None,None
Rajbari,633,None,None,0,None,None,583,None,None,0,None,None,0,None,None,0,None,None,670,None,None,0,None,None
Madaripur,517,None,None,475,None,None,0,None,None,0,None,None,700,None,None,0,None,None,620,None,None,514,None,None
Gopalganj,650,None,None,0,None,None,0,None,None,0,None,None,525,None,None,300,None,None,605,None,None,400,None,None
Shariatpur,625,None,None,375,None,None,0,None,None,0,None,None,600,None,None,0,None,None,679,None,None,430,None,None
Tangail,600,None,None,420,None,None,553,None,None,380,None,None,513,None,None,330,None,None,629,None,None,423,None,None
Kishoreganj,0,None,None,0,None,None,560,None,None,0,None,None,643,None,None,0,None,None,626,None,None,0,None,None
Dhaka Division,630,None,None,444,None,None,590,None,None,438,None,None,573,None,None,356,None,None,650,None,None,476,None,None
Mymensing,595,None,None,518,None,None,575,None,None,480,None,None,524,None,None,400,None,None,655,None,None,550,None,None
Jamalpur,580,None,None,-,None,None,560,None,None,-,None,None,535,None,None,0,None,None,630,None,None,0,None,None
Sherpur,,590,,,350,,,545,,,300,,,560,,,0,,,630,,,400,
Netrokona,,545,,,470,,,540,,,450,,,505,,,405,,,600,,,500,
Mymensing Division,578,None,None,446,None,None,555,None,None,410,None,None,531,None,None,403,None,None,629,None,None,483,None,None
