District name,Sep-2024,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,586,0,650,0,0,0,650,0
Jhalokathi,615,0,0,0,0,0,685,0
Perojpur,580,0,577,0,0,0,657,420
Bhola,553,0,525,0,0,0,650,0
Patuakhali,663,0,585,0,0,0,744,0
Barguna,600,450,570,0,0,0,640,500
Barishal Division,600,450,581,0,0,0,671,460
Jashore,415,262,371,249,0,232,386,276
Jhenaidah,462,346,459,0,445,0,486,365
Magura,508,0,480,0,435,0,533,0
Narail,466,288,0,0,0,0,518,326
Khulna,585,460,535,0,0,0,680,479
Bagerhat,513,0,505,0,0,0,560,425
Satkhira,327,273,296,265,0,0,436,282
Kushtia,557,0,0,0,0,0,558,0
Chuadanga,375,0,0,0,0,0,425,0
Meherpur,472,275,440,255,0,0,522,325
Khulna Division,468,317,441,256,440,232,510,354
Rajshahi,505,420,511,400,0,0,554,429
Naogaon,454,356,0,0,0,0,501,401
Natore,433,343,450,350,0,0,488,351
Chapai Nawabganj,0,0,0,0,0,0,473,350
Bogura,461,0,454,0,450,0,516,350
Joypurhat,520,341,492,314,400,0,539,366
Pabna,650,0,0,0,0,0,578,350
Sirajganj,0,0,500,0,0,0,455,338
Rajshahi Division,504,365,481,355,425,0,513,367
Rangpur,433,300,0,0,0,0,510,346
Gaibandha,0,0,0,0,0,0,325,275
Kurigram,400,260,0,0,0,0,430,289
Nilphamari,493,300,0,0,0,0,515,322
Lalmonirhat,460,280,415,260,0,0,496,316
Dinajpur,450,364,0,0,0,0,468,389
Thakurgaon,383,300,0,0,0,0,430,340
Panchagar,452,328,0,0,0,0,482,358
Rangpur Division,420,312,415,260,0,0,457,329
BANGLADESH,532,389,502,358,479,351,572,420
