District name,Oct-2024,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,667,None,None,467,None,None,617,None,None,425,None,None,600,None,None,375,None,None,671,None,None,486,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,419,None,None,332,None,None,400,None,None,300,None,None,0,None,None,0,None,None,532,None,None,365,None,None
Chattogram,679,None,None,470,None,None,632,None,None,444,None,None,566,None,None,400,None,None,754,None,None,535,None,None
Cox’sbazar,737,None,None,404,None,None,698,None,None,395,None,None,687,None,None,385,None,None,803,None,None,456,None,None
Cumilla,613,None,None,438,None,None,556,None,None,425,None,None,510,None,None,388,None,None,753,None,None,482,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,490,None,None,400,None,None,423,None,None,350,None,None,350,None,None,300,None,None,592,None,None,508,None,None
Noakhali,650,None,None,0,None,None,619,None,None,0,None,None,600,None,None,0,None,None,717,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,490,None,None,0,None,None
Feni,675,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,713,None,None,0,None,None
ChattogramDivision,598,None,None,401,None,None,564,None,None,390,None,None,552,None,None,368,None,None,647,None,None,462,None,None
Sylhet,464,None,None,350,None,None,414,None,None,0,None,None,375,None,None,0,None,None,521,None,None,400,None,None
Maulavi Bazar,468,None,None,397,None,None,400,None,None,350,None,None,0,None,None,0,None,None,513,None,None,430,None,None
Sunamganj,488,None,None,346,None,None,0,None,None,0,None,None,0,None,None,0,None,None,528,None,None,386,None,None
Habiganj,513,None,None,375,None,None,0,None,None,0,None,None,0,None,None,0,None,None,544,None,None,386,None,None
Sylhet Division,483,None,None,367,None,None,407,None,None,350,None,None,375,None,None,0,None,None,527,None,None,400,None,None
Dhaka,550,None,None,470,None,None,520,None,None,420,None,None,470,None,None,370,None,None,650,None,None,580,None,None
Gazipur,688,None,None,475,None,None,650,None,None,475,None,None,613,None,None,450,None,None,755,None,None,560,None,None
Manikganj,575,None,None,0,None,None,520,None,None,425,None,None,490,None,None,400,None,None,622,None,None,516,None,None
Munshiganj,0,None,None,0,None,None,0,None,None,0,None,None,530,None,None,0,None,None,582,None,None,500,None,None
Narayanganj,655,None,None,550,None,None,600,None,None,500,None,None,540,None,None,450,None,None,664,None,None,566,None,None
Narsingdi,0,None,None,0,None,None,585,None,None,0,None,None,541,None,None,0,None,None,583,None,None,0,None,None
Faridpur,568,None,None,413,None,None,0,None,None,0,None,None,0,None,None,0,None,None,617,None,None,480,None,None
Rajbari,517,None,None,0,None,None,500,None,None,0,None,None,0,None,None,0,None,None,580,None,None,0,None,None
Madaripur,508,None,None,463,None,None,0,None,None,0,None,None,550,None,None,0,None,None,561,None,None,483,None,None
Gopalganj,600,None,None,0,None,None,0,None,None,0,None,None,500,None,None,350,None,None,575,None,None,450,None,None
Shariatpur,625,None,None,388,None,None,0,None,None,0,None,None,600,None,None,0,None,None,679,None,None,440,None,None
Tangail,590,None,None,410,None,None,524,None,None,370,None,None,501,None,None,320,None,None,617,None,None,480,None,None
Kishoreganj,558,None,None,0,None,None,562,None,None,0,None,None,630,None,None,0,None,None,619,None,None,0,None,None
Dhaka Division,585,None,None,453,None,None,558,None,None,438,None,None,542,None,None,404,None,None,623,None,None,506,None,None
Mymensing,585,None,None,486,None,None,553,None,None,456,None,None,537,None,None,405,None,None,621,None,None,517,None,None
Jamalpur,560,None,None,-,None,None,535,None,None,-,None,None,515,None,None,-,None,None,600,None,None,-,None,None
Sherpur,,584,,,350,,,520,,,,,,450,,,-,,,630,,,400,
Netrokona,562,562,None,500,500,None,539,539,None,425,425,None,500,500,None,400,400,None,600,600,None,513,513,None
MymensingDivision,573,None,None,445,None,None,537,None,None,441,None,None,501,None,None,403,None,None,613,None,None,477,None,None
