District name,Feb-2023,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,539,0,500,0,0,0,569,0
Jhalokathi,543,450,0,0,0,0,621,500
Perojpur,553,0,533,300,480,0,619,320
Bhola,532,0,478,0,0,0,589,406
Patuakhali,605,0,554,0,0,0,654,0
Barguna,650,392,633,400,0,0,700,440
Barishal Division,570,421,540,350,480,0,625,417
Jashore,0,0,0,0,0,0,355,275
Jhenaidah,356,269,345,257,327,241,379,288
Magura,450,0,400,0,350,0,500,0
Narail,462,0,0,0,443,242,514,357
Khulna,0,0,0,0,0,0,536,382
Bagerhat,481,0,613,0,506,0,581,417
Satkhira,0,0,0,0,0,0,409,316
Kushtia,437,350,0,0,0,0,487,400
Chuadanga,317,0,0,0,0,0,375,0
Meherpur,400,0,0,0,0,0,450,0
Khulna Division,415,310,453,257,407,242,459,348
Rajshahi,476,359,460,358,0,0,495,382
Naogaon,473,371,427,340,0,0,484,393
Natore,411,327,454,300,0,0,435,330
Chapai Nawabganj,0,0,450,350,0,0,450,350
Bogura,455,0,441,0,425,0,486,0
Joypurhat,603,383,612,393,640,382,626,403
Pabna,550,380,0,0,0,0,537,325
Sirajganj,0,0,0,0,0,0,468,300
Rajshahi Division,495,355,471,333,533,382,479,354
Rangpur,380,275,0,0,0,0,390,270
Gaibandha,0,0,0,0,0,0,413,283
Kurigram,358,216,0,0,0,0,423,235
Nilphamari,395,248,0,0,0,0,420,270
Lalmonirhat,418,269,350,225,0,0,456,300
Dinajpur,461,386,0,0,0,0,481,389
Thakurgaon,373,308,0,0,0,0,420,334
Panchagar,428,314,0,0,0,0,456,342
Rangpur Division,402,288,350,225,-,-,432,303
BANGLADESH,489,358,476,351,485,363,529,378
