District name,Mar-2023,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Without Food (in
TK)",None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,543,None,None,371,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,473,None,None,379,None,None
Rangamati,438,None,None,313,None,None,400,None,None,329,None,None,0,None,None,0,None,None,496,None,None,348,None,None
Chattogram,618,None,None,425,None,None,549,None,None,395,None,None,561,None,None,400,None,None,676,None,None,449,None,None
Cox’sbazar,710,None,None,417,None,None,642,None,None,377,None,None,625,None,None,310,None,None,771,None,None,463,None,None
Cumilla,602,None,None,434,None,None,535,None,None,379,None,None,571,None,None,410,None,None,548,None,None,390,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,575,None,None,0,None,None
Brahmmanbaria,463,None,None,400,None,None,450,None,None,0,None,None,465,None,None,418,None,None,532,None,None,453,None,None
Noakhali,576,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,656,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,440,None,None,0,None,None
Feni,583,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,632,None,None,0,None,None
Chattogram Division,555,None,None,381,None,None,529,None,None,370,None,None,549,None,None,385,None,None,576,None,None,407,None,None
Sylhet,468,None,None,350,None,None,433,None,None,0,None,None,375,None,None,0,None,None,511,None,None,375,None,None
Maulavi Bazar,426,None,None,339,None,None,400,None,None,325,None,None,0,None,None,0,None,None,484,None,None,386,None,None
Sunamganj,421,None,None,304,None,None,0,None,None,0,None,None,0,None,None,0,None,None,460,None,None,335,None,None
Habiganj,463,None,None,375,None,None,0,None,None,0,None,None,0,None,None,0,None,None,497,None,None,383,None,None
Sylhet Division,444,None,None,342,None,None,417,None,None,325,None,None,375,None,None,-,None,None,488,None,None,370,None,None
Dhaka,537,None,None,450,None,None,540,None,None,400,None,None,545,None,None,350,None,None,612,None,None,550,None,None
Gazipur,600,None,None,450,None,None,550,None,None,420,None,None,525,None,None,400,None,None,695,None,None,540,None,None
Manikganj,550,None,None,450,None,None,510,None,None,385,None,None,468,None,None,350,None,None,597,None,None,481,None,None
Munshiganj,500,None,None,0,None,None,0,None,None,0,None,None,479,None,None,0,None,None,566,None,None,350-,None,None
Narayanganj,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,489,None,None,421,None,None
Narsingdi,0,None,None,0,None,None,509,None,None,312,None,None,519,None,None,0,None,None,556,None,None,0,None,None
Faridpur,513,None,None,0,None,None,0,None,None,0,None,None,500,None,None,0,None,None,572,None,None,250,None,None
Rajbari,538,None,None,300,None,None,500,None,None,0,None,None,0,None,None,0,None,None,600,None,None,380,None,None
Madaripur,417,None,None,388,None,None,0,None,None,0,None,None,550,None,None,0,None,None,521,None,None,375,None,None
Gopalganj,419,None,None,0,None,None,0,None,None,0,None,None,433,None,None,350,None,None,518,None,None,375,None,None
Shariatpur,555,None,None,363,None,None,0,None,None,0,None,None,400,None,None,0,None,None,588,None,None,400,None,None
Tangail,600,None,None,410,None,None,535,None,None,360,None,None,490,None,None,310,None,None,640,None,None,455,None,None
Kishoreganj,450,None,None,300,None,None,500,None,None,0,None,None,530,None,None,0,None,None,559,None,None,330,None,None
Dhaka Division,516,None,None,389,None,None,521,None,None,375,None,None,495,None,None,352,None,None,578,None,None,414,None,None
Mymensing,506,None,None,410,None,None,533,None,None,464,None,None,574,None,None,503,None,None,608,None,None,544,None,None
Jamalpur,452,None,None,-,None,None,509,None,None,-,None,None,532,None,None,-,None,None,585,None,None,-,None,None
Sherpur,,513,,,300,,,536,,,320,,,550,,,-,,,600,,,350,
Netrokona,,499,,,385,,,539,,,435,,,560,,,-,,,584,,,490,
Mymensing Division,493,None,None,365,None,None,529,None,None,406,None,None,554,None,None,503,None,None,594,None,None,461,None,None
