District name,Apr-2023,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,505,0,500,0,0,0,559,0
Jhalokathi,578,450,0,0,0,0,660,500
Perojpur,578,0,543,450,500,0,646,350
Bhola,556,0,509,0,0,0,630,406
Patuakhali,605,0,550,0,0,0,650,0
Barguna,650,380,617,400,600,0,700,440
"Barishal
Division",579,415,544,425,550,0,641,424
Jashore,0,0,0,0,0,0,596,367
Jhenaidah,370,281,358,269,339,252,394,298
Magura,603,0,549,0,509,0,650,0
Narail,528,344,0,0,0,0,604,415
Khulna,0,0,0,0,0,0,650,504
Bagerhat,0,0,683,0,726,0,700,517
Satkhira,0,0,0,0,0,0,409,316
Kushtia,417,350,0,0,0,0,492,450
Chuadanga,333,0,0,0,0,0,388,0
Meherpur,383,0,0,0,0,0,433,0
Khulna Division,439,325,530,269,525,252,532,410
Rajshahi,484,396,477,385,0,0,517,404
Naogaon,475,364,403,340,0,0,479,369
Natore,407,300,450,350,0,0,473,342
"Chapai
Nawabganj",0,0,500,400,0,0,460,360
Bogura,444,0,467,0,488,0,513,300
Joypurhat,618,406,636,413,640,400,635,423
Pabna,550,0,0,0,0,0,522,250
Sirajganj,0,0,0,0,0,0,508,500
"Rajshahi
Division",496,367,489,378,564,400,513,369
Rangpur,385,285,0,0,0,0,405,280
Gaibandha,0,0,0,0,0,0,493,325
Kurigram,363,233,0,0,0,0,397,269
Nilphamari,405,258,0,0,0,0,440,290
Lalmonirhat,440,281,325,233,0,0,485,314
Dinajpur,468,394,0,0,0,0,483,397
Thakurgaon,400,300,0,0,0,0,440,330
Panchagar,456,330,0,0,0,0,484,358
"Rangpur
Division",417,297,325,233,-,-,453,320
BANGLADESH,521,373,495,360,546,406,579,417
