,_1,None,None_1,None_2,None_3,None_4,None_5,None_6
District name,May-2023,None,None,None,None,None,None,None
None,With Food,None,None,None,None,None,Without Food,None
None,One meal,None,Two meal,None,Three meal,None,(in TK),None
None,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,505,0,500,0,0,0,559,0
Jhalokathi,587,450,0,0,0,0,675,500
Perojpur,603,0,543,450,480,400,671,400
Bhola,538,0,501,0,0,0,606,398
Patuakhali,605,0,554,0,0,0,654,0
Barguna,650,380,617,400,0,0,700,440
"Barishal
Division",581,415,543,425,480,400,644,435
Jashore,o,o,o,o,o,o,416,325
Jhenaidah,459,339,430,320,415,301,500,369
Magura,491,0,442,0,409,0,543,0
Narail,600,0,0,0,621,308,698,392
Khulna,0,0,0,0,0,0,490,342
Bagerhat,472,0,536,0,512,0,542,417
Satkhira,0,0,0,0,0,0,409,316
Kushtia,475,0,0,0,0,0,522,0
Chuadanga,350,0,0,0,0,0,400,0
Meherpur,417,0,0,0,0,0,467,0
Khulna Division,466,339,469,320,489,305,499,360
Rajshahi,489,411,494,350,0,0,537,410
Naogaon,583,462,475,410,0,0,564,443
Natore,407,300,450,350,0,0,470,340
"Chapai
Nawabganj",425,400,450,400,0,0,460,400
Bogura,580,0,459,0,475,0,608,500
Joypurhat,614,438,612,450,590,362,630,456
Pabna,575,0,0,0,0,0,533,300
Sirajganj,0,0,0,0,0,0,642,500
"Rajshahi
Division",525,402,498,392,533,362,556,419
Rangpur,385,295,0,0,0,0,425,290
Gaibandha,0,0,0,0,0,0,423,333
Kurigram,375,233,0,0,0,0,430,277
Nilphamari,525,365,0,0,0,0,465,315
Lalmonirhat,446,309,423,295,0,0,432,307
Dinajpur,513,425,0,0,0,0,527,445
Thakurgaon,500,400,0,0,0,0,550,450
Panchagar,401,298,0,0,0,0,383,315
"Rangpur
Division",472,341,423,295,0,0,454,341
BANGLADESH,542,402,511,388,518,391,579,427
