Bangladesh/Division,Potato,None,None_1,None_2
None,"Yield rate(m.ton) per
acre",Expenditure per acre in Tk.,"Price of produced crops per
acre ( Tk.)","Price of by products per
acre (Tk)"
1,2,3,4,5
Bangladesh,7.55,63751,133554,1842
Barishal Division,6.05,69056,108479,1202
Chattogram Division,6.22,70317,111928,3064
Dhaka Division,9.68,70541,174323,1665
Khulna Division,7.72,54962,139300,1610
Mymensingh Division,6.69,65846,117783,1460
Rajshahi Division,7.08,64645,123626,1906
Rangpur Division,7.79,60599,138214,1759
Sylhet Division,4.69,55521,79676,1375
