Items,All Total,Non farm holdings,None,None_1,Farm holdings,None_2,None_3,None_4
None,None,"with no operated
land","with no
cultivated
land","with 0.01-
0.04
cultivated
land",Small,Medium,Large,Total
None,None,None,None,None,"0.05-2.49
Acres","2.50-7.49
Acres","7.50+
Acres",None
1,2,3,4,5,6,7,8,9
None,None,"with no operated
land","with no
cultivated land","with 0.01-0.04
cultivated land",Small,Medium,Large,Total
None,None,None,None,None,"0.05-2.49
Acres","2.50-7.49
Acres","7.50+
Acres",None
1,2,3,4,5,6,7,8,9
None,None,"with no
operated
land","with no
cultivated
land","with 0.01-0.04
cultivated land",Small,Medium,Large,Total
None,None,None,None,None,"0.05-2.49
Acres","2.50-7.49
Acres","7.50+
Acres",None
1,2,3,4,5,6,7,8,9
None,None,"with no
operated
land","with no
cultivated
land","with 0.01-0.04
cultivated land",Small,Medium,Large,Total
None,None,None,None,None,"0.05-2.49
Acres","2.50-7.49
Acres","7.50+
Acres",None
1,2,3,4,5,6,7,8,9
