col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Bogura,720,705,75,530,1250,1217.75,1522
Dinajpur,0,364.5,25,90.96,90.96,1086.76,99
Gaibandha,784,163,50,81.5,865.5,1178.19,1020
Kurigram,5198.5,37508,14,5076.13,10274.63,1147.59,11791
Lalmonirhat,493.1,1281,35,451.5,944.6,1141.25,1078
Nilphamari,852,2974,40,1990,2042,1105.04,2256
Rangpur,152,2197,9,202.39,354.39,1094.22,388
Rajbari,0,6,50,3,3,947.93,3
Tangail,1160,373,34,125.24,1285.24,1066.23,1370
Khulna,0,6158.9,11.5,705.3,705.3,1243.1,876.7
Bhola,0,8505.3,3.9,334.6,334.6,1197.6,400.7
Bangladesh,9359.6,60235.7,24.1,8790.62,18150.22,2329.84,20252
