District/Division,None,Total,Forest,Not available for cultivation,Culturable waste,Current fallow,Single cropped,Double cropped,Triple cropped,Quardruple Cropped,Net cropped,Gross cropped
1,None,2,3,4,5,6,7,8,9,10,11,12
1,Bandarban,1107,798,107,106,16,41,28,11,0,80,130
2,Khagrachari,679,554,39,3,0,13,50,20,0,83,173
3,Rangamati,1511,1379,39,12,0,42,27,12,0,81,132
4,Chattogram,1305,426,412,30,14,75,253,95,0,423,866
5,Cox’s Bazar,616,209,154,14,5,65,138,31,0,234,434
6,Cumilla,777,2,201,8,56,124,278,108,0,510,1004
7,Chandpur,407,0,133,5,39,124,83,23,0,230,359
8,Brahmmanbaria,465,0,124,6,24,128,151,32,0,311,526
9,Noakhali,911,385,176,9,4,45,210,82,0,337,711
10,Lakshmipur,356,50,63,5,1,10,170,57,0,237,521
11,Feni,245,20,86,3,3,10,90,33,0,133,289
1,"Chattogram
Division",8379,3823,1534,201,162,677,1478,504,0,2659,5145
12,Sylhet,853,50,262,43,11,257,172,58,0,487,775
13,Moulavibazar,692,71,185,32,15,191,148,50,0,389,637
14,Sunamganj,926,18,296,46,22,340,139,65,0,544,813
15,Habiganj,651,36,201,22,15,112,202,63,0,377,705
2,Sylhet Division,3122,175,944,143,63,900,661,236,0,1797,2930
16,Dhaka,362,1,174,10,23,88,52,14,0,154,234
17,Gazipur,446,65,163,13,4,96,81,24,0,201,330
18,Manikganj,342,0,109,8,52,33,87,51,2,173,368
19,Munshiganj,248,0,81,5,37,36,72,17,0,125,231
20,Narayanganj,169,0,70,5,24,35,22,13,0,70,118
21,Narsingdi,284,0,97,1,46,38,71,29,2,140,275
22,Faridpur,507,0,103,43,1,51,204,105,0,360,774
23,Rajbari,270,0,34,14,1,38,117,65,1,221,471
24,Madaripur,278,0,45,4,44,58,94,33,0,185,345
25,Gopalganj,363,0,117,9,6,56,130,45,0,231,451
26,Shariatpur,290,0,110,6,6,62,75,31,0,168,305
27,Tangail,844,123,156,23,65,146,229,102,0,477,910
28,Kishoerganj,664,0,190,21,10,198,193,52,0,443,740
3,Dhaka Division,5067,189,1449,162,319,935,1427,581,5,2948,5552
29,Mymensinghh,1086,39,296,9,18,114,455,152,3,724,1492
30,Jamalpur,523,10,117,11,5,57,220,100,3,380,809
31,Sherpur,337,20,65,3,9,31,160,45,4,240,502
32,Netrokona,690,2,181,33,34,142,232,65,1,440,805
4,"Mymensingh
Division",2636,71,659,56,66,344,1067,362,11,1784,3608
33,Barishal,688,0,220,7,0,273,153,35,0,461,684
34,Jhalokathi,175,0,46,0,5,29,66,29,0,124,248
35,Perojpur,316,1,108,3,7,112,59,26,0,197,308
36,Bhola,841,360,48,5,17,101,169,140,1,411,863
37,Patuakhali,796,150,150,12,87,259,117,21,0,397,556
1,None,2,3,4,5,6,7,8,9,10,11,12
38,Barguna,453,75,31,8,91,163,53,32,0,248,365
5,"Barishal
Division",3269,586,603,35,207,937,617,283,1,1838,3024
39,Jashore,644,0,177,8,50,20,249,139,1,409,939
40,Jhenaidah,486,0,133,0,2,23,215,113,0,351,792
41,Magura,257,0,68,9,12,6,93,68,1,168,400
42,Narail,239,0,68,3,11,7,89,58,1,157,365
43,Khulna,1086,546,194,12,36,185,84,29,0,298,440
44,Bagerhat,978,567,87,14,45,171,65,29,2,265,388
45,Satkhira,943,370,135,17,69,215,107,30,0,352,519
46,Kushtia,398,0,106,9,3,17,126,137,0,280,680
47,Chuadanga,290,0,78,4,12,4,64,127,1,196,517
48,Meherpur,186,0,60,1,1,3,22,97,2,124,346
6,"Khulna
Division",5507,1483,1106,77,241,651,1114,827,8,2600,5392
49,Rajshahi,599,0,118,4,5,105,237,126,4,472,973
50,Naogoan,849,7,128,5,82,145,325,155,2,627,1268
51,Natore,470,0,105,5,5,65,210,80,0,355,725
52,Chapai Nawbganj,421,0,103,6,25,65,161,61,0,287,570
53,Bogura,716,0,187,2,2,7,293,220,5,525,1273
54,Joypurhat,250,0,40,0,0,4,119,87,0,210,503
55,Pabna,587,0,199,5,10,33,234,105,1,373,820
56,Sirajganj,594,0,215,2,2,11,248,115,1,375,856
7,"Rajshahi
Division",4486,7,1095,29,131,435,1827,949,13,3224,6988
57,Rangpur,593,3,114,4,6,20,300,143,3,466,1061
58,Gaibandah,523,0,136,3,1,56,250,77,0,383,787
59,Kurigram,555,0,203,8,4,36,236,66,2,340,714
60,Nilphamari,382,1,87,4,1,5,194,89,1,289,664
61,Lalmonirhat,308,0,90,2,0,7,135,72,2,216,501
62,Dinajpur,851,18,152,2,1,48,409,218,3,678,1532
63,Thakurgaon,440,2,45,3,2,7,267,113,1,388,884
64,Panchagarh,347,5,73,2,2,26,167,72,0,265,576
8,"Rangpur
Division",3999,29,900,28,17,205,1958,850,12,3025,6719
BANGLADESH,None,36465,6363,8290,731,1206,5084,10149,4592,50,19875,39358
