Sl. No.,District,Extensive,None,Semi-intensive,None_1,Intensive,None_2,Highly Intensive,None_3,Total,None_4,None_5
None,None,< 1.5 MT/Ha,None,1.5 - 4.0 MT/Ha,None,>4- 10 MT/Ha,None,>10.0 MT/Ha,None,None,None,None
None,None,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,MT/Ha
1,Dhaka,7,10,1428,5639,292,2807,18,260,1745,8716,4.99
2,Faridpur,55,78,2167,7900,1733,12896,128,1847,4083,22721,5.56
3,Gazipur,70,90,2197,8273,1558,14823,411,6274,4236,29460,6.95
4,Gopalganj,623,745,1881,7195,1419,11151,17,172,3940,19263,4.89
6,Kishoreganj,261,368,2874,11415,1818,14825,174,2320,5127,28928,5.64
6,Madaripur,178,250,2023,6420,591,5712,158,1940,2950,14322,4.85
7,Manikganj,281,415,1714,6630,708,7019,22,328,2725,14392,5.28
8,Munshiganj,150,217,1759,7018,348,3435,5,61,2262,10731,4.74
9,Narayanganj,0,0,1369,4512,762,6829,0,0,2131,11341,5.32
10,Narsingdi,68,100,1206,4683,958,8749,765,12212,2997,25744,8.59
11,Rajbari,128,190,2684,10462,953,6492,3,36,3768,17180,4.56
12,Shariatpur,45,64,1835,6914,876,8332,13,135,2769,15445,5.58
13,Tangail,6,8,2909,9401,4723,31324,261,2774,7899,43507,5.51
Dhaka Division,None,1872,2535,26046,96462,16739,134394,1975,28359,46632,261750,5.61
14,Jamalpur,41,44,2007,7814,1607,11645,121,1491,3776,20994,5.56
15,Mymensingh,640,895,7232,24098,12879,97172,8822,195004,29573,317169,10.72
16,Netrakona,427,627,5301,21083,2470,22017,46,731,8244,44458,5.39
17,Sherpur,30,40,2380,8031,1526,9596,637,7227,4573,24894,5.44
Mymensingh Division,None,1138,1606,16920,61026,18482,140430,9626,204453,46166,407515,8.83
18,Bagerhat,1625,2411,3660,14613,173,1651,0,0,5458,18675,3.42
19,Chuadanga,10,13,1011,3179,1219,9024,0,0,2240,12216,5.45
20,Jashore,80,119,9552,37971,6033,59335,2310,41342,17975,138767,7.72
21,Jhenaidah,25,36,2458,8382,2765,20025,34,421,5282,28864,5.46
22,Khulna,124,177,3231,9458,1554,9980,0,0,4909,19615,4.00
23,Kushtia,5,7,2647,10557,2013,14783,17,176,4682,25523,5.45
24,Magura,18,26,1973,7623,415,4099,21,250,2427,11998,4.94
25,Meherpur,0,0,1238,4817,327,2631,18,250,1583,7698,4.86
26,Narail,55,79,631,2469,419,2800,0,0,1105,5348,4.84
27,Satkhira,6471,8523,4406,12405,1886,18131,462,6212,13225,45271,3.42
Khulna Division,None,8413,11391,30807,111474,16804,142459,2862,48651,58886,313975,5.33
