Sl. No.,District,Natural Source,None,Beel Nursery Program,None_1,Total,None_2
None,None,Area,Production,Area,Production,Area,Production
1,Dhaka,903,754,93,117,996,871
2,Faridpur,202,262,224,380,426,642
3,Gazipur,1527,1548,193,310,1720,1858
4,Gopalganj,629,558,272,372,901,930
5,Kishoreganj,5087,5094,1750,2310,6837,7404
6,Madaripur,108,128,155,198,263,326
7,Manikganj,487,389,285,355,772,744
8,Munshiganj,327,277,22,26,349,303
9,Narayanganj,206,161,10,18,216,179
10,Narsingdi,955,1062,209,290,1164,1352
11,Rajbari,151,186,98,141,249,327
12,Shariatpur,68,62,8,9,76,71
13,Tangail,1990,2025,343,473,2333,2498
Dhaka Division,None,12640,12506,3662,4999,16302,17505
14,Jamalpur,2678,2321,682,962,3360,3283
15,Mymensingh,6908,6242,438,415,7346,6657
16,Netrakona,8327,7001,28,55,8355,7056
17,Sherpur,3420,2526,88,126,3508,2652
Mymensingh Division,None,21333,18090,1236,1558,22569,19648
18,Bagerhat,40,26,8,9,48,35
19,Chuadanga,1127,1089,34,51,1161,1140
20,Jashore,2503,1528,207,310,2710,1838
21,Jhenaidah,953,917,178,189,1131,1106
22,Khulna,247,232,24,24,271,256
23,Kushtia,396,310,191,311,587,621
24,Magura,285,123,47,40,332,163
25,Meherpur,389,310,60,133,449,443
26,Narail,539,342,325,238,864,580
27,Satkhira,37,29,9,10,46,39
Khulna Division,None,6516,4906,1083,1315,7599,6221
28,Barguna,0,0,0,0,0,0
29,Barishal,31,28,10,11,41,39
30,Bhola,0,0,0,0,0,0
31,Jhalokati,12,15,2,3,14,18
32,Patuakhali,0,0,0,0,0,0
33,Pirojpur,16,9,4,5,20,14
Barishal Division,None,59,52,16,19,75,71
