Sl. No.,District,Natural Source,None,Beel Nursery Program,None_1,Total Catch,None_2
None,None,Area,Production,Area,Production,Area,Production
1,Dhaka,812,717,184,177,996,894
2,Faridpur,80,78,346,479,426,557
3,Gazipur,1233,1191,487,594,1720,1785
4,Gopalganj,231,228,670,905,901,1133
5,Kishoreganj,5108,5154,1729,2521,6837,7675
6,Madaripur,109,127,154,202,263,329
7,Manikganj,524,391,248,367,772,758
8,Munshiganj,329,289,20,24,349,313
9,Narayanganj,181,156,35,44,216,200
10,Narsingdi,969,1084,195,299,1164,1383
11,Rajbari,151,168,98,163,249,331
12,Shariatpur,41,51,35,41,76,92
13,Tangail,1461,1541,872,1161,2333,2702
Dhaka Division,None,11229,11175,5073,6977,16302,18152
14,Jamalpur,2909,2639,451,564,3360,3203
15,Mymensingh,6901,6198,445,488,7346,6686
16,Netrakona,8345,7327,10,15,8355,7342
17,Sherpur,3425,2521,83,120,3508,2641
Mymensingh Division,None,21580,18685,989,1187,22569,19872
18,Bagerhat,42,31,6,10,48,41
19,Chuadanga,1135,1071,26,31,1161,1102
20,Jashore,2516,1751,194,244,2710,1995
21,Jhenaidah,543,516,588,616,1131,1132
22,Khulna,250,240,21,29,271,269
23,Kushtia,350,344,237,291,587,635
24,Magura,283,190,49,41,332,231
25,Meherpur,333,288,116,195,449,483
26,Narail,703,540,161,162,864,702
27,Satkhira,38,27,8,13,46,40
Khulna Division,None,6193,4998,1406,1632,7599,6630
28,Barguna,0,0,0,0,0,0
29,Barishal,30,29,11,11,41,40
30,Bhola,0,0,0,0,0,0
31,Jhalokati,12,12,2,3,14,15
32,Patuakhali,0,0,0,0,0,0
33,Pirojpur,15,10,5,8,20,18
Barishal Division,None,57,51,18,22,75,73
None,None,Area,Production,Area,Production,Area,Production
34,Dinajpur,724,574,58,65,782,639
35,Gaibandha,518,461,301,393,819,854
36,Kurigram,1156,1153,195,315,1351,1468
37,Lalmonirhat,372,350,231,328,603,678
38,Nilphamari,707,454,101,104,808,558
39,Panchagarh,95,64,15,17,110,81
40,Rangpur,1775,1803,135,215,1910,2018
41,Thakurgaon,318,294,43,70,361,364
Rangpur Division,None,5665,5153,1079,1507,6744,6660
42,Bogura,3249,2369,268,452,3517,2821
43,Chapai Nawabganj,4503,3335,301,281,4804,3616
44,Joypurhat,222,186,62,109,284,295
45,Naogaon,6150,4154,1505,1695,7655,5849
46,Natore,1055,842,338,389,1393,1231
47,Pabna,1622,1398,731,1029,2353,2427
48,Rajshahi,5386,3545,611,624,5997,4169
49,Sirajganj,587,471,315,356,902,827
Rajshahi Division,None,22774,16300,4131,4935,26905,21235
50,Bandarban,0,0,0,0,0,0
51,Brahmanbaria,252,242,216,380,468,622
52,Chandpur,146,91,215,247,361,338
53,Chattogram,89,70,0,0,89,70
54,Cumilla,162,164,112,193,274,357
55,Cox’s Bazar,0,0,0,0,0,0
56,Feni,0,0,0,0,0,0
57,Khagrachhari,75,9,0,0,75,9
58,Lakshmipur,0,0,0,0,0,0
59,Noakhali,0,0,0,0,0,0
60,Rangamati,0,0,0,0,0,0
Chattogram Division,None,724,576,543,820,1267,1396
61,Habiganj,2531,2293,447,547,2978,2840
62,Moulvibazar,2525,1985,967,1012,3492,2997
63,Sunamganj,20885,25425,83,190,20968,25615
64,Sylhet,4251,3786,1011,1561,5262,5347
Sylhet Division,None,30192,33489,2508,3310,32700,36799
TOTAL,None,98414,90427,15747,20390,114161,110817
