Name of Crops,2021-22,None,2022-23,None_1,2023-24,None_2
None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
Rabi Brinjal,84536.65,409001.46,86425.14,445775.18,86098.05,485052.86
Cauliflower,56426.61,342306.03,56446.94,343758.71,58129.33,429670.10
Cabbage,53129.23,395035.65,53463.62,422322.60,53391.69,450023.93
Gourd/Water Gourd,51176.14,283918.45,49739.72,284261.05,50112.96,313583.36
Rabi pumpkin,44537.72,228960.01,44872.04,227045.65,44963.56,259400.65
Tomato,73151.55,442299.60,76943.14,469204.49,76876.32,491487.79
Radish,66582.78,321712.76,67380.38,340687.06,66441.99,376597.15
Beans,56940.62,170066.79,63675.78,228114.83,63268.45,226330.84
Bengal Spinach (Palong shak),24509.79,61859.49,24547.53,63367.77,24364.08,66838.99
Red Amaranth (Lalshak),32245.77,72716.24,32451.23,69933.86,32704.09,72712.66
Carrot,6184.94,31149.77,6488.56,35270.61,6488.56,35270.606
Laushak,17722.09,35638.24,17348.81,34256.91,17596.52,34211.58
Utchee,15225.37,32139.62,16486.96,36709.54,16311.25,37347.23
Shalgom,3478.85,9596.04,3738.60,10922.04,3525.69,10435.06
Beat,294.87,905.63,333.14,1060.76,3651.10,1197.08
Maan Kachu,4903.99,16924.19,5033.55,18638.66,5091.14,19601.26
Mura Kachu,9205.75,33987.72,9680.30,36958.68,9502.98,36977.02
Kachur Lati,18962.64,48609.08,18520.78,48916.38,18678.74,50975.07
Kachu Sak,4238.74,6596.29,3813.55,6109.40,4020.01,6537.02
Pat Sak,7253.56,14117.58,7593.57,14947.15,7643.89,15421.76
Barbati,17738.21,39529.33,17937.32,41895.45,18047.07,42647.76
Dundal,11178.38,26945.064,11499.01,30422.83,11739.95,32279.29
Green Banana,28640.26,183438.79,29246.02,185654.05,28957.47,184515.03
Data Sak,14199.43,32164.96,14669.13,34708.41,14834.92,35914.48
Kalmi Sak,5819.69,11785.95,5939.95,12514.76,6258.31,13373.78
Owl Kachu,2181.90,17855.23,2773.08,20408.21,2315.40,22072.29
Mukhi Kachu,23978.37,122995.49,25090.64,131547.49,24971.31,132879.85
Pani Khacu,14164.86,65150.05,14273.92,71645.84,13998.51,70342.75
Total-,748608.76,3457405.504,766412.41,3667058.37,769983.34,3953697.246
