Name of Crops,2021-22,None,2022-23.,None_1,2023-24.,None_2
None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
Bhadoi Fodder,8065.47,68538.98,10006.09,138814.32,11662.88,193891.91
Rabi Fodder,41075.37,270627.83,40044.41,285364.08,42520.50,292220.25
Total Fodder,49140.84,541255.66,50050.5,424178.17,54183.38,486112.16
Mulberry,733.00,29435.00,613.02,22905.47,619.73,19777.90
Sub Total,49873.84,570690.66,50663.52,447083.64,54803.11,505890.06
Marigold,1022.76,1777.54,1124.92,2881.41,1144.87,4333.69
Rose Flower,608.09,22140.14,667.32,21488.64,705.82,23028.54
Tube Rose,1217.13,4098.43,663.00,3448.87,653.37,4728.92
Belly,23.18,10.60,25.34,8.14,25.35,8.69
Gladiolus,557.50,3793.55,473.49,2989.58,475.76,3063.26
Cosmos,12.92,8.44,14.97,8.48,11.14,7.46
Chrysanthemum,37.18,136.36,35.31,140.09,35.26,141.51
Dalia,31.17,76.17,35.92,79.12,31.73,76.70
Sub Total,3509.93,32041.23,3040.27,31044.33,3083.3,None
Grand Total,53383.77,338958,53703.79,478127.97,57886.41,541278.83
