Date of Occurrence,Nature of Phenomenon,Landfall Area,Maximum Wind Speed in km/hr.,Direction of the Max. Wind Speed,Tidal Surge Height in ft.,Central Pressure (mbs)
23.10.70,"Severe Cyclonic Storm
with Hurricane intensity",Khulna-Barishal,163,South-West,-,-
12.11.70,"Severe Cyclonic Storm
with a core of hurricane
wind",Chittagong,224,South-East,10-33,-
28.11.74,Severe Cyclonic Storm,Cox's Bazar,163,South-East,9-17,-
10.12.81,Cyclonic Storm,Khulna,120,South-West,7-15,989
15.10.83,Cyclonic Storm,Chittagong,93,South-East,-,995
09.11.83,Severe Cyclonic Storm,Cox’s Bazar,136,South-East,5,986
24.05.85,Severe Cyclonic Storm,Chittagong,154,South-East,15,982
29.11.88,"Severe Cyclonic Storm
with a core of hurricane
wind",Khulna,160,South-West,2-14.5,983
18.12.90,"Cyclonic Storm (crossed
as a depression)","Cox's Bazar
Coast",115,South-East,5-7,995
29.04.91,"Severe Cyclonic Storm
with a core of hurricane
wind",Chittagong,225,South-East,12-22,940
02.05.94,"Severe Cyclonic Storm
with a core of hurricane
wind","Cox's Bazar-
Teknaf
Coast",220,South-East,5-6,948
25.11.95,Severe Cyclonic Storm,Cox's Bazar,140,South-East,10,998
19.05.97,"Severe Cyclonic Storm
with a core of hurricane
wind",Sitakundu,232,South-East,15,965
27.09.97,"Severe Cyclonic Storm
with a core of hurricane
wind",Sitakundu,150,"South-South-
East",10-15,-
20.05.98,"Severe Cyclonic Storm
with core of hurricane
winds","Chittagong Coast
near
Sitakunda",173,"South-South-
East",3,
28.10.00,Cyclonic Storm,"Sundarban Coast
near Mongla",83,"South-South-
West",-,-
12.11.02,Cyclonic Storm,"Sundarban Coast
near Raimangal
River",65-85,"South-South-
West",5-7,998
19.05.04,Cyclonic Storm,"Teknaf-Akyab
Coast",65-90,South-East,2-4,990
15.11.07,"Severe Cyclonic Storm
with core of hurricane
winds
(SIDR)","Khulna-Barishal
Coast near
Baleshwar river",223,South-West,15-20,942
25.05.09,"Cyclonic Storm
(AILA)","West Bengal-
Khulna Coast
near Sagar
Island",70-90,"South-South-
West",4-6,987
16.05.13,"Cyclonic Storm
(MAHASEN)","Noakhali-
Chittagong Coast",100,"South-South-
East",-,-
30.07.15,Cyclonic Storm,Chittagong-Cox’s,65,South-East,5-7,988
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
