Year,Fertilizer,Demand,Production,Import,Sales/Usage
2013-2014,Urea,24.50,8.39,17.42,24.62
None,TSP,6.75,0.86,5.43,6.85
None,DAP,6.50,0.48,4.45,5.43
None,MOP,8.00,-,3.82,5.76
2014-2015,Urea,27.00,8.78,18.76,26.38
None,TSP,7.25,0.88,6.78,7.22
None,DAP,6.75,0.63,5.74,5.97
None,MOP,7.00,-,6.18,6.40
2015-2016,Urea,28.00,10.08,16.77,22.91
None,TSP,7.25,0.95,6.32,7.30
None,DAP,7.00,1.02,5.50,6.58
None,MOP,7.50,-,7.05,7.26
2016-2017,Urea,25.00,9.23,11.16,23.66
None,TSP,7.50,1.07,6.62,7.40
None,DAP,7.50,0.59,5.50,6.09
None,MOP,8.00,-,8.24,7.81
2017-2018,Urea,25.00,7.64,14.57,24.27
None,TSP,6.50,1.00,7.79,7.07
None,DAP,8.50,0.53,7.38,6.89
None,MOP,8.50,-,8.45,7.89
2018-2019,Urea,25.50,7.83,14.57,25.94
None,TSP,7.00,0.97,7.79,7.81
None,DAP,9.00,0.24,7.38,7.63
None,MOP,8.50,-,8.45,7.24
2019-2020,Urea,26.50,7.96,16.99,25.10
None,TSP,7.50,1.04,5.66,6.91
None,DAP,9.00,0.76,8.13,9.62
None,MOP,8.50,-,7.89,7.16
2020-2021,Urea,25.50,10.34,13.07,24.63
None,TSP,5.00,0.92,3.86,5.23
None,DAP,15.00,1.02,14.26,14.24
None,MOP,7.50,-,6.87,7.98
2021-2022,Urea,26.00,10.10,17.04,26.63
None,TSP,7.50,0.88,7.38,7.36
None,DAP,15.50,1.02,18.07,16.85
None,MOP,7.50,-,9.04,7.90
2022-2023,Urea,26.00,7.18,20.74,27.52
None,TSP,7.50,0.88,7.66,7.79
None,DAP,16.50,1.19,14.69,15.84
None,MOP,7.50,-,11.99,7.78
2023-2024,Urea,27.00,6.94,17.47,26.23
None,TSP,7.50,1.00,6.94,7.06
None,DAP,16.00,0.95,12.72,14.94
None,MOP,9.00,-,10.63,9.43
