SL No,Name of Region,Aman,Boro,Wheat,Sugar- cane,Cotton,Potato,Vegetables,Other Crops,Total Irrigated Area
1,Bandarban,0,15,0,..,1,2,2,2,22
2,Khagrachari,11,27,0,..,2,2,12,7,61
3,Rangamati,3,18,0,3,0,1,8,2,35
4,Chattogram,8,159,..,2,1,10,78,27,283
5,Coxs Bazar,6,126,0,0,0,4,17,4,157
6,Cumilla,13,372,1,1,0,24,21,6,438
7,Chandpur,..,153,..,1,0,23,12,3,192
8,Brahmmanbaria,25,275,1,..,0,3,9,1,314
9,Noakhali,..,176,..,..,0,..,9,7,192
10,Lakshmipur,0,82,..,..,0,..,19,2,103
11,Feni,0,73,..,..,0,1,10,2,86
,Chattogram Division,66,1476,2,7,4,70,197,62,1883
12,Sylhet,49,194,1,0,0,2,18,3,267
13,Moulvibazar,1,140,..,0,0,5,8,6,160
14,Sunamganj,13,515,1,..,0,3,18,3,553
15,Habiganj,26,298,..,0,0,5,11,5,345
,Sylhet Division,89,1147,2,0,0,15,55,17,1325
16,Dhaka,29,106,..,0,0,2,16,3,156
17,Gazipur,35,146,..,..,..,..,12,7,200
18,Manikganj,19,121,..,..,0,3,7,41,191
19,Munshiganj,..,57,..,..,0,83,9,11,160
20,Narayanganj,10,48,..,..,0,6,14,2,80
21,Narsingdi,15,133,..,..,0,1,33,1,183
22,Faridpur,97,57,45,5,0,1,15,76,296
23,Rajbari,111,31,33,3,..,..,15,29,223
24,Madaripur,26,80,11,..,0,1,12,43,174
25,Gopalganj,12,199,15,..,0,1,5,21,251
26,Shariatpur,7,61,11,..,0,4,14,11,109
27,Tangail,87,418,6,..,0,3,26,15,555
28,Kishoreganj,33,406,2,..,0,8,14,7,470
,Dhaka Division,481,1863,123,8,0,113,192,267,3048
29,Mymensingh,25,644,3,3,..,4,30,5,714
30,Jamalpur,59,317,13,11,0,11,18,18,447
31,Sherpur,11,222,2,..,0,8,17,4,264
32,Netrokona,26,446,1,..,0,2,5,3,483
,Mymensingh Division,121,1629,19,14,0,25,70,30,1908
33,Barishal,32,107,2,1,0,2,13,6,163
34,Jhalokathi,1,25,..,..,0,1,4,2,33
35,Perojpur,0,57,..,..,0,3,11,3,74
36,Bhola,0,99,1,..,0,7,18,12,137
37,Patuakhali,2,2,0,0,0,1,2,35,42
38,Barguna,0,20,0,..,0,1,5,10,36
,Barishal Division,35,310,3,1,0,15,53,68,485
39,Jashore,254,393,2,1,2,3,54,39,746
40,Jhenaidah,255,222,13,3,4,4,42,67,609
41,Magura,152,89,12,..,..,..,30,110,393
42,Narail,101,123,4,..,0,..,9,8,245
43,Khulna,6,147,..,..,0,1,27,9,190
44,Bagerhat,1,145,..,..,0,1,17,5,169
45,Satkhira,3,194,1,..,0,5,37,3,245
46,Kushtia,216,89,31,8,1,4,161,166,675
47,Chuadanga,80,88,2,5,1,5,70,244,494
48,Meherpur,63,45,30,1,1,3,62,86,291
,Khulna Division,1131,1535,95,18,9,26,509,737,4057
49,Rajshahi,188,166,56,13,..,88,69,113,693
50,Naogaon,313,471,41,1,0,46,44,113,1029
51,Natore,126,151,62,28,..,1,22,103,493
52,Chapai Nawabganj,120,127,60,4,..,3,12,108,434
53,Bogura,266,463,5,..,..,130,33,33,930
54,Joypurhat,156,168,7,2,0,83,15,8,439
55,Pabna,81,141,71,3,0,6,31,83,416
56,Sirajganj,153,344,6,..,0,4,15,59,581
,Rajshahi Division,1403,2031,308,51,0,361,241,620,5015
57,Rangpur,46,324,5,..,..,104,34,39,552
58,Gaibandha,59,309,7,1,..,23,29,36,464
59,Kurigram,23,279,18,..,0,16,17,13,366
60,Nilphamari,59,202,10,..,0,54,17,78,420
61,Lalmonirhat,76,123,3,..,..,14,8,63,287
62,Dinajpur,273,432,8,3,..,117,79,114,1026
63,Thakurgaon,42,156,118,13,..,70,14,76,489
64,Panchagarh,1,81,50,4,0,24,17,28,205
,Rangpur Division,579,1906,219,21,0,422,215,447,3809
,BANGLADESH,3905,11897,771,119,13,1047,1532,2246,21530
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
