col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
Name of Stations,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chattogram,2561,3450,3713,2274,3817,2752,2870,2799,3563
Cox's Bazar,4059,2483,4716,3297,3951,3634,2760,4101,3485
Kutubdia,4203,2960,4253,2925,3721,2996,2613,3473,
Sandwip,3183,3468,4024,3743,5072,3930,2736,3850,3221
Sitakunda,2598,2964,3811,2753,4868,3527,3340,3349,
Teknaf,4186,3507,5447,4299,4178,3928,3993,-,
Rangamati,1950,1923,3342,2032,3819,2987,2706,2187,2002
Cumilla,1643,1635,2155,2174,3179,1712,1919,2276,2179
Chandpur,2545,1774,2804,2350,3006,1973,1732,2169,1954
Maijdeecourt,3044,2813,3209,2838,3902,2388,2874,3098,2340
Feni,2488,2510,3099,3091,4476,2662,2603,3193,2449
Hatiya,3436,3128,4360,3668,4235,2658,2822,3663,
Sylhet,3825,3372,4521,4291,5944,3581,3668,4228,3309
Dhaka,1590,1399,2166,1365,2892,1732,1837,1920,*
Faridpur,1639,1552,1827,1649,2117,1465,1230,3742,1734
Madaripur,2152,1436,1877,1983,0,1861,1815,,*
Mymensingh,1739,1934,2084,1968,2842,2131,1984,2395,*
Srimangal,2352,2282,2518,2546,3813,2186,2214,2286,1705
Tangail,1182,1641,1871,1131,2488,1639,1853,1957,1817
Barishal,2321,1454,2434,2351,2624,1418,1989,2292,1722
Bhola,2194,1762,2649,2460,2497,1513,1895,2398,2006
Jashore,1676,1318,1867,1366,2178,1142,1492,1963,1752
Khulna,2064,1461,2317,2222,2286,1073,1925,1570,2035
Mongla,1831,1508,2110,2118,2100,1710,1963,2254,2485
Satkhira,1662,1298,1792,1345,1931,1292,1903,1592,1944
Khepupara,3120,1877,3151,2784,3344,2961,3095,3381,2615
Patuakhali,2658,2028,3098,2751,2831,1902,2107,2842,2457
Bogura,1219,1708,1581,1081,2163,1650,1633,2115,1596
Dinajpur,1827,1398,1965,1649,1752,920,2288,2870,1751
Ishwardi,1129,1440,1584,1316,1799,1321,1444,1716,1588
Rajshahi,1248,1188,1421,1375,1463,956,1235,1411,1538
Rangpur,1916,1591,2417,2159,1852,1442,2289,3110,*
Syedpur,1722,1668,1885,1373,2127,1493,2130,2672,2031
Chuadanga,1165,1090,1465,1395,1532,1223,1290,1749,1644
Gopalgonj,*,*,*,*,*,*,1691,*,*
Tarash,*,*,*,*,*,*,1713,*,*
Netrokona,*,*,*,*,*,*,2656,*,*
Rajarhat,*,*,*,*,*,*,2185,*,*
Badalgachhi,*,*,*,*,*,*,1612,*,*
Dimla,*,*,*,*,*,*,2477,*,*
Kumarkhalii,*,*,*,*,*,*,1611,*,*
