District,River,Sundar- bans,Beel,Kaptai Lake,Flood Plain,Pond,Seasonal Cultured Water Body,Baor,Shrimp/ Prawn Farm,Pen Culture,Cage Culture,Total
Dhaka,1197,0,871,0,6292,8716,4072,0,5,2587,6,23746
Faridpur,2633,0,642,0,10247,22721,5895,855,11,1271,0,44275
Gazipur,526,0,1858,0,17150,29460,7946,0,6,835,6,57787
Gopalganj,761,0,930,0,8850,19263,3368,1014,2329,4858,16,41389
Kishoreganj,2641,0,7404,0,47996,28928,1029,0,0,222,0,88220
Madaripur,1624,0,326,0,8708,14322,214,1535,76,1427,225,28457
Manikganj,3096,0,744,0,11754,14392,2694,0,1,454,0,33135
Munshiganj,3622,0,303,0,11991,10731,4343,0,5,206,0,31201
Narayanganj,1827,0,179,0,1918,11341,3047,0,0,1030,0,19342
Narsingdi,2916,0,1352,0,13234,25744,877,0,0,98,1449,45670
Rajbari,3099,0,327,0,6611,17180,2724,34,0,0,7,29982
Shariatpur,6203,0,71,0,6036,15445,139,,53,4,0,27951
Tangail,1605,0,2498,0,12185,43507,1681,0,0,5,0,61481
Dhaka Division,31750,0,17505,0,162972,261750,38029,3438,2486,12997,1709,532636
Jamalpur,3327,0,3283,0,10227,20994,1653,0,2,0,18,39504
Mymensingh,1363,0,6657,0,12126,317169,1639,0,0,5,0,338959
Netrakona,1547,0,7056,0,38635,44458,3292,0,0,26,0,95014
Sherpur,1016,0,2652,0,2655,24894,1522,0,0,0,0,32739
Mymensingh Division,7253,0,19648,0,63643,407515,8106,0,2,31,18,506216
Bagerhat,5616,22144,35,0,5667,18675,1893,19,78769,208,3,133029
Chuadanga,390,0,1140,0,1440,12216,1481,1682,0,0,0,18349
Jashore,1029,0,1838,0,36427,138767,26302,3914,32946,0,0,241223
Jhenaidah,390,0,1106,0,6694,28864,3995,2176,0,0,0,43225
Khulna,4095,1644,256,0,21379,19615,1120,0,74245,0,3,122357
Kushtia,1380,0,621,0,3982,25523,4132,206,1,0,0,35845
Magura,1229,0,163,0,3034,11998,85,264,42,0,0,16815
Meherpur,321,0,443,0,1078,7698,218,255,1,0,0,10014
Narail,1010,0,580,0,3602,5348,632,0,4538,0,0,15710
Satkhira,1521,2259,39,0,14173,45271,2004,204,83815,0,0,149286
Khulna Division,16981,26047,6221,0,97476,313975,41862,8720,274357,208,6,785853
Barguna,7069,0,0,0,3709,8713,745,0,650,17,86,20989
Barishal,50787,0,39,0,9477,41666,7382,0,2898,29,63,112341
Bhola,107273,0,0,0,5387,39674,440,0,122,0,146,153042
Jhalokati,2495,0,18,0,4819,5451,606,0,186,122,10,13707
Patuakhali,34491,0,0,0,10654,28487,244,0,3543,8,0,77427
Pirojpur,4010,0,14,0,4198,10469,1101,0,2643,0,26,22461
Barishal Division,206125,0,71,0,38244,134460,10518,0,10042,176,331,399967
