SL:,Name of crops,2019-20,2020-2021,2021-2022,2022-2023,2023-2024
1,2,3,4,5,6,7
1,Paddy-boro-fine,2290,2155,2703,3031,3383
2,Paddy-boro-medium,1914,1875,2559,2792,2997
3,Paddy-boro-Coarse,1664,1588,2356,2463,2745
4,Paddy-Aman-fine,2071,2156,3081,3012,3313
5,Paddy-Aman-medium,1759,1900,2842,2639,2977
6,Paddy-Aman-coarse,1658,1724,2628,2406,2818
7,Paddy-Aus-fine,1699,-,-,-,-
8,Paddy-Aus-medium,1599,1349,-,-,-
9,Paddy-Aus-coarse,1606,1406,-,-,-
10,Rice-Boro-fine,4555,-,-,-,-
11,Rice-boro medium,3848,-,-,-,-
12,Rice-boro coarse,3074,,-,-,-
13,Rice-Aman-fine,4332,,-,-,-
14,Rice-Aman-medium,3478,,-,-,-
15,Rice-Aman-coarse,2912,,-,-,-
16,Rice-Aus-fine,-,,-,-,-
17,Rice-Aus-fine,-,,-,-,-
18,Rice-Aus-fine,-,,-,-,-
19,Rice-fragrant-Kalijira,7173,,-,-,-
20,Rice-fragrant-chinigura,7217,,-,-,-
21,Rice-fragrant-Kataribhog,6469,,-,-,-
22,Wheat-red,2156,2354,2495,-,-
23,Wheat-normal white,2335,2461,2570,2872,3904
24,Maize,1687,1769,1865,-,
25,Jute- white,4392,2857,6923,-,
26,Jute- Tosha,4522,4163,7590,7042,5572
27,Jute- Mesta,4028,3936,5563,7125,4971
28,Cotton-Carpas,-,-,-,,
29,Cotton-Shimul,2300,21000,-,,
30,Tobacco-heat filter,-,-,-,,
31,Tobacco-Air filter,-,-,-,,
32,Tobacco-Barli,-,-,-,,
33,Tobacco-local Motihar,8000,10291,-,-,-
34,Tobacco-Jati,6444,6000,-,-,-
35,Tobacco-talik,-,-,-,,
36,-Dal-kalai-Mash,4829,6366,7725,7561,10980
37,Dal-kalai-Masur,5541,7215,7611,6910,9124
38,Dal-kalai-Mung,5972,6196,7197,7644,9622
39,Dal-kalai-Gram,5901,6269,6325,6293,8121
40,Dal-kalai-Motor,3630,3512,5221,5661,7057
41,Dal-kalai- Kheshari,3196,3916,4626,4564,6631
42,Oilseed-Mustard,4884,4645,5625,7762,7311
43,Oilseeds-Soyabean,3222,3067,6213,,-
44,Oilseed-Lin seeds,4738,5993,5540,6794,11911
45,Oilseed-Til,4840,4880,5716,6335,11985
46,Oilseed-Groundnut,6569,8415,7796,8220,13683
47,Potato-local,1827,2113,2532,1807,3002
48,Potato-Holland white,1476,1663,1195,1425,3652
49,Potato-Holland red,1551,1717,2209,-,
50,Brinjal,2120,2624,2731,2922,3560
51,Ladys Finger,2408,2779,2938,2843,3529
52,Beans,2192,4077,2697,3458,5441
53,Barbati,2554,3180,3307,,
54,Radish,1042,1398,1412,1688,2137
55,Tomato,2127,4081,4177,3804,5253
56,Carrot,2368,3068,3556,,
