Sl no,Name of Comodity,None,Year-2023,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12
None,None,None,January,February,March,April,May,June,July,August,September,October,November,December,Average
01,Paddy Aman,Fine,3497,3630,3597,3528,3490,3283,3272,3238,3425,3412,3220,3172,3397
02,",,",Medium,3145,3197,3160,3138,3044,2978,2916,2873,3001,3056,2870,2878,3021
03,",,",Coarse,2829,2914,2914,2925,2834,2759,2657,2664,2934,2739,2702,2679,2796
04,",,",Pajam,3954,4038,3923,3942,3206,-,-,-,-,-,2728,2979,3539
05,‘’,shugandhi,5613,6092,6319,6548,6514,5650,5700,5700,-,-,-,4376,5835
06,Paddy Aus,medium,-,-,-,-,-,-,-,2297,2858,2858,2981,3520,2903
07,",,",coarse,3031,2969,3055,300,-,-,-,2277,2422,2516,2648,2703,2736
08,",,",Pajam,2775,2850,-,-,-,-,-,-,2525,2525,2700,2700,2679
09,Paddy Boro,fine,3854,3838,3778,3391,3072,3089,3115,3138,3233,3286,3404,3402,3383
10,,medium,3370,3387,3306,2996,2744,2788,2834,2877,2913,2980,3124,3114,3036
11,‘’,coarse,2922,2927,2902,2679,2452,2499,2595,2658,2696,2745,2848,2890,2734
12,",,",pajam,-,-,-,-,-,-,-,-,-,-,-,6100,6100
13,Rice Aman,fine,6839,6849,6802,6813,6780,6641,6588,6626,6607,6571,6543,6403,6672
14,",,",medium,5244,5243,5239,5222,5197,5180,51645,5181,5113,5136,5108,4972,5167
15,",,",coarse,4431,4453,4463,4447,4450,4460,4488,4500,445,4469,4484,4359,4454
16,",,",Pajam,5834,5742,6110,6075,6221,6189,6199,5823,5613,5519,5763,5745,5903
17,Rice Aus,medium,5350,5350,5350,5525,5525,5350,5350,4025,5225,4444,4680,5131,5109
18,",,",coarse,4050,4100,4150,4350,4313,4150,4150,4250,4200,3923,4162,4523,4193
19,‘’,Pajam,7050,7050,7080,7100,7100,7100,7100,7020,6900,6850,6800,4625,6815
20,Rice boro,fine,6752,3830,6741,6750,6521,6382,6311,6390,6397,6210,6246,6273,6484
21,",,",Medium,5526,5549,5510,5200,5248,5179,5151,5149,5201,5129,5201,5208,5271
22,",,",coarse,4449,4497,4457,4458,4358,4332,4468,4334,4395,4364,4485,4505,4425
23,",,",pajam,5650,5670,5712,5717,5578,5454,5254,5040,5022,5000,5081,5022,3491
24,Rice OMS,course,3525,3528,3525,3525,3525,3488,3450,3450,3456,3456,3481,3479,12116
25,Aromatic rice,Chinigura,11641,11891,12079,12180,12122,12080,12065,12673,12613,11970,11984,12090,11367
26,“,Kalojira,10796,11104,11026,11318,11168,11330,12929,11615,11445,11719,11085,10873,8552
27,“,kataribhog,8530,9104,9035,9100,8643,8569,8490,8380,8312,8203,8118,8135,4447
28,Wheat local,red,4931,4936,4775,4687,4670,4467,4321,4236,4280,4187,3916,3958,4433
