Sector of Fisheries,Water Area (Hectare),Production (Metric Ton),% of Production,Productivity,None
A. Inland Fisheries,,,,,
(i) Inland Open Water (Capture),,,,,
27. River and Estuary,853863,400701,7.98,469,kg/ha
28. Sundarbans,177700,28888,0.58,163,kg/ha
29. Beel,114161,110817,2.21,971,kg/ha
30. Kaptai Lake,68800,19253,0.38,280,kg/ha
31. Floodplain,2646757,852137,16.98,322,kg/ha
Capture Total,3861281,1411796,28.13,,
(ii) Inland Closed Water (Culture),,,,,
32. Pond,424168,2368741,47.20,5584,kg/ha
33. Seasonal Cultured Waterbody,148537,246686,4.92,1661,kg/ha
34. Baor,6218,12893,0.26,2073,kg/ha
35. Shrimp/Prawn Farm,262217,315387,6.28,1203,kg/ha
- Crab*,16672,10782,0.21,647,kg/ha
36. Pen Culture,9882,18123,0.36,1834,kg/ha
37. Cage Culture **,1.93 lakh cum,5452,0.11,28,kg/cum
Culture Total,867694,2978064,59.34,,
Inland Fisheries Total,4728975,4389860,87.47,,
B. Marine Fisheries,,,,,
38. Industrial (Trawling),,114804,2.29,,
39. Artisanal,,513819,10.24,,
Marine Fisheries Total,,628623,12.53,,
COUNTRY TOTAL,,5018483,100,,
