District/ Division,None,2022-23,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,2023-24,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28
None,None,Area,None,None,None,None,None,Yield Rate,None,None,None,None,None,"Productio
n",None,None,Area,None,None,None,None,None,Yield Rate,None,None,None,None,None,"Productio
n",None,None
None,None,Acres,None,None,"Hector
s",None,None,"Acres
(Maun
d)",None,None,"Hectors
(M. Ton)",None,None,(M. Ton),None,None,Acres,None,None,Hectors,None,None,"Acres
(Maund
)",None,None,"Hectors
(M.
Ton)",None,None,(M. Ton),None,None
1,Barguna,,2249,,,910,,,240.2,,,22.16,,,20165,,,2291,,,927,,,242.6,,,22.37,,,20745,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
2,Barishal,,1674,,,677,,,218.9,,,20.19,,,13679,,,929,,,376,,,266.3,,,24.56,,,9235,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
3,Bhola,,12796,,,5178,,,232.1,,,21.41,,,110860,,,12802,,,5181,,,231.1,,,21.32,,,110444,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
4,Jhalokathi,,1041,,,421,,,190.2,,,17.54,,,7390,,,971,,,393,,,185.3,,,17.09,,,6716,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
5,Patuakhali,,1367,,,553,,,221.0,,,20.38,,,11275,,,1635,,,662,,,215.5,,,19.88,,,13154,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
6,Pirojpur,,2171,,,879,,,230.13,,,21.23,,,18649,,,2309,,,934,,,223.83,,,20.65,,,19292,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
Barishal Division,None,,21298,,,8619,,,229,,,21.12,,,182018,,,20937,,,8473,,,230,,,21.19,,,179585,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
7,Bandarban,,1691,,,684,,,103.3,,,9.53,,,6519,,,1340,,,542,,,99.0,,,9.13,,,4953,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
8,Brahmanbaria,,3444,,,1394,,,186.1,,,17.16,,,23921,,,3184,,,1288,,,190.1,,,17.53,,,22586,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
9,Chandpur,,18005,,,7287,,,303.6,,,28.00,,,204051,,,18584,,,7521,,,295.6,,,27.26,,,205021,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
10,Chattogram,,10168,,,4115,,,164.2,,,15.14,,,62301,,,9534,,,3858,,,155.6,,,14.35,,,55377,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
11,Cumilla,,23737,,,9606,,,216.0,,,19.92,,,191371,,,23768,,,9619,,,276.3,,,25.49,,,245154,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
12,Cox’s Bazar,,3912,,,1583,,,190.4,,,17.56,,,27804,,,3843,,,1555,,,175.2,,,16.16,,,25129,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
13,Feni,,726,,,294,,,176.6,,,16.29,,,4786,,,858,,,347,,,195.3,,,18.01,,,6253,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
14,Khagrachari,,1620,,,656,,,124.4,,,11.48,,,7525,,,1706,,,690,,,155.4,,,14.34,,,9899,
