District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,0.00,0.00,0.00,0.00,0.00,0.00
7,Bandarban,0.00,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,4.90,0.98,4.60,0.92,14.95,15.92
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,48.94,14.41,42.3,15.31,42.3,15.31
11,Cumilla,0.75,0.49,0.78,0.53,0.78,0.53
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,0.00,0.00,0.00,0.00,0.00,0.00
16,Noakhali,0.00,0.00,0.00,0.00,0.00,0.00
17,Rangamati,25.62,11.50,24.68,11.22,24.68,11.22
Chattogram Division,None,80.21,27.38,72.36,27.98,72.36,27.98
18,Dhaka,13.70,14.79,14.95,15.92,14.95,15.92
19,Faridpur,7.87,8.80,13.21,12.92,13.21,12.92
20,Gazipur,8.20,3.64,9.15,5.74,9.15,5.74
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,1.35,1.55,1.55,1.78,1.55,1.78
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,51.72,72.52,72.52,68.22,72.52,68.22
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,1.81,5.52,1.79,5.45,1.79,5.45
Dhaka Division,None,84.65,106.82,113.17,110.03,113.17,110.03
31,Bagerhat,2.80,0.72,2.90,0.85,2.47,0.64
32,Chuadanga,108.79,360.87,103.99,342.88,101.8,425.10
33,Jashore,281.00,636.00,341.20,1722.00,357.00,3058.30
34,Jhenaidah,394.00,561.00,417.50,597.00,426.20,609.93
35,Khulna,6.66,1.47,6.46,1.40,6.46,1.40
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00
37,Magura,0.00,0.00,0.00,0.00,0.00,0.00
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0.00,0.00,0.00,0.00,0.00,0.00
39,Narail,0.00,0.00,0.00,0.00,0.00,0.00
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,793.25,1560.06,872.05,2664.13,893.93,4095.37
41,Jamalpur,0.00,0.00,0.00,0.00,0.00,0.00
42,Mymensingh,0.00,0.00,0.00,0.00,0.00,0.00
43,Netrokona,0.00,0.00,0.00,0.00,0.00,0.00
44,Sherpur,0.00,0.00,0.00,0.00,0.00,0.00
Mymensingh Division,None,0.00,0.00,0.00,0.00,0.00,0.00
45,Bogura,7.14,12.46,8.56,13.37,8.56,13.37
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00
47,Naogaon,8.70,17.64,9.00,18.32,9.00,18.32
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,9.99,8.82,11.09,9.69,11.09,9.69
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,2.75,4.14,2.89,4.42,2.89,4.42
52,Sirajganj,3.15,4.24,3.08,4.13,3.08,4.13
Rajshahi Division,None,31.73,47.30,34.62,49.93,34.62,49.93
53,Dinajpur,2.00,3.00,2.07,2.79,8.56,13.37
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00
55,Kurigram,2.67,11.27,2.60,4.55,9.00,18.32
56,Lalmonirhat,0.00,0.00,0.00,0.00,0.00,0.00
57,Nilphamari,0.00,0.00,0.00,0.00,11.09,9.69
58,Panchagar,2.85,3.18,4.51,4.41,0.00,0.00
59,Rangpur,21.00,18.00,19.00,17.00,2.89,4.42
60,Thakurgaon,0.00,0.00,0.00,0.00,3.08,4.13
Rangpur Divison,None,28.52,35.45,28.18,28.75,34.62,49.93
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,4.40,0.53,4.54,0.59,4.70,0.56
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0.00,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,4.40,0.53,4.54,0.59,4.70,0.59
BANGLADESH,None,1022.76,1777.54,1124.92,2881.41,1144.87,4333.69
