Commodity,Unit,2021-22,None,2022-23,None_1,2023-24,None_2
None,None,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"0105- Livefowl domestic Spices -
other",No.,-,-,-,-,-,-
0202-Meat of bovine animal,Kg,71121,39467,58769,43484,23515,18723
0303-Eels fish frozen,Kg,7596296,2949351,7469418,3433069,7797001,3661415
"03037-Fish, other frozen",Kg,-,-,-,-,,
"03039010-90 Livers and roes
frozen",Kg,-,-,-,-,-,-
"03052-Liver/roe dry smoked sltd in
brine",Kg,-,-,-,-,-,-
"0305- Fish filet dry sltd in brine
not smoked",Kg,3582072,626447,2130393,526525,2724900,704856
"03054910-Sharkfins, smoked
cooked or not salted",Kg,-,-,-,-,-,-
"03055990- Fish dry salted/ in brine
not smoked",Kg,3486116,569535,2036570,436670,2576884,579734
"030559- Fish dry unsalted, not
smoked",Kg,-,-,-,-,-,-
"03056990- Fish salted, not
dried/smoked and fish in brine,
other.",Kg,53537,10299,28935,15140,68342,33424
"0306- Shrimps, frozen",Kg,35144232,36186856,2988128,30934247,28440983,28752094
"030614- Crabs, frozen",Kg,950266,1019724,612557,66210,808180,1033665
"030629- Crustaceans, other, not
frozen",Kg,-,-,-,-,-,-
"0402- Milk powder
fat<=1.5%)W/sugar",Kg,156790,20525,176393,36684,111012,25976
"0501- Human hair unworked wash
or not & waste",Kg,3057,13986,883,14408,28877,41664
"0504-Bladder and gut of animal
not fish",Kg,1774896,1272397,1301804,740326,1888840,1159970
"0505- Feathers used for stuffing;
down",Kg,189012,146861,176522,99416,185684,53764
0506- Bones (uncrushed),Kg,52640,1122,-,-,33778,1672
05069- Unworked other,Value,20000,784,-,-,-,-
"0507900 Horn antler & similar pcs
of animals",Kg,-,-,29956,1433,86171,10666
"0709-Vegetable, fresh or chilled
other",Kg,1699396,380440,2498250,416936,1976046,418260
"0810- Fruits, fresh, other",Kg,848266,239696,54470,16881,28253,13288
