District/ Division,None,2022-23,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,2023-24,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28
None,None,Area,None,None,None,None,None,Yield Rate,None,None,None,None,None,"Producti
on",None,None,Area,None,None,None,None,None,Yield Rate,None,None,None,None,None,"Productio
n",None,None
None,None,Acres,None,None,Hectors,None,None,"Acres
(Maun
d)",None,None,"Hectors
(M. Ton)",None,None,(M. Ton),None,None,Acres,None,None,Hectors,None,None,"Acres
(Maund
)",None,None,"Hectors
(M. Ton)",None,None,(M. Ton),None,None
1,Barguna,,2249,,,910,,,240.21,,,22.16,,,20165,,,2291,,,927,,,242.58,,,22.37,,,20745,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
2,Barishal,,1674,,,677,,,218.91,,,20.19,,,13679,,,929,,,376,,,266.3,,,24.56,,,9235,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
3,Bhola,,12796,,,5178,,,232.1,,,21.41,,,110860,,,12802,,,5181,,,231.12,,,21.32,,,110444,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
4,Jhalokathi,,1041,,,421,,,190.17,,,17.54,,,7390,,,971,,,393,,,185.30,,,17.09,,,6716,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
5,Patuakhali,,1367,,,553,,,220.96,,,20.38,,,11275,,,1635,,,662,,,215.53,,,19.88,,,13154,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
6,Pirojpur,,2171,,,879,,,230.13,,,21.23,,,18649,,,2309,,,934,,,223.83,,,20.65,,,19292,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
Barishal Division,None,,21298,,,8619,,,229,,,21.12,,,182018,,,20937,,,8473,,,230,,,21.19,,,179585,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
7,Bandarban,,81,,,33,,,132.65,,,12.24,,,399,,,73,,,29,,,0,,,0.00,,,0,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
8,"Brahmanbari
a",,2585,,,1046,,,212.59,,,19.61,,,20512,,,2607,,,1055,,,206.3,,,19.03,,,20076,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
9,Chandpur,,18005,,,7287,,,303.61,,,28.00,,,204051,,,18584,,,7521,,,295.55,,,27.26,,,205021,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
10,Chattogram,,2585,,,1046,,,162.56,,,14.99,,,15687,,,2624,,,1062,,,148.62,,,13.71,,,14556,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
11,Cumilla,,23552,,,9531,,,215.73,,,19.90,,,189654,,,23579,,,9542,,,276.55,,,25.51,,,243400,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
12,Cox’s Bazar,,483,,,195,,,192.25,,,17.73,,,3466,,,470,,,190,,,191.48,,,17.66,,,3359,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
13,Feni,,575,,,232,,,190.71,,,17.59,,,4090,,,790,,,320,,,201.33,,,18.57,,,5937,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
14,Khagrachari,,485,,,196,,,162.3,,,14.97,,,2940,,,519,,,210,,,262.28,,,24.19,,,5077,
