District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,133,689,134.00,695.00,129.00,672.00
2,Barishal,0,0,0.00,0.00,6.00,34.00
3,Bhola,0,0,41.00,76.00,58.00,314.00
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
Barishal Division,None,133,689,175.00,771.00,193.00,1020.00
7,Bandarban,0,0,0.00,0.00,0.00,0.00
8,Brahmanbaria,83,200.25,119.00,342.21,173.00,635.40
9,Chandpur,0,0,0.00,0.00,50.52,330.40
10,Chattogram,44.35,116.84,27.16,69.88,106.45,112.00
11,Cumilla,108.35,1132.56,110.56,1134.26,111.60,1134.26
12,Cox’s Bazar,67.77,273.35,71.77,287.34,74.42,302.57
13,Feni,0,0,0.00,0.00,0.00,0.00
14,Khagrachari,0,0,0.00,0.00,0.00,0.00
15,Lakshmipur,73,556,84.45,634.10,90.20,676.20
16,Noakhali,40,115.80,47.00,150.32,51.03,164.61
17,Rangamati,0,0,0.00,0.00,0.00,0.00
Chattogram Division,None,416.47,2394.80,459.94,2618.11,657.22,3355.44
18,Dhaka,866,4517,888.55,4400.96,969.46,5026.26
19,Faridpur,0,0,185.00,2590.95,255.10,3130.40
20,Gazipur,0,0,0.00,0.00,0.00,0.00
21,Gopalganj,0,0,0.00,0.00,0.00,0.00
22,Kishoreganj,0,0,20.99,98.77,22.75,121.51
23,Madaripur,0,0,0.00,0.00,0.00,0.00
24,Manikganj,57.55,337,92.30,738.99,152.57,1716.00
25,Munshiganj,158,1157,158.94,1151.34,167.00,1013.81
26,Narayanganj,87.29,407.71,88.24,469.67,83.66,527.37
27,Narsingdi,36,138,38.58,154.93,44.47,241.29
28,Rajbari,181,1846,247.40,2562.84,250.00,2718.00
29,Shariatpur,64,518,70.00,632.00,79.00,717.00
30,Tangail,127,357,158.55,529.75,206.56,911.05
Dhaka Division,None,1576.84,9277.71,1948.55,13330.20,2230.57,16122.69
31,Bagerhat,6.50,48.12,9.00,73.56,22.00,177.53
32,Chuadanga,215,576,392.00,1305.20,416.20,1421.10
33,Jashore,51.20,275,53.00,285.00,53.00,286.00
34,Jhenaidah,349,4142,476.64,5561.63,512.41,5972.50
35,Khulna,84.25,164.32,121.65,265.65,297.75,2497.24
36,Kushtia,513,6038,698.00,8563.00,745.00,12302.00
37,Magura,80.50,757,94.95,865.63,106.62,995.71
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,376,4391,399.00,4895.38,416.00,5310.60
39,Narail,110,375,121.00,417.56,125.00,472.00
40,Satkhira,33,115,31.00,107.79,32.00,111.36
Khulna Division,None,1818.45,16881.44,2396.24,22340.40,2725.98,29546.04
41,Jamalpur,73,246,88.00,291.00,109.00,365.00
42,Mymensingh,39,81,31.00,62.00,33.00,103.00
43,Netrokona,14,58,25.00,131.00,65.00,357.00
44,Sherpur,35,115,44.00,233.00,47.00,294.00
Mymensingh Division,None,161,500,188.00,717.00,254.00,1119.00
45,Bogura,302,1044,352.00,19189.00,502.00,28634.00
46,Joypurhat,181,1944,295.00,4754.00,340.00,5613.00
47,Naogaon,68.20,812,160.18,4714.00,189.00,5613.00
48,Natore,0,0,69.00,2271.00,155.00,4698.00
49,Chapai Nawabganj,47,139,71.58,229.59,81.00,300.00
50,Pabna,2057,21892,2251.00,53140.00,2427.00,57367.00
51,Rajshahi,0,0,54.00,604.00,113.00,1513.00
52,Sirajganj,437,3077,636.00,5098.00,705.00,28868.00
Rajshahi Division,None,3092.20,28908,3888.76,89999.59,4512.00,132606.00
53,Dinajpur,242,5785,267.00,4634.00,299.00,4934.00
54,Gaibandha,63,246,74.00,360.00,103.00,516.50
55,Kurigram,4.25,10.20,4.63,11.11,4.83,11.69
56,Lalmonirhat,41,426.45,24.00,253.67,25.00,264.78
57,Nilphamari,20.06,99.18,35.27,188.74,67.58,368.77
58,Panchagar,205,1236.60,236.00,1423.45,239.50,1463.35
59,Rangpur,254,1859,277.00,1998.00,284.00,2033.00
60,Thakurgaon,38.20,225.60,31.70,169.05,41.20,223.65
Rangpur Divison,None,867.51,9888.03,949.60,9038.02,1064.11,9815.74
61,Habiganj,0,0,0.00,0.00,0.00,0.00
62,Moulvibazar,0,0,0.00,0.00,26.00,307.00
63,Sunamganj,0,0,0.00,0.00,0.00,0.00
64,Sylhet,0,0,0.00,0.00,0.00,0.00
Sylhet Division,None,0,0,0.00,0.00,26.00,307.00
BANGLADESH,None,8065.47,68538.98,10006.09,138814.32,11662.88,193891.91
