District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden,None_3,None_4,Production of Outside Garden,None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2,Barishal,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
3,Bhola,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4,Jhallokati,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5,Patuakhali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6,Pirojpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Barishal Division,None,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
7,Bandarban,34,34,34.00,3,2.72,2.72,2,2.41,2.41,5,5.13,5.13
8,Brahmanbaria,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
9,Chandpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
10,Chattogram,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
11,Cumilla,8,9.24,9.24,7,6.65,7.77,1,1.11,1.43,8,7.76,9.20
12,Cox’s Bazar,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
13,Feni,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
14,Khagrachari,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
15,Lakshmipur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
16,Noakhali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
17,Rangamati,60,51.11,51.11,286,489.50,489.50,273,22.64,361.68,948,512.12,851.18
Chattogram Division,None,102,94.35,94.35,296,498.87,499.99,276,26.16,365.52,961,525.03,865.51
18,Dhaka,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
19,Faridpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
20,Gazipur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
21,Gopalganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
22,Kishoreganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
23,Madaripur,0,0,0.00,0,0,0.00,0,1.62,0.00,0,1.62,0.00
24,Manikganj,1,1.21,4.00,0,0,10.39,2,2.00,0.31,1,2.00,10.70
25,Munshiganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
26,Narayanganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
27,Narsingdi,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
28,Rajbari,2,2.30,0.75,0,0,1.40,2,1.40,0.00,399,1.40,1.40
29,Shariatpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
30,Tangail,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Dhaka Division,None,3,3.51,4.75,0,0,11.79,4,5.02,0.31,400,5.02,12.10
31,Bagerhat,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
32,Chuadanga,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
33,Jashore,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
34,Jhenaidah,8,8.20,7.15,50,54.36,49.29,6,3.64,2.71,103,58.00,52.00
35,Khulna,0,0,0.00,0,0,0.00,0,,0.00,0,0,0.00
36,Kushtia,6,0,1.00,0,0,0.00,15,4.00,14.00,20,4.00,14.00
37,Magura,0,0,8.01,0,0,1.00,0,0,0.00,0,0,1.00
38,Meherpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
39,Narail,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
40,Satkhira,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Khulna Division,None,14,9.20,16.16,50,54.36,50.29,21,7.64,16.71,123,62.00,67.00
41,Jamalpur,0,,0.00,0,0,0.00,0,0,0.00,0,0,0.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,11,6.00,7.00,0,0,0.00,28,10.00,10.00,28,10.00,10.00
43,Netrokona,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
44,Sherpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
Mymensingh Division,None,11,6.00,7.00,0,0,0.00,28,10.00,10.00,28,10.00,10.00
45,Bogura,21,20.50,20.00,35,35.00,35.00,10,10,11.00,45,45,46.00
46,Joypurhat,9,7.28,8.00,42,27.88,26.46,15,8.12,11.54,57,36.00,38.00
47,Naogaon,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
48,Natore,22,0,0.00,0,0,0.00,19,0,0.00,19,19,0.00
