District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden,None_3,None_4,Production of Outside Garden,None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Bandarban,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,0.89,0.89,0.87,0.00,0.00,0.00,0.28,0.20,0.18,0.28,3.20,0.18
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,97.04,153.82,155.20,153.01,58.04,92.08,71.43,32.45,49.43,224.44,90.50,141.51
11,Cumilla,5.22,5.94,4.40,6.72,6.98,7.17,12.15,12.20,12.84,18.87,19.49,20.01
12,Cox’s Bazar,60.82,55.63,54.46,90.95,64.30,13.00,28.58,8.76,2.98,119.53,83.12,15.98
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Noakhali,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Rangamati,21.78,21.72,21.95,1.46,1.58,1.32,5.38,5.16,4.48,6.84,6.66,5.81
Chattogram Division,None,185.75,238.00,236.88,252.14,132.40,113.57,117.82,68.77,69.92,369.96,201.17,183.49
18,Dhaka,64.10,62.85,60.68,244.64,26.26,25.09,24.70,1.04,1.35,269.34,27.30,26.44
19,Faridpur,4.00,9.00,11.00,0.28,0.97,0.98,0.28,1.31,1.57,0.56,2.28,2.55
20,Gazipur,30.00,30.10,30.00,15.69,16.45,17.20,0.31,0.04,0.10,16.00,16.48,17.30
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,1.97,2.03,1.19,0.28,0.23,0.23,0.88,0.92,0.70,1.16,1.15,0.93
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,6.71,6.70,0.00,0.00,9.68,0.00,13.41,0.00,0.00,13.41,9.68,0.00
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,3.02,0.00,3.00,0.15,0.16,0.16,0.74,0.78,0.77,0.89,0.94,0.93
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,3.34,3.99,6.87,0.23,0.00,0.56,1.51,2.20,3.15,1.74,2.20,3.71
Dhaka Division,None,113.14,114.67,112.74,261.27,53.75,44.22,41.83,6.29,7.64,303.1,60.04,51.86
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,24.20,24.20,23.83,7.24,7.86,1.83,1.71,1.87,2.11,8.95,9.73,3.94
