District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,119.72,113.87,116.75,0.00,0.00,0.00,35.00,45.21,48.00,35.00,45.21,48.00
2,Barishal,120.52,110.00,110.00,0.00,0.00,0.00,231.00,222.00,226.00,231.00,222.00,226.00
3,Bhola,1.07,1.07,1.03,0.00,0.00,0.00,4.28,2.88,2.74,4.28,2.88,2.74
4,Jhallokati,37.07,36.00,37.00,0.00,0.00,0.00,32.00,35.00,37.00,32.00,35.00,37.00
5,Patuakhali,22.00,22.00,21.89,0.00,0.00,0.00,16.00,16.00,15.00,16.00,16.00,15.00
6,Pirojpur,64.24,64.46,64.91,16.74,0.00,17.73,356.26,377.70,361.67,373.00,377.70,379.40
Barishal Division,None,364.62,347.40,351.58,16.74,0.00,17.73,674.54,698.79,690.41,691.28,698.79,708.14
7,Bandarban,40.30,40.53,40.60,5.17,5.17,5.23,2.54,2.60,2.65,7.71,7.77,7.88
8,Brahmanbaria,13.19,18.67,18.63,0.00,0.00,0.00,36.29,33.71,33.98,36.29,33.71,33.98
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,45.53,35.69,9.22,0.00,0.00,0.00,60.22,58.82,50.77,60.22,58.82,50.77
11,Cumilla,12.78,14.36,14.66,0.00,0.00,0.00,7.03,8.32,16.96,7.03,8.32,16.96
12,Cox’s Bazar,6.84,7.50,8.48,0.00,0.00,0.00,6.69,7.32,46.11,6.69,7.32,46.11
13,Feni,2.49,2.50,5.63,0.00,0.00,0.00,2.38,2.39,13.60,2.38,2.39,13.60
14,Khagrachari,102.71,102.48,103.41,0.00,0.00,0.00,84.54,81.70,82.55,84.54,81.70,82.55
15,Lakshmipur,7.32,7.40,4.60,0.00,0.00,0.00,11.88,12.94,9.20,11.88,12.94,9.20
16,Noakhali,0.11,0.20,0.20,0.00,0.00,0.00,0.64,1.09,1.09,0.64,1.09,1.09
17,Rangamati,37.02,37.33,37.51,1.13,1.12,1.06,24.66,25.08,23.79,25.79,26.20,24.85
Chattogram Division,None,268.29,266.66,242.94,6.30,6.29,6.29,236.87,233.97,280.70,243.17,240.26,286.99
18,Dhaka,15.56,16.02,15.47,0.00,0.00,0.00,70.98,74.92,71.31,70.98,74.92,71.31
19,Faridpur,31.10,32.00,43.00,33.53,33.26,39.33,268.21,276.07,261.09,301.74,309.33,300.42
20,Gazipur,7.00,7.00,7.00,0.00,0.00,0.00,38.00,31.00,30.50,38.00,31.00,30.50
21,Gopalganj,17.78,18.07,18.45,0.00,0.00,0.00,55.66,43.33,57.06,55.66,43.33,57.06
22,Kishoreganj,2.36,2.18,2.17,0.00,0.00,0.00,6.23,5.22,5.34,6.23,5.22,5.34
23,Madaripur,47.47,47.39,46.63,0.00,0.00,0.00,340.50,319.10,307.40,340.50,319.10,307.40
24,Manikganj,10.25,10.41,10.56,0.00,0.00,0.00,8.80,10.56,10.58,8.80,10.56,10.58
25,Munshiganj,4.83,4.88,5.15,0.00,0.00,0.00,14.00,13.97,16.66,14.00,13.97,16.66
26,Narayanganj,4.01,4.06,3.97,0.00,0.00,0.00,25.85,22.89,24.64,25.85,22.89,24.64
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,11.47,12.91,11.97,0.00,0.00,0.00,40.00,49.36,48.75,40.00,49.36,48.75
29,Shariatpur,29.03,30.17,31.12,0.00,0.00,8.20,109.70,111.20,108.20,109.70,111.20,116.40
30,Tangail,1.04,0.98,1.17,0.00,0.00,0.00,2.56,2.58,2.89,2.56,2.58,2.89
Dhaka Division,None,181.90,186.07,196.66,33.53,33.26,47.53,980.49,960.20,944.42,1014.02,993.46,991.95
31,Bagerhat,68.22,70.01,109.53,96.07,0.00,27.39,1256.18,"1359.1
0","1364.3
5","1352.2
5","1359.1
0","1391.7
4"
32,Chuadanga,9.89,10.00,10.03,0.00,0.00,0.00,12.77,12.99,13.74,12.77,12.99,13.74
33,Jashore,151.51,161.81,162.58,0.00,0.00,0.00,1258.06,"1326.0
3","1350.7
2","1258.0
6","1326.0
3","1350.7
2"
34,Jhenaidah,9.00,10.46,10.71,0.00,0.00,0.00,62.54,65.97,67.84,62.54,65.97,67.84
35,Khulna,93.00,106.87,101.13,18.47,21.60,17.66,489.24,723.85,513.01,507.71,745.45,530.67
36,Kushtia,5.00,7.00,4.00,0.00,0.00,0.00,65.00,67.00,43.00,65.00,67.00,43.00
37,Magura,48.56,48.66,49.18,0.00,0.00,0.00,222.97,253.95,261.04,222.97,253.95,261.04
38,Meherpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Narail,243.64,243.55,242.94,0.00,0.00,0.00,467.53,465.42,463.10,467.53,465.42,463.10
40,Satkhira,111.00,111.30,116.27,0.00,0.00,0.00,333.01,344.23,332.24,333.01,344.23,332.24
Khulna Division,None,739.82,769.66,806.37,114.54,21.60,45.05,4167.30,4618.54,4409.04,4281.84,4640.1,4454.0
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
,None,,,,,,,,,,,4,9
41,Jamalpur,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00
42,Mymensingh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Netrokona,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00
44,Sherpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mymensingh Division,None,0.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,2.00,2.00
45,Bogura,14.00,12.70,10.00,0.00,0.00,0.00,69.00,24.70,16.00,69.00,24.70,16.00
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Natore,5.00,5.63,7.00,0.00,0.00,0.00,40.00,38.89,41.00,40.00,38.89,41.00
49,Chapai Nawabganj,18.00,20.41,12.00,0.00,0.00,0.00,24.00,29.18,47.00,24.00,29.18,47.00
50,Pabna,2.00,9.36,12.00,0.00,0.00,0.00,17.00,27.49,38.00,17.00,27.49,38.00
51,Rajshahi,17.00,18.75,19.00,0.00,0.00,0.00,20.00,22.50,24.00,20.00,22.50,24.00
52,Sirajganj,1.00,0.24,0.24,0.00,0.00,0.00,6.00,2.00,2.00,6.00,2.00,2.00
Rajshahi Division,None,57.00,67.09,60.24,0.00,0.00,0.00,176.00,144.76,168.00,176.00,144.76,168.00
53,Dinajpur,1.09,1.04,1.00,0.16,0.15,0.34,1.94,1.99,4.66,2.10,2.14,5.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Kurigram,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Lalmonirhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,Nilphamari,2.65,2.85,4.25,0.00,0.00,0.00,9.88,7.34,11.69,9.88,7.34,11.69
58,Panchagar,13.30,13.16,12.34,0.00,0.00,0.00,19.38,18.58,18.55,19.38,18.58,18.55
59,Rangpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Thakurgaon,5.85,6.04,6.24,0.00,29.67,0.00,28.11,29.67,31.63,28.11,59.34,31.63
Rangpur Divison,None,22.89,23.09,23.83,0.16,29.82,0.34,59.31,57.58,66.53,59.47,87.40,66.87
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,1.00,0.46,0.48,0.00,0.00,0.00,2.56,1.75,1.85,2.56,1.75,1.85
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,1.00,0.46,0.48,0.00,0.00,0.00,2.56,1.75,1.85,2.56,1.75,1.85
BANGLADESH,None,1635.52,1661.43,1683.10,171.27,90.97,116.94,6297.07,6717.59,6562.95,6468.34,6808.56,6679.89
