District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,61.78,63.18,65.04,0.00,0.00,0.00,22.90,25.90,28.00,22.90,25.90,28.00
2,Barishal,30.47,41.00,42.52,0.00,0.00,0.00,32.00,54.00,54.00,32.00,54.00,54.00
3,Bhola,2.01,2.00,2.19,0.00,0.00,0.00,7.64,6.48,6.39,7.64,6.48,6.39
4,Jhallokati,16.00,17.00,16.00,0.00,0.00,0.00,10.00,11.00,10.00,10.00,11.00,10.00
5,Patuakhali,28.00,29.00,31.04,0.00,0.00,0.00,28.00,29.00,35.00,28.00,29.00,35.00
6,Pirojpur,0.65,0.63,0.63,0.00,0.00,0.00,2.55,2.44,2.33,2.55,2.44,2.33
Barishal Division,None,138.91,152.81,157.42,0.00,0.00,0.00,103.09,128.82,135.72,103.09,128.82,135.72
7,Bandarban,26.20,26.20,26.20,0.00,0.00,0.00,2.95,1.32,1.54,2.95,1.32,1.54
8,Brahmanbaria,46.64,50.62,50.51,0.00,0.00,0.00,105.52,109.36,114.19,105.52,109.36,"114.1
9"
9,Chandpur,5.82,5.91,5.91,0.00,0.00,0.00,11.04,11.19,12.79,11.04,11.19,12.79
10,Chattogram,48.60,18.72,16.74,0.00,0.00,0.00,80.24,78.02,52.73,80.24,78.02,52.73
11,Cumilla,42.37,54.00,58.00,29.42,29.69,31.32,12.11,12.31,13.18,41.53,42.00,44.50
12,Cox’s Bazar,8.19,10.17,11.49,0.00,0.00,0.00,4.31,5.15,6.03,4.31,5.15,6.03
13,Feni,0.94,0.92,0.98,0.00,0.00,0.00,2.55,2.56,1.40,2.55,2.56,1.40
14,Khagrachari,1.21,1.17,1.16,0.00,0.00,0.00,1.46,1.38,1.35,1.46,1.38,1.35
15,Lakshmipur,4.91,4.88,4.82,0.00,0.00,0.00,8.84,9.02,8.73,8.84,9.02,8.73
16,Noakhali,0.21,0.30,0.32,0.00,0.00,0.00,1.55,0.42,2.08,1.55,0.42,2.08
17,Rangamati,24.62,24.82,24.90,0.84,0.36,0.39,27.37,27.20,29.82,28.21,27.56,30.21
Chattogram Division,None,209.71,197.71,201.03,30.26,30.05,31.71,257.94,257.93,243.84,288.20,287.98,275.55
18,Dhaka,15.67,18.02,17.39,50.56,0.00,0.00,0.02,49.57,46.14,50.58,49.57,46.14
19,Faridpur,156.00,156.00,157.00,11.64,11.17,8.52,328.86,305.94,275.71,340.50,317.11,284.23
20,Gazipur,10.00,10.00,11.00,0.00,0.00,0.00,19.00,18.00,19.00,19.00,18.00,19.00
21,Gopalganj,13.42,13.67,13.99,0.00,0.00,0.00,75.82,46.72,74.55,75.82,46.72,74.55
22,Kishoreganj,2.48,2.34,2.33,0.00,0.00,0.00,5.73,4.86,4.91,5.73,4.86,4.91
23,Madaripur,5.14,5.14,5.27,0.00,0.00,0.00,32.01,31.83,30.81,32.01,31.83,30.81
24,Manikganj,48.63,48.86,38.35,0.00,0.00,0.00,47.92,49.99,50.46,47.92,49.99,50.46
25,Munshiganj,5.90,6.10,5.98,0.00,0.00,0.00,12.35,13.58,12.48,12.35,13.58,12.48
26,Narayanganj,4.76,4.68,4.63,0.00,0.00,0.00,28.03,28.07,27.75,28.03,28.07,27.75
27,Narsingdi,15.15,15.28,15.50,0.13,0.13,0.00,73.10,74.82,76.82,73.23,74.95,76.82
28,Rajbari,5.48,3.18,2.94,0.00,0.00,0.00,12.70,11.95,11.64,12.70,11.95,11.64
29,Shariatpur,11.97,11.95,11.98,0.00,0.00,0.00,24.14,25.88,26.40,24.14,25.88,26.40
30,Tangail,3.98,1.44,1.33,0.00,0.00,0.00,20.35,6.00,5.22,20.35,6.00,5.22
Dhaka Division,None,298.58,296.66,287.69,62.33,11.30,8.52,680.03,667.21,661.89,742.36,678.51,670.41
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,5.23,39.89,40.53,5.84,101.69,"121.8
3",6.16,7.31,0.08,12.00,109.00,"121.9
1"
33,Jashore,3.15,9.17,8.75,0.00,0.00,0.00,16.00,55.00,97.35,16.00,55.00,97.35
34,Jhenaidah,3.00,3.08,3.20,0.00,0.00,0.00,14.00,14.00,13.82,14.00,14.00,13.82
35,Khulna,7.73,7.38,7.43,0.00,0.00,0.00,81.00,80.00,75.31,81.00,80.00,75.31
36,Kushtia,4.00,5.00,4.00,0.00,0.00,0.00,11.00,11.00,12.00,11.00,11.00,12.00
37,Magura,19.51,19.43,19.38,0.00,0.00,0.00,123.00,122.00,122.83,123.00,122.00,"122.8
3"
38,Meherpur,6.16,10.46,10.55,2.14,2.79,3.67,5.24,7.21,9.53,7.38,10.00,13.20
39,Narail,41.52,40.46,38.92,0.00,0.00,0.00,14.00,12.00,12.37,14.00,12.00,12.37
40,Satkhira,17.22,24.22,28.20,0.00,0.00,0.00,113.69,117.22,137.36,113.69,117.22,137.3
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
,,,,,,,,,,,,,6
Khulna Division,None,107.52,159.09,"160.9
6",7.98,104.48,125.50,384.09,425.74,480.65,392.07,530.22,606.15
41,Jamalpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Mymensingh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Netrokona,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
44,Sherpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mymensingh Division,None,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
45,Bogura,1.00,0.70,0.59,0.00,0.00,0.00,2.00,2.13,1.07,2.00,2.13,1.07
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0.00,12.15,12.95,0.00,0.00,0.42,0.00,0.00,1.39,0.00,0.00,1.81
48,Natore,18.00,19.09,14.64,6.39,6.14,6.07,44.61,44.84,45.08,51.00,50.98,51.15
49,Chapai Nawabganj,1.00,0.92,5.54,0.00,0.00,0.00,4.00,3.54,3.84,4.00,3.54,3.84
50,Pabna,6.00,5.87,6.04,17.57,16.47,16.66,34.42,33.19,34.10,52.00,49.66,50.76
51,Rajshahi,21.00,24.70,24.68,0.00,0.00,0.00,18.00,30.16,30.16,18.00,30.16,30.16
52,Sirajganj,0.33,0.29,0.28,0.00,0.00,0.00,2.00,1.12,1.27,2.00,1.12,1.27
Rajshahi Division,None,47.33,63.72,64.73,23.96,22.61,23.15,105.04,114.98,116.91,129.00,137.59,140.06
53,Dinajpur,0.36,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,1.20,0.00,0.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Kurigram,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
