District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,0.00,6.90,11.10,0.00,0.60,0.49,0.00,0.00,0.01,0.00,0.60,0.50
2,Barishal,196.28,5.00,13.00,50.28,0.00,0.00,37.72,32.00,36.00,0.00,32.00,36.00
3,Bhola,34.57,15.44,25.63,29.62,9.34,8.61,50.07,12.35,11.89,0.00,21.69,20.50
4,Jhallokati,57.00,22.00,59.00,83.86,96.17,95.77,159.14,161.83,171.23,0.97,258.00,267.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00
6,Pirojpur,85.19,22.30,88.67,177.96,183.90,103.05,33.57,35.78,117.95,211.53,219.68,221.00
Barishal Division,None,373.04,71.64,197.40,341.72,290.01,207.92,280.50,241.96,337.08,622.22,531.97,545.00
7,Bandarban,"1052.0
0","1052.2
0","1052.2
0",334.99,338.30,332.98,2.55,2.61,10.52,337.54,340.91,343.50
8,Brahmanbaria,73.99,73.02,57.96,264.33,298.81,272.01,0.00,0.02,0.03,264.33,298.83,272.04
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,0.00,38.40,47.45,0.00,40.00,78.73,0.00,0.00,0.27,0.00,40.00,79.00
11,Cumilla,17.45,18.33,18.47,5.90,3.63,3.85,11.35,7.11,7.58,17.25,10.74,11.43
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
