District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,126.00,388.00,129.00,397.00,126.00,376.00
2,Barishal,321.00,688.00,226.00,529.00,232.00,536.00
3,Bhola,384.18,815.00,386.66,851.00,396.16,933.00
4,Jhallokati,134.00,189.00,140.00,202.00,141.00,209.00
5,Patuakhali,102.50,125.52,113.05,139.05,110.65,131.30
6,Pirojpur,155.00,288.00,154.00,286.00,147.00,273.00
Barishal Division,None,1222.68,2493.52,1148.71,2404.05,1152.81,2458.30
7,Bandarban,134.00,430.35,137.90,442.64,142.50,457.09
8,Brahmanbaria,560.73,4067.51,604.60,4684.42,576.45,4365.03
9,Chandpur,244.07,673.37,223.09,671.37,208.77,630.48
10,Chattogram,1227.04,4560.66,1253.41,5589.26,1255.08,5420.93
11,Cumilla,1357.28,3901.61,1348.00,3962.00,1447.50,4063.00
12,Cox’s Bazar,120.85,769.30,137.27,809.50,152.80,1249.36
13,Feni,349.70,675.63,579.88,1901.13,581.00,5148.00
14,Khagrachari,350.40,1026.92,366.90,1088.51,376.50,1140.41
15,Lakshmipur,293.50,821.92,303.10,892.89,302.00,889.00
16,Noakhali,261.50,555.50,268.56,589.00,284.20,643.11
17,Rangamati,153.54,348.17,159.28,372.00,159.00,380.97
Chattogram Division,None,5052.61,17830.94,5381.99,21002.72,5485.80,24387.38
18,Dhaka,135.73,603.93,154.90,650.54,152.20,640.20
19,Faridpur,107.20,357.12,90.00,302.00,96.00,318.79
20,Gazipur,67.55,181.47,71.71,193.40,73.06,198.42
21,Gopalganj,128.80,523.33,126.92,521.02,131.00,746.91
22,Kishoreganj,397.62,1878.92,406.36,1968.03,389.25,1902.46
23,Madaripur,159.99,439.15,146.32,409.92,135.96,388.51
24,Manikganj,97.74,323.53,103.46,376.84,124.05,521.56
25,Munshiganj,603.20,2557.47,559.71,2315.39,517.49,2422.32
26,Narayanganj,82.70,357.68,84.37,368.22,87.41,383.79
27,Narsingdi,87.12,323.46,85.82,316.54,82.89,301.83
28,Rajbari,182.00,760.00,173.00,733.95,201.75,874.30
29,Shariatpur,143.00,491.00,184.00,656.00,185.00,661.00
30,Tangail,210.58,885.20,260.26,1136.49,268.56,1159.77
Dhaka Division,None,2403.23,9682.26,2446.83,9948.34,2444.62,10519.86
31,Bagerhat,195.50,437.20,200.05,438.76,177.10,362.40
32,Chuadanga,221.00,983.98,228.00,1376.20,304.71,2601.00
33,Jashore,522.42,2637.08,527.66,2696.20,523.00,2708.00
34,Jhenaidah,353.00,1484.00,355.00,1493.93,355.20,1496.01
35,Khulna,50.00,155.58,53.45,169.53,71.10,274.77
36,Kushtia,79.00,253.00,75.00,266.00,49.00,283.00
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
37,Magura,20.37,73.00,31.19,121.34,32.77,129.06
38,Meherpur,51.00,464.56,53.50,470.08,56.50,494.59
39,Narail,145.30,541.35,151.00,563.00,157.00,593.50
40,Satkhira,148.55,467.15,161.91,505.94,162.72,519.13
Khulna Division,None,1786.14,7496.90,1836.76,8100.98,1889.10,9461.46
41,Jamalpur,111.00,340.00,107.00,331.00,109.00,345.00
42,Mymensingh,562.00,1915.00,555.00,1917.00,558.00,1928.00
43,Netrokona,209.00,1144.00,239.00,1275.00,204.00,1048.00
44,Sherpur,37.00,64.00,35.00,89.00,35.00,93.00
Mymensingh Division,None,919.00,3463.00,936.00,3612.00,906.00,3414.00
45,Bogura,263.48,1184.58,269.71,1208.30,271.95,1208.97
46,Joypurhat,297.51,1064.98,307.44,1396.51,309.46,1469.12
47,Naogaon,340.53,1782.24,356.86,2602.29,349.76,2952.23
48,Natore,213.00,884.69,221.30,1239.06,239.80,1534.60
49,Chapai Nawabganj,153.50,404.27,149.12,740.68,159.70,798.77
50,Pabna,89.00,273.00,108.00,914.94,107.50,933.02
51,Rajshahi,401.99,1653.64,392.58,1948.99,389.23,2057.11
52,Sirajganj,1458.00,7305.30,1522.20,7818.11,1513.00,7917.00
Rajshahi Division,None,3217.01,14552.70,3327.21,17868.88,3340.40,18870.82
53,Dinajpur,251.00,792.00,268.00,817.00,277.00,1002.00
54,Gaibandha,121.00,316.07,164.34,457.15,165.00,469.00
55,Kurigram,140.66,361.63,140.76,357.60,142.00,370.00
56,Lalmonirhat,126.50,355.11,129.50,365.15,127.00,355.00
57,Nilphamari,199.50,684.77,205.06,706.38,201.00,693.00
58,Panchagar,201.50,673.29,195.00,650.75,188.00,626.00
59,Rangpur,106.00,316.00,104.00,313.00,103.00,311.00
60,Thakurgaon,109.30,187.37,114.75,199.88,120.00,367.00
Rangpur Divison,None,1255.46,3686.24,1321.41,3866.91,1323.00,4193.00
61,Habiganj,327.00,388.00,351.00,2073.87,379.00,2168.02
62,Moulvibazar,184.00,688.00,186.00,714.35,188.00,721.78
63,Sunamganj,377.00,815.00,379.00,1327.00,380.00,1330.00
64,Sylhet,287.00,189.00,298.00,953.70,306.00,1111.90
Sylhet Division,None,1175.00,4846.98,1214.00,5068.92,1253.00,5331.70
BANGLADESH,None,17031.13,64052.54,17612.91,71872.80,17794.73,78636.52
