District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,114,196,115.00,196.00,120.00,205.00
2,Barishal,447,938,451.00,1051.00,460.00,1074.00
3,Bhola,264,736,260.00,724.00,264.00,726.00
4,Jhallokati,341,876,351.00,895.00,365.00,929.00
5,Patuakhali,166,263,155.00,245.00,174.00,263.00
6,Pirojpur,366,788,369.00,797.00,373.00,804.00
Barishal Division,None,1698,3797,1701.00,3908.00,1756.00,4001.00
7,Bandarban,217.80,511,218.75,514.28,219.90,517.07
8,Brahmanbaria,615.72,1922.12,612.92,1915.21,606.25,1753.25
9,Chandpur,209.15,562.48,215.23,547.05,215.85,547.47
10,Chattogram,594.84,2096.95,608.78,2180.79,615.30,2202.38
11,Cumilla,531.53,1807.80,653.00,1868.00,676.00,1971.13
12,Cox’s Bazar,132.03,458.16,119.80,350.00,118.98,343.05
13,Feni,119.99,214.83,120.11,215.47,120.50,335.00
14,Khagrachari,535.10,1618.65,552.40,1673.20,564.20,1719.02
15,Lakshmipur,222.10,526.48,230.50,468.64,229.20,455.35
16,Noakhali,254.86,504.75,254.58,581.60,252.72,577.41
17,Rangamati,483.60,1506.69,458.47,1450.80,451.99,1430.04
Chattogram Division,None,3916.72,11729.91,4044.54,11765.04,4070.89,11851.17
18,Dhaka,683.51,4534.16,756.22,5050.36,734.75,5170.47
19,Faridpur,424.80,1335.2,424.80,1335.20,422.40,1333.50
20,Gazipur,365.23,799.07,447.46,1014.38,464.02,1047.10
21,Gopalganj,334.70,1101.84,309.10,998.92,283.75,900.42
22,Kishoreganj,372.19,1218.27,380.05,1210.96,380.77,1220.01
23,Madaripur,152.10,675.42,151.97,569.05,130.96,478.71
24,Manikganj,981.45,3172.31,975.47,3711.09,998.45,4003.41
25,Munshiganj,546.18,1081.11,535.12,1096.02,435.73,930.46
26,Narayanganj,366.79,843.88,344.99,828.03,336.56,803.15
27,Narsingdi,395.16,1510.68,390.27,1704.73,384.80,1689.71
28,Rajbari,374,2026,371.00,1979.23,374.50,2041.00
29,Shariatpur,168.30,1250,178.00,874.00,190.00,1517.00
30,Tangail,1103.25,3389.12,1096.92,3364.81,1090.97,3251.43
Dhaka Division,None,6267.66,22937.06,6361.37,23736.78,6227.66,24386.37
31,Bagerhat,556,1670,565.20,1709.27,574.00,1746.67
32,Chuadanga,360,1148,360.00,1154.20,345.70,1123.80
33,Jashore,502,2512,488.00,2444.00,468.40,2364.99
34,Jhenaidah,435,1705,416.00,1627.15,382.88,1491.03
35,Khulna,277,599,272.23,648.21,275.54,653.72
36,Kushtia,325,1785,321.00,1303.00,332.00,1745.00
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
37,Magura,143,393,140.49,386.63,124.67,350.58
38,Meherpur,127,476,130.00,660.57,135.00,693.98
39,Narail,105,401,112.50,434.19,123.00,475.00
40,Satkhira,203,740,210.94,774.46,207.18,762.72
Khulna Division,None,3033,11429,3016.36,11141.68,2968.37,11407.49
41,Jamalpur,549,1820,565.00,1995.00,567.00,1996.00
42,Mymensingh,1908,6263,1931.00,6341.00,1947.00,6401.00
43,Netrokona,375,2105,357.00,2140.00,359.00,2070.00
44,Sherpur,631,2892,628.00,2890.00,622.00,2859.00
Mymensingh Division,None,3463,13080,3481.00,13366.00,3495.00,13326.00
45,Bogura,398.49,1643.95,408.75,1762.93,385.59,1616.14
46,Joypurhat,176.82,560.21,177.87,1604.82,185.67,1709.74
47,Naogaon,374.56,1553.82,383.27,1976.70,390.18,2301.01
48,Natore,347.63,1185.96,360.65,3399.19,374.53,3456.25
49,Chapai Nawabganj,265.50,766.51,289.50,904.89,284.00,952.94
50,Pabna,836,4966.13,848.50,6721.00,849.50,6717.21
51,Rajshahi,737.34,3829.18,736.21,4275.41,757.54,4506.29
52,Sirajganj,536.86,2805.40,489.08,2955.90,484.80,3204.12
Rajshahi Division,None,3673.20,17311.16,3693.83,23600.84,3711.81,24463.70
53,Dinajpur,440,1332,446.75,1411.34,458.00,1465.00
54,Gaibandha,326,779,321.00,777.72,413.70,1006.72
55,Kurigram,361.21,1221.75,370.30,1233.05,370.50,1262.00
56,Lalmonirhat,213,641.15,231.00,694.26,231.25,693.86
57,Nilphamari,320.11,1212.59,304.97,1165.34,305.49,1051.94
58,Panchagar,316,1060.90,313.00,1043.70,315.00,1054.79
59,Rangpur,592,1878,397.00,1926.00,599.00,1938.00
60,Thakurgaon,318.30,665.35,325.81,684.83,328.65,688.64
Rangpur Divison,None,2886.62,8790.74,2709.83,8936.24,3021.59,9160.95
61,Habiganj,263.14,1157.53,268.51,1176.00,294.87,1158.10
62,Moulvibazar,277.61,1424.82,256.15,1405.15,294.17,1580.13
63,Sunamganj,247,1288,234.00,1223.00,231.00,1205.00
64,Sylhet,421.65,1227.11,424.85,1556.41,482.00,1871.00
Sylhet Division,None,1209.40,5097.46,1183.51,5360.56,1302.04,5814.23
BANGLADESH,None,26147.60,94172.33,26191.44,101815.14,26553.36,104410.91
