District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,98,146,96.00,162.00,101.00,171.00
2,Barishal,366,596,336.00,620.00,357.00,658.00
3,Bhola,253,412,265.00,427.00,263.00,442.00
4,Jhallokati,407,521,408.00,520.00,421.00,541.00
5,Patuakhali,159,259,159.00,219.00,165.00,230.00
6,Pirojpur,232,314,233.00,315.00,235.00,316.00
Barishal Division,None,1515,2248,1497.00,2263.00,1542.00,2358.00
7,Bandarban,86,113.16,83.30,110.46,83.70,111.02
8,Brahmanbaria,691.45,2159.20,671.20,2105.23,658.16,2068.34
9,Chandpur,250.57,592.65,254.03,588.63,250.99,580.66
10,Chattogram,381.48,1041.86,350.69,1019.54,348.71,1022.42
11,Cumilla,644.64,1842.33,655.00,1900.00,673.00,1948.99
12,Cox’s Bazar,84.09,119.55,79.53,115.48,79.69,119.04
13,Feni,145.02,226.94,145.26,227.05,140.50,258.50
14,Khagrachari,375.40,810.60,394.20,867.08,395.65,881.03
15,Lakshmipur,190,246,195.10,297.46,200.00,309.40
16,Noakhali,269.57,473.15,266.15,474.95,253.94,457.25
17,Rangamati,375.35,627.60,347.42,590.26,350.22,589.28
Chattogram Division,None,3493.57,8253.04,3441.88,8296.14,3434.56,8345.93
18,Dhaka,717.49,2044.16,761.50,2322.46,751.12,2362.39
19,Faridpur,551.25,1287.56,528.50,1279.08,536.10,1307.63
20,Gazipur,394.65,679.91,475.45,890.33,488.79,924.00
21,Gopalganj,676.33,2189.02,654.85,2176.36,647.44,2175.90
22,Kishoreganj,467.82,1832.39,476.62,1898.19,473.40,1869.87
23,Madaripur,309.62,1989.92,309.77,1455.59,291.07,1057.74
24,Manikganj,396.07,1102.72,301.00,528.19,293.92,559.05
25,Munshiganj,420,624.99,426.10,767.60,445.21,828.74
26,Narayanganj,571.82,1098.41,510.52,802.53,510.65,802.83
27,Narsingdi,379.33,1008.87,387.49,1035.79,389.07,1046.41
28,Rajbari,636,2964,580.00,1991.07,600.00,2116.55
29,Shariatpur,214,1016,214.00,1016.00,217.00,1064.00
30,Tangail,1857.60,4830.97,1851.60,5003.00,1807.51,4859.87
Dhaka Division,None,7591.98,22668.92,7477.40,21166.19,7451.28,20974.98
31,Bagerhat,534.20,1499.18,546.30,1516.02,551.50,1554.96
32,Chuadanga,476.50,1091.20,472.50,1081.20,449.65,1028.80
33,Jashore,1259,5424.34,1249.00,5468.00,1234.00,5431.00
34,Jhenaidah,728.50,3238,725.50,3228.72,724.31,3234.39
35,Khulna,378.49,1075.04,388.38,1147.58,391.19,1156.32
36,Kushtia,571,2099,566.00,2431.00,431.00,2017.00
37,Magura,243.62,931.39,242.66,928.91,238.59,908.11
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,142,913.53,146.00,949.25,153.00,996.86
39,Narail,324,1377.90,334.00,1432.32,350.00,1508.80
40,Satkhira,561.24,1480.16,554.79,1465.91,556.85,1489.86
Khulna Division,None,5218.55,19129.74,5225.13,19648.91,5080.09,19326.10
41,Jamalpur,774,2163,807.00,2303.00,821.00,2369.00
42,Mymensingh,1523,4865,1551.00,4973.00,1568.00,5112.00
43,Netrokona,402,2122,394.00,2153.00,392.00,2099.00
44,Sherpur,822,4056,833.00,4110.00,827.00,4091.00
Mymensingh Division,None,3521,13206,3585.00,13539.00,3608.00,13671.00
45,Bogura,326.80,1475.12,315.48,1524.77,309.69,1612.69
46,Joypurhat,221.18,612.42,221.87,708.20,224.91,740.73
47,Naogaon,359.34,1529.30,366.38,1833.53,374.58,1878.80
48,Natore,285.41,1009.75,304.17,2550.67,305.40,2616.05
49,Chapai Nawabganj,388.30,1107.66,398.00,1201.50,382.00,1249.30
50,Pabna,511.42,2216.03,525.04,2939.01,537.44,3017.31
51,Rajshahi,755.99,3958.50,743.97,4221.53,762.71,4289.12
52,Sirajganj,365.11,1969.93,332.90,1782.03,332.33,1916.07
Rajshahi Division,None,3213.55,13878.71,3207.81,16761.24,3229.06,17320.07
53,Dinajpur,468,1162,511.75,1253.85,494.00,1307.00
54,Gaibandha,251,665,244.00,607.26,240.02,597.01
55,Kurigram,223.95,515.23,246.20,637.68,249.50,647.00
56,Lalmonirhat,176.25,411.02,187.25,428.56,187.00,431.30
57,Nilphamari,185.24,564.3,178.89,496.13,177.87,474.43
58,Panchagar,393,956,386.00,934.72,383.00,924.30
59,Rangpur,260,459,250.00,439.00,250.00,438.00
60,Thakurgaon,385.28,699.53,393.21,723.54,395.56,737.96
Rangpur Divison,None,2342.72,5432.08,2397.30,5520.74,2376.95,5557.00
61,Habiganj,247.46,740.26,249.98,742.61,263.54,755.36
62,Moulvibazar,283.90,984.18,232.30,788.41,289.98,1032.20
63,Sunamganj,193,1314,194.00,1324.00,193.00,1214.00
64,Sylhet,367.45,804.73,441.35,1038.84,448.00,1304.00
Sylhet Division,None,1091.81,384317,1117.63,3893.86,1194.52,4305.56
BANGLADESH,None,27988.18,88659.66,27949.15,91089.08,27916.46,91858.64
