District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,39,52,39.00,59.00,37.00,62.00
2,Barishal,296,427,302.00,414.00,331.00,459.00
3,Bhola,163,233,166.00,244.00,172.00,274.00
4,Jhallokati,183,202,187.00,221.00,201.00,322.00
5,Patuakhali,18,23,19.00,25.00,18.00,23.00
6,Pirojpur,204,342,208.00,345.00,212.00,351.00
Barishal Division,None,903,1279,921.00,1308.00,971.00,1491.00
7,Bandarban,246,404,246.37,605.25,246.80,404.36
8,Brahmanbaria,197.41,425.97,202.36,574.41,205.53,520.92
9,Chandpur,72.15,113.15,84.27,184.13,82.22,184.51
10,Chattogram,839.12,2607.05,852.23,2642.93,857.03,2594.59
11,Cumilla,298.39,1762.29,282.94,2046.71,296.80,2079.10
12,Cox’s Bazar,242.51,414.41,244.39,667.45,245.59,498.40
13,Feni,22.45,22.80,23.35,63.00,23.60,67.20
14,Khagrachari,1112.30,2474.30,1132.35,2566.61,1155.20,2670.86
15,Lakshmipur,105.70,227.57,110.70,238.32,110.70,238.08
16,Noakhali,47.78,48.65,59.12,143.12,58.60,117.06
17,Rangamati,2108.50,3413.57,2095.61,3486.39,2074.44,3450.30
Chattogram Division,None,5292.31,11913.76,5333.69,13218.32,5356.51,12825.38
18,Dhaka,166.20,380.16,186.03,534.62,195.26,559.14
19,Faridpur,27.20,39.56,30.00,100.28,33.40,60.25
20,Gazipur,158.86,238.28,168.51,543.31,171.45,460.81
21,Gopalganj,55.70,385.41,58.20,397.22,57.80,395.08
22,Kishoreganj,226.24,1809.36,245.81,1672.17,246.21,1634.46
23,Madaripur,15.30,74.36,16.00,54.80,11.20,36.12
24,Manikganj,92,283,97.90,235.29,100.00,225.00
25,Munshiganj,87,367.27,91.50,388.08,82.51,343.14
26,Narayanganj,131.53,218.05,128.09,317.34,124.08,301.30
27,Narsingdi,1826.72,8262.29,1836.92,8385.26,1821.32,8343.64
28,Rajbari,15,70.80,21.00,95.00,33.75,143.20
29,Shariatpur,41.10,265,51.00,195.00,58.00,478.00
30,Tangail,202.69,495.56,200.33,508.84,201.86,532.42
Dhaka Division,None,3045.54,12889.10,3131.29,13427.21,3136.84,13512.56
31,Bagerhat,173.15,371.66,170.55,350.98,174.50,375.20
32,Chuadanga,65.25,87.90,70.50,94.50,67.75,99.40
33,Jashore,370.10,1636.99,387.45,1696.00,382.00,1679.00
34,Jhenaidah,223,613.57,220.00,602.33,230.26,630.47
35,Khulna,56.30,97.26,55.52,92.45,57.74,95.29
36,Kushtia,18,88,18.00,96.00,22.00,230.00
37,Magura,54.75,130.23,56.30,135.36,53.73,135.70
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,18,133.66,25.30,183.34,27.00,195.11
39,Narail,100.80,471.97,93.30,435.55,103.00,488.00
40,Satkhira,77.88,210.12,81.72,221.09,85.57,230.91
Khulna Division,None,1157.23,3841.36,1178.64,3907.60,1203.55,4159.08
41,Jamalpur,150,984,156.00,998.00,161.00,1000.00
42,Mymensingh,440,2045,452.00,2101.00,465.00,2145.00
43,Netrokona,102,725,104.00,650.00,105.00,640.00
44,Sherpur,141,606,147.00,631.00,129.00,575.00
Mymensingh Division,None,833,4360,859.00,4380.00,860.00,4360.00
45,Bogura,103.99,425.43,121.58,422.27,121.10,439.28
46,Joypurhat,117.36,604,101.17,765.70,121.45,853.35
47,Naogaon,129.29,595.13,122.43,640.02,129.50,688.18
48,Natore,191.44,882.59,170.06,1976.07,168.59,1946.22
49,Chapai Nawabganj,0,0,0.00,0.00,0.66,1.19
50,Pabna,40.38,150.43,44.26,188.00,50.48,219.85
51,Rajshahi,59.95,239.98,58.96,268.58,61.10,276.59
52,Sirajganj,38.30,166.64,10.10,54.34,8.50,45.73
Rajshahi Division,None,680.71,3064.2,628.56,4314.98,661.38,4470.39
53,Dinajpur,123,200,136.36,281.51,139.00,292.00
54,Gaibandha,152,260,150.00,257.60,151.56,258.21
55,Kurigram,98.80,196.05,104.10,207.33,108.80,217.90
56,Lalmonirhat,172.50,306.27,179.80,319.03,178.05,315.01
57,Nilphamari,159.13,397.57,157.57,427.58,156.35,415.06
58,Panchagar,96,221,102.00,234.64,104.00,240.20
59,Rangpur,321,517,323.00,519.00,331.00,536.00
60,Thakurgaon,70.54,87.54,73.66,88.48,67.90,83.29
Rangpur Divison,None,1192.97,2185.43,1226.49,2335.17,1236.66,2357.67
61,Habiganj,81.28,132.58,87.22,284.75,104.78,216.60
62,Moulvibazar,95.23,368.10,103.93,402.74,109.24,414.13
63,Sunamganj,72,223,73.93,227.00,72.00,225.00
64,Sylhet,116.30,193.84,166.00,364.00,140.00,400.00
Sylhet Division,None,364.81,917.52,431.08,1278.49,426.02,1255.73
BANGLADESH,None,13469.57,40450.37,13709.75,44169.77,13851.96,44431.81
