District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden,None_3,None_4,Production of Outside Garden,None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,3.09,0.64,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,0.00,3.09,0.64,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00
7,Bandarban,44.00,43.50,43.50,0.00,0.00,0.00,26.00,26.20,26.30,26.00,26.20,26.30
8,Brahmanbaria,55.00,55.00,60.50,0.00,0.00,0.00,284.00,313.30,313.30,284.00,313.30,313.30
9,Chandpur,4.00,3.90,3.90,0.00,0.00,0.00,8.00,8.10,8.10,8.00,8.10,8.10
10,Chattogram,43.00,33.50,34.00,7.24,0.00,0.00,115.76,180.50,186.00,123.00,180.50,186.00
11,Cumilla,51.00,51.00,48.00,0.00,0.00,0.00,82.00,79.00,80.00,82.00,79.00,80.00
12,Cox’s Bazar,14.00,15.90,16.00,0.00,0.00,0.00,50.00,54.50,68.20,50.00,54.50,68.20
13,Feni,12.00,12.30,18.60,7.08,6.30,0.00,22.92,57.79,61.30,30.00,64.10,61.30
14,Khagrachari,19.00,19.10,19.20,0.00,0.00,0.00,93.00,94.50,96.40,93.00,94.50,96.40
15,Lakshmipur,17.00,16.80,16.80,0.00,0.00,0.00,22.00,21.70,23.90,22.00,21.70,23.90
16,Noakhali,27.00,26.70,27.60,0.00,0.00,0.00,76.00,81.40,75.40,76.00,81.40,75.40
17,Rangamati,765.00,758.70,731.70,0.00,0.00,0.00,636.00,617.80,617.70,636.00,617.80,617.70
Chattogram Division,None,1051.00,"1036.4
0","1019.8
0",14.32,6.30,0.00,1415.68,1534.79,1556.60,1430.00,1541.09,"1556.6
0"
18,Dhaka,19.89,48.57,50.34,0.00,0.00,0.00,154.75,163.67,167.82,154.75,163.67,167.82
19,Faridpur,212.00,218.00,219.00,0.00,0.00,0.00,266.01,290.50,292.40,266.01,290.50,292.40
20,Gazipur,59.00,60.00,61.00,0.00,0.00,0.00,228.70,235.80,239.10,228.70,235.80,239.10
21,Gopalganj,61.67,54.04,54.82,0.00,0.00,0.00,193.96,216.38,222.96,193.96,216.38,222.96
22,Kishoreganj,81.03,81.50,81.98,0.00,0.00,0.00,206.90,212.70,216.00,206.90,212.70,216.00
23,Madaripur,0.85,1.18,1.53,0.00,0.00,0.00,3.02,6.16,6.58,3.02,6.16,6.58
24,Manikganj,47.51,48.91,55.10,0.00,0.00,0.00,83.41,88.66,94.92,83.41,88.66,94.92
25,Munshiganj,4.80,4.85,5.21,0.00,0.00,0.00,13.03,12.54,13.72,13.03,12.54,13.72
26,Narayanganj,8.62,8.57,8.58,0.00,0.00,0.00,67.12,59.34,59.30,67.12,59.34,59.30
27,Narsingdi,38.92,39.14,39.25,0.00,0.00,0.00,252.64,249.75,254.79,252.64,249.75,254.79
28,Rajbari,99.99,101.06,96.50,0.00,0.00,0.00,537.59,547.93,540.90,537.59,547.93,540.90
29,Shariatpur,24.49,26.38,27.09,0.00,0.00,0.00,130.10,146.00,139.50,130.10,146.00,139.50
30,Tangail,50.08,50.59,56.53,0.00,0.00,0.00,416.69,459.90,467.40,416.69,459.90,467.40
Dhaka Division,None,708.85,742.79,756.93,0.00,0.00,0.00,2553.92,2689.33,2715.39,2553.92,2689.33,"2715.3
9"
31,Bagerhat,46.65,40.13,45.64,0.00,0.00,0.00,307.59,323.68,333.39,307.59,323.68,333.39
32,Chuadanga,42.43,42.59,43.24,1.30,1.25,0.00,283.87,275.51,287.24,285.17,276.76,287.24
