District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,152.00,397.00,153.00,365.00,153.00,365.00
2,Barishal,372.00,943.00,449.00,1091.00,449.00,1091.00
3,Bhola,328.00,1069.00,337.00,1098.00,337.00,1098.00
4,Jhallokati,232.00,634.00,226.00,551.00,226.00,551.00
5,Patuakhali,73.00,88.00,75.00,90.00,75.00,90.00
6,Pirojpur,358.00,1099.00,361.00,1111.00,361.00,1111.00
Barishal Division,None,1515.00,4230.00,1601.00,4306.00,1601.00,4306.00
7,Bandarban,282.90,794.86,284.70,800.94,284.70,800.94
8,Brahmanbaria,930.90,6615.18,911.30,5781.70,911.30,5781.70
9,Chandpur,293.27,914.29,293.27,1482.27,293.27,1482.27
10,Chattogram,1956.95,8768.04,2006.02,9999.71,2006.02,9999.71
11,Cumilla,1673.60,8119.90,1685.22,8234.59,1685.22,8234.59
12,Cox’s Bazar,312.02,1114.71,345.93,1776.36,345.93,1776.36
13,Feni,125.61,259.43,126.70,762.00,126.70,762.00
14,Khagrachari,495.50,1610.08,510.80,1681.73,510.80,1681.73
15,Lakshmipur,185.00,627.12,189.00,642.21,189.00,642.21
16,Noakhali,280.39,1223.95,289.22,1271.14,289.22,1271.14
17,Rangamati,200.85,675.38,202.82,682.44,202.82,682.44
Chattogram Division,None,6736.99,30722.94,6844.98,33115.09,6844.98,33115.09
18,Dhaka,1008.40,9606.39,840.88,8108.54,840.88,8108.54
19,Faridpur,644.00,3841.12,719.90,3102.70,719.90,3102.70
20,Gazipur,868.74,6176.90,883.60,6268.85,883.60,6268.85
21,Gopalganj,430.30,2056.20,439.60,2100.16,439.60,2100.16
22,Kishoreganj,600.29,4153.61,615.88,4070.33,615.88,4070.33
23,Madaripur,56.73,268.91,61.42,324.76,61.42,324.76
24,Manikganj,689.63,4046.45,703.18,4035.83,703.18,4035.83
25,Munshiganj,785.50,4333.70,795.10,4470.83,795.10,4470.83
26,Narayanganj,455.34,2029.79,433.42,1894.39,433.42,1894.39
27,Narsingdi,414.14,1996.08,422.35,2080.09,422.35,2080.09
28,Rajbari,1112.00,5740.00,1097.00,5728.10,1097.00,5728.10
29,Shariatpur,105.00,757.00,116.00,847.00,116.00,847.00
30,Tangail,1806.30,12467.44,1831.71,12766.53,1831.71,12766.53
Dhaka Division,None,8976.37,57473.59,8960.04,55798.11,8960.04,55798.11
31,Bagerhat,464.72,2519.49,479.00,2604.53,479.00,2604.53
32,Chuadanga,1876.50,6142.85,1889.25,8549.39,1889.25,8549.39
33,Jashore,1955.00,9262.84,1684.00,8696.00,1684.00,8696.00
34,Jhenaidah,1700.00,8997.70,1707.00,9064.79,1707.00,9064.79
35,Khulna,607.35,3228.53,623.93,3341.60,623.93,3341.60
36,Kushtia,954.00,4855.00,867.00,4578.00,867.00,4578.00
37,Magura,220.15,1917.16,329.50,2964.68,329.50,2964.68
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,1057.00,10517.17,1053.00,10538.74,1053.00,10538.74
39,Narail,430.00,1533.92,439.00,1275.00,439.00,1275.00
40,Satkhira,1107.74,6374.80,1117.47,6511.56,1117.47,6511.56
Khulna Division,None,10372.46,55349.46,10189.15,58124.29,10189.15,58124.29
41,Jamalpur,2899.00,30200.00,2820.00,29585.00,2820.00,29585.00
42,Mymensingh,1664.00,20566.00,1705.00,21072.00,1705.00,21072.00
43,Netrokona,443.00,4468.00,502.00,4280.00,502.00,4280.00
44,Sherpur,1178.00,14709.00,1184.00,13840.00,1184.00,13840.00
Mymensingh Division,None,6184.00,69943.00,6211.00,68777.00,6211.00,68777.00
45,Bogura,1397.00,9471.00,1409.00,11907.00,1409.00,11907.00
