District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,151.00,488.00,157.00,496.00,162.00,490.00
2,Barishal,1172.00,4749.00,1132.00,4476.00,1132.00,4512.00
3,Bhola,708.00,2631.00,719.00,3178.00,725.00,3215.00
4,Jhallokati,909.00,6399.00,918.00,6217.00,924.00,6607.00
5,Patuakhali,297.00,860.00,330.00,830.00,333.00,743.00
6,Pirojpur,676.00,2307.00,665.00,2323.00,673.00,2348.00
Barishal Division,None,3913.00,17434.00,3921.00,17520.00,3949.00,17915.00
7,Bandarban,800.30,2800.70,803.50,1551.30,804.90,1554.12
8,Brahmanbaria,827.55,4734.49,789.50,4330.20,760.60,4162.71
9,Chandpur,1102.59,5968.50,1104.33,6111.92,1106.83,6128.92
10,Chattogram,1335.23,6974.15,1507.75,8057.36,1524.13,23924.17
11,Cumilla,1636.45,10319.50,1654.96,10396.94,1663.59,10409.29
12,Cox’s Bazar,378.18,1852.47,385.81,1893.04,388.00,1900.02
13,Feni,380.00,2675.59,380.76,2333.64,419.00,3765.00
14,Khagrachari,817.30,2981.65,853.80,3111.67,870.00,3177.09
15,Lakshmipur,681.00,2829.00,696.50,2903.29,703.00,2934.17
16,Noakhali,1071.65,4375.25,1071.11,4509.15,1106.78,4560.27
17,Rangamati,597.69,2273.56,617.12,2336.76,619.03,2593.31
Chattogram Division,None,9627.94,47784.86,9865.14,47535.27,9965.86,65109.07
18,Dhaka,2071.80,13999.83,2006.94,15813.23,2047.96,16093.44
19,Faridpur,954.40,4032.49,999.37,4361.71,1009.57,4397.36
20,Gazipur,2608.20,11912.00,500.77,2298.16,530.50,2464.16
21,Gopalganj,763.80,5313.26,731.20,4827.05,686.45,4376.09
22,Kishoreganj,714.61,5144.72,711.20,5135.91,702.37,5142.18
23,Madaripur,715.10,3650.67,717.78,3593.26,657.53,3302.64
24,Manikganj,788.08,3641.46,806.55,4109.67,839.30,4665.18
25,Munshiganj,638.70,4446.16,593.50,4053.36,628.40,4416.82
26,Narayanganj,1285.32,5572.80,1269.34,5204.04,1255.36,5143.42
27,Narsingdi,975.56,7557.63,937.23,7248.55,921.11,7077.80
28,Rajbari,790.00,4960.00,884.00,5294.20,897.00,5374.00
29,Shariatpur,476.00,2930.00,485.00,4108.00,519.00,6070.00
30,Tangail,2173.40,10897.87,2171.87,10691.91,2168.12,10688.89
Dhaka Division,None,14954.97,84058.89,12814.75,76739.05,12862.67,79211.98
31,Bagerhat,640.00,2584.00,673.65,2587.47,716.28,2827.01
