District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,155.00,745.00,154.00,357.00,157.00,381.00
2,Barishal,1091.00,4269.00,1170.00,3597.00,1209.00,3877.00
3,Bhola,961.00,2358.00,960.00,2768.00,985.00,2951.00
4,Jhallokati,451.00,879.00,461.00,982.00,464.00,992.00
5,Patuakhali,196.00,246.00,199.00,250.00,201.00,219.00
6,Pirojpur,388.00,674.00,402.00,767.00,406.00,776.00
Barishal Division,None,3242.00,9171.00,3346.00,8721.00,3422.00,9196.00
7,Bandarban,524.80,1386.20,525.40,1386.80,526.50,1389.59
8,Brahmanbaria,225.00,877.50,1466.95,6547.16,1431.95,6431.85
9,Chandpur,1589.25,5285.12,1597.50,5315.25,1603.50,5340.70
10,Chattogram,4409.82,17710.72,4492.88,18181.05,4518.28,43557.68
11,Cumilla,3525.00,27747.50,3782.20,27961.42,3801.00,28012.30
12,Cox’s Bazar,775.42,5057.72,794.20,5266.89,795.00,5287.50
13,Feni,654.92,2767.53,657.00,3718.00,661.00,5555.00
14,Khagrachari,779.60,2576.33,818.90,2684.28,837.43,2762.82
15,Lakshmipur,611.00,5169.00,616.50,5111.00,622.50,5167.00
16,Noakhali,1689.01,7656.57,1703.45,7808.68,1752.17,7936.95
17,Rangamati,612.75,1362.42,620.47,1447.40,630.87,1784.40
Chattogram Division,None,15396.57,77596.61,17075.45,85428.01,17180.20,113225.79
18,Dhaka,1085.90,5472.15,1098.01,5610.59,943.60,4975.49
19,Faridpur,803.50,4648.63,816.80,4689.70,817.30,4721.70
20,Gazipur,1132.18,7186.14,1139.41,7240.05,1145.50,7395.06
21,Gopalganj,840.10,5934.90,804.74,5922.41,865.70,6087.77
22,Kishoreganj,917.42,7835.37,921.23,7621.56,921.86,7980.50
23,Madaripur,352.97,3610.26,380.71,3127.90,383.55,2914.68
24,Manikganj,602.47,3587.00,608.17,3740.94,625.79,3876.06
25,Munshiganj,594.50,2250.98,606.77,1718.70,646.52,2706.34
26,Narayanganj,639.15,2258.67,635.19,2170.27,627.21,2124.53
27,Narsingdi,694.15,2183.74,702.19,2232.68,534.42,1934.97
28,Rajbari,260.00,1250.00,745.00,3117.20,765.50,3159.60
29,Shariatpur,1375.00,13477.00,1386.00,13675.00,1389.00,14222.00
30,Tangail,829.72,5352.77,842.49,5440.53,852.11,5435.92
Dhaka Division,None,10127.06,65047.61,10686.71,6630.53,10518.06,67534.62
31,Bagerhat,1240.00,7282.00,1021.40,5266.85,939.70,3900.14
32,Chuadanga,897.00,3992.00,909.25,4474.80,914.00,4690.70
33,Jashore,1460.00,7089.00,1417.50,7045.58,1427.26,7156.90
34,Jhenaidah,1027.00,3498.00,1054.00,3601.60,1065.50,3655.75
35,Khulna,817.00,2387.00,1074.48,3344.00,1081.43,3459.61
36,Kushtia,783.00,5713.00,815.00,6013.00,797.00,6642.00
37,Magura,140.00,823.00,144.11,930.33,148.77,989.04
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,272.00,3125.00,267.00,3064.49,262.00,3121.06
39,Narail,512.00,1935.00,530.00,2014.31,566.00,2174.28
40,Satkhira,786.00,2836.00,795.99,2885.02,798.71,2957.29
Khulna Division,None,7934.00,38680.00,8028.73,38640.88,8000.37,38746.77
41,Jamalpur,3856.00,13771.00,3867.00,13813.00,3869.00,13821.00
42,Mymensingh,1994.00,19558.00,2626.00,31032.00,2683.00,31706.00
43,Netrokona,678.00,4150.00,729.00,5399.00,764.00,6137.00
44,Sherpur,785.00,5810.00,784.00,5558.00,782.00,5457.00
Mymensingh Division,None,7313.00,43289.00,8006.00,55802.00,8098.00,57121.00
45,Bogura,911.24,3631.39,933.00,3500.45,931.03,3764.97
46,Joypurhat,365.56,2074.02,371.48,2142.08,374.87,2197.24
47,Naogaon,918.37,3507.90,947.45,5866.59,983.23,6189.66
48,Natore,707.48,2976.61,692.03,3211.78,695.25,3363.73
49,Chapai Nawabganj,2471.50,11872.54,2538.00,17387.52,2439.00,17031.07
50,Pabna,902.00,3454.00,938.00,5942.36,946.00,6289.34
51,Rajshahi,8150.51,67611.33,8096.39,67060.38,7992.00,68042.34
52,Sirajganj,693.64,4627.53,692.06,5302.32,591.71,4613.50
Rajshahi Division,None,15120.30,99755.32,15208.41,110413.48,14953.09,111491.85
53,Dinajpur,4356.00,39009.68,4438.00,29262.03,4499.00,28132.00
54,Gaibandha,259.44,888.55,260.60,826.69,278.00,1188.00
55,Kurigram,267.80,880.07,288.69,1009.68,293.00,1508.00
56,Lalmonirhat,472.50,2458.30,467.75,2439.88,474.00,2612.00
57,Nilphamari,358.56,1971.40,355.60,2007.29,353.00,2011.00
58,Panchagar,2032.00,15834.93,1948.00,15368.62,1948.00,11693.00
59,Rangpur,718.00,5183.00,723.00,5231.00,729.00,4800.00
60,Thakurgaon,566.14,6457.02,616.19,6992.24,664.00,4030.00
Rangpur Divison,None,9030.44,72682.95,9097.83,63137.43,9238.00,55974.00
61,Habiganj,1195.76,7297.37,1635.31,9745.43,1647.93,9973.50
62,Moulvibazar,599.42,3614.44,608.70,3845.63,615.67,3898.36
63,Sunamganj,1357.00,14100.00,1362.00,14090.00,1361.00,14044.00
64,Sylhet,1836.00,11065.30,1888.00,13073.10,1842.00,10281.90
Sylhet Division,None,4988.18,36077.11,5494.01,40754.16,5466.60,38197.76
BANGLADESH,None,73151.55,442299.60,76943.14,469204.49,76876.32,491487.79
