District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,237.00,395.00,242.00,404.00,239.00,379.00
2,Barishal,686.00,1236.00,738.00,1283.00,746.00,1296.00
3,Bhola,435.00,724.00,449.00,668.00,449.00,675.00
4,Jhallokati,504.00,601.00,501.00,606.00,496.00,616.00
5,Patuakhali,180.00,159.00,196.00,198.00,194.00,168.00
6,Pirojpur,337.00,340.00,336.00,341.00,341.00,353.00
Barishal Division,None,2379.00,3455.00,2462.00,3500.00,2465.00,3487.00
7,Bandarban,190.30,433.34,193.00,438.30,198.90,451.45
8,Brahmanbaria,713.00,1267.51,641.75,1160.42,620.89,1102.96
9,Chandpur,608.53,1293.78,609.96,1311.00,614.17,1322.14
10,Chattogram,1239.53,1895.67,1263.41,1988.77,1248.28,3060.06
11,Cumilla,1276.00,2788.00,1281.00,2975.60,1333.40,2985.26
12,Cox’s Bazar,189.75,532.68,195.38,514.46,185.61,490.73
13,Feni,529.31,1003.21,529.66,1082.00,468.50,1035.50
14,Khagrachari,375.12,714.09,387.61,735.94,398.11,768.58
15,Lakshmipur,525.00,872.00,558.30,974.00,556.50,977.34
16,Noakhali,604.56,839.85,613.98,868.93,631.14,914.51
17,Rangamati,295.31,378.53,294.24,374.00,292.00,385.55
Chattogram Division,None,6546.41,12018.66,6568.29,12423.42,6547.50,13494.08
18,Dhaka,820.40,4122.20,725.35,3343.60,724.41,3303.87
19,Faridpur,265.00,547.37,279.90,575.90,293.10,602.87
20,Gazipur,353.26,515.61,368.14,542.05,405.22,573.22
21,Gopalganj,300.15,620.45,308.20,642.94,300.60,627.87
22,Kishoreganj,393.16,733.07,397.68,748.24,402.27,745.09
23,Madaripur,478.47,945.26,519.63,1075.53,536.92,1089.64
24,Manikganj,290.25,539.71,302.56,574.90,315.18,641.45
25,Munshiganj,396.50,1059.66,439.87,1241.78,474.25,1434.31
26,Narayanganj,418.06,702.93,314.57,638.34,404.66,718.77
27,Narsingdi,257.54,327.38,253.88,322.40,254.38,325.08
28,Rajbari,715.00,2365.00,703.00,2388.00,716.00,2389.00
29,Shariatpur,202.00,591.00,215.00,639.00,224.00,667.00
30,Tangail,494.90,947.78,499.46,947.07,503.87,964.89
Dhaka Division,None,5384.69,14017.42,5327.24,13679.75,5554.86,14083.06
31,Bagerhat,548.70,849.46,549.00,803.22,551.00,813.68
32,Chuadanga,505.00,1124.97,495.50,795.40,493.00,758.14
33,Jashore,1039.00,2434.83,1064.00,2523.96,1049.34,2511.50
34,Jhenaidah,745.00,1720.04,751.00,1739.50,762.00,1761.75
35,Khulna,512.15,799.67,511.65,801.08,516.15,834.55
36,Kushtia,633.00,2232.00,710.00,2596.00,636.00,2412.00
37,Magura,121.89,246.44,131.20,301.22,162.92,419.64
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,229.00,829.62,226.00,837.20,223.00,834.29
39,Narail,397.00,820.43,415.00,860.00,420.00,870.82
40,Satkhira,757.22,1512.74,764.90,1734.18,759.24,1701.73
Khulna Division,None,5487.96,12570.20,5618.25,12991.76,5572.65,12918.10
41,Jamalpur,851.00,1612.00,836.00,1596.00,850.00,1625.00
42,Mymensingh,768.00,1896.00,795.00,1945.00,830.00,2034.00
43,Netrokona,209.00,526.00,224.00,555.00,228.00,524.00
44,Sherpur,356.00,838.00,361.00,871.00,365.00,898.00
Mymensingh Division,None,2184.00,4872.00,2216.00,4967.00,2273.00,5081.00
45,Bogura,423.61,760.03,434.60,994.65,434.95,1034.71
46,Joypurhat,202.37,420.17,206.34,401.14,207.63,478.21
47,Naogaon,540.13,1049.91,562.71,1451.36,577.11,1562.58
48,Natore,516.00,1067.43,516.10,1162.80,500.09,1197.15
49,Chapai Nawabganj,361.32,747.78,358.40,913.03,364.68,951.85
50,Pabna,619.00,1723.00,636.60,1923.26,638.00,2178.44
51,Rajshahi,1386.00,3427.00,1362.12,3413.39,1382.61,3541.28
52,Sirajganj,531.82,1149.73,505.75,1152.22,526.18,1271.19
Rajshahi Division,None,4580.25,10345.05,4582.62,11411.85,4631.25,12215.41
53,Dinajpur,451.00,784.77,463.00,839.00,481.00,1008.00
54,Gaibandha,327.29,509.57,323.74,473.60,318.00,479.00
55,Kurigram,414.00,733.26,420.70,756.81,426.00,894.00
56,Lalmonirhat,393.50,735.01,398.25,747.27,401.00,851.00
57,Nilphamari,307.27,606.22,308.25,624.80,305.00,642.00
58,Panchagar,501.00,984.20,486.00,864.05,455.00,821.00
59,Rangpur,992.00,1549.00,990.00,1542.00,994.00,1556.00
60,Thakurgaon,420.00,714.18,424.00,721.28,383.00,658.63
Rangpur Divison,None,3806.06,6616.21,3813.94,6568.81,3763.00,6909.63
61,Habiganj,264.32,2048.00,273.51,571.09,290.07,604.73
62,Moulvibazar,585.28,2219.70,587.18,1301.18,593.36,1425.75
63,Sunamganj,485.00,2996.00,471.00,1368.00,472.00,1369.00
64,Sylhet,542.80,1558.00,531.20,1151.00,541.40,1124.90
Sylhet Division,None,1877.40,8821.70,1862.89,4391.27,1896.83,4524.38
BANGLADESH,None,32245.77,72716.24,32451.23,69933.86,32704.09,72712.66
