District/ Division,None,2021-22,None_1,2022-23,None_2,2022-23_1,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,23.00,44.00,43.00,83.00,43.00,83.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00
3,Bhola,106.00,297.00,106.00,259.00,106.00,259.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,7.80,5.46,7.82,5.48,7.82,5.48
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,136.80,346.46,156.82,347.48,156.82,347.48
7,Bandarban,5.50,7.15,0.00,0,0.00,0
8,Brahmanbaria,22.55,34.43,27.75,50.01,27.75,50.01
9,Chandpur,22.35,91.62,22.56,102.18,22.56,102.18
10,Chattogram,50.65,172.27,51.01,165.18,51.01,165.18
11,Cumilla,10.71,27.34,33.1,85,33.1,85
12,Cox’s Bazar,6.72,10.28,7.33,11.21,7.33,11.21
13,Feni,0.27,0.72,0.28,1.1,0.28,1.1
14,Khagrachari,11.00,22.34,11.80,24.096,11.80,24.096
15,Lakshmipur,6.00,15.60,6.50,18.16,6.50,18.16
16,Noakhali,29.00,98.60,21.00,71.61,21.00,71.61
17,Rangamati,0.00,0.00,0.00,0.00,0.00,0.00
Chattogram Division,None,164.75,480.35,181.33,528.546,181.33,528.546
18,Dhaka,429.20,3049.60,383.49,2936.61,383.49,2936.61
19,Faridpur,29.20,60.10,35.00,68.00,35.00,68.00
20,Gazipur,52.80,211.90,52.90,220.84,52.90,220.84
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,44.20,136.10,46.69,141.83,46.69,141.83
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,1562.00,10994.20,1729.98,14057.50,1729.98,14057.50
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,11.09,17.60,11.70,17.56,11.70,17.56
27,Narsingdi,1.14,1.75,1.12,1.75,1.12,1.75
28,Rajbari,61.00,242,72.00,293,72.00,293
29,Shariatpur,8.00,68,9.00,77,9.00,77
30,Tangail,104.40,291.30,125.01,397.72,125.01,397.72
Dhaka Division,None,2303.03,15072.55,2466.89,18211.81,2466.89,18211.81
31,Bagerhat,43.06,89.36,38.39,88.26,38.39,88.26
32,Chuadanga,69.60,279.36,77.88,340.26,77.88,340.26
33,Jashore,130.93,512.07,136,528,136,528
34,Jhenaidah,66.00,224.00,67.00,225.28,67.00,225.28
35,Khulna,21.26,41.03,24.12,53.644,24.12,53.644
36,Kushtia,106.00,314.00,103.00,324.00,103.00,324.00
37,Magura,25.95,87.84,27.88,106.99,27.88,106.99
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,35.00,189.45,39.00,215.926,39.00,215.926
39,Narail,29.00,69.52,30.00,71,30.00,71
40,Satkhira,95.95,366.08,99.13,378.09,99.13,378.09
Khulna Division,None,622.75,2172.71,642.37,2331.45,642.37,2331.45
41,Jamalpur,289.00,1216.00,287.00,1217.00,287.00,1217.00
42,Mymensingh,282.00,996.00,275.00,981.00,275.00,981.00
43,Netrokona,0.00,0.00,0.00,0.00,0.00,0.00
44,Sherpur,168.00,612.00,161.00,615.00,161.00,615.00
Mymensingh Division,None,739.00,2824.00,723.00,2813.00,723.00,2813.00
45,Bogura,169.44,971.92,165.37,1007.53,165.37,1007.53
46,Joypurhat,47.23,213.31,50.05,242.38,50.05,242.38
47,Naogaon,68.93,339.58,96.12,557.42,96.12,557.42
48,Natore,81.46,437.18,70.04,441.64,70.04,441.64
49,Chapai Nawabganj,0.00,0.00,2.50,8.78,2.50,8.78
50,Pabna,475.25,3808.00,507,4123.82,507,4123.82
51,Rajshahi,102.97,485.19,105.14,558.29,105.14,558.29
52,Sirajganj,64.16,275.43,59.5,249.68,59.5,249.68
Rajshahi Division,None,1009.44,6530.61,1055.72,7189.54,1055.72,7189.54
53,Dinajpur,158.50,364.59,175.00,424.29,175.00,424.29
54,Gaibandha,153.23,389.79,147.71,395.7,147.71,395.7
55,Kurigram,94.44,204.70,103.26,224.51,103.26,224.51
56,Lalmonirhat,101.50,388.20,100.25,388.04,100.25,388.04
57,Nilphamari,116.00,442.52,131.31,442.31,131.31,442.31
58,Panchagar,203.50,684.57,200.00,674.375,200.00,674.375
59,Rangpur,216.00,594.00,220.00,585.00,220.00,585.00
60,Thakurgaon,85.00,365.78,91.90,394.005,91.90,394.005
Rangpur Divison,None,1128.17,3434.15,1169.43,3528.23,1169.43,3528.23
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,8.00,30.00,12.00,45.14,12.00,45.14
63,Sunamganj,19.00,39.00,23.00,48.00,23.00,48.00
64,Sylhet,54.00,219.94,58.00,227.41,58.00,227.41
Sylhet Division,None,81.00,288.94,93.00,320.55,93.00,320.55
BANGLADESH,None,6184.94,31149.77,6488.56,35270.61,6488.56,35270.606
