District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,71.00,120.00,77.00,131.00,86.00,133.00
2,Barishal,427.00,1326.00,449.00,1482.00,474.00,1616.00
3,Bhola,80.00,235.00,85.00,267.00,89.00,263.00
4,Jhallokati,330.00,1313.00,340.00,1457.00,334.00,1427.00
5,Patuakhali,69.00,126.00,72.00,131.00,91.00,146.00
6,Pirojpur,455.00,1261.00,464.00,1284.00,470.00,1302.00
Barishal Division,None,1432.00,4381.00,1487.00,4752.00,1544.00,4887.00
7,Bandarban,23.79,22.60,22.00,20.90,22.40,21.28
8,Brahmanbaria,31.10,51.80,25.90,42.87,21.85,35.30
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,93.08,246.43,78.96,192.77,76.53,220.00
11,Cumilla,3.03,3.05,3.55,15.00,4.76,16.01
12,Cox’s Bazar,0.00,0.00,3.55,15.00,0.00,0.00
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,7.00,7.46,6.00,6.50,6.50,10.38
15,Lakshmipur,0.00,0.00,0.00,0.00,0.00,0.00
16,Noakhali,0.00,0.00,7.00,15.66,7.90,17.70
17,Rangamati,8.07,7.03,6.90,5.89,5.76,4.89
Chattogram Division,None,166.07,338.37,153.86,314.59,145.70,325.56
18,Dhaka,43.50,193.57,45.10,201.32,43.80,195.52
19,Faridpur,110.80,195.50,108.50,193.84,103.01,186.14
20,Gazipur,61.82,262.84,61.95,270.56,61.10,270.11
21,Gopalganj,17.90,29.45,0.00,0.00,0.00,0.00
22,Kishoreganj,29.43,63.03,27.79,52.33,26.36,47.81
23,Madaripur,19.00,58.01,31.57,83.88,25.00,72.50
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,20.10,36.93,22.77,54.81,20.02,52.37
26,Narayanganj,42.20,112.31,41.20,99.68,40.50,92.64
27,Narsingdi,61.21,96.62,47.17,73.87,50.70,92.15
28,Rajbari,28.00,103.00,36.00,148.20,33.00,142.00
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,27.07,54.86,27.93,54.86,28.10,54.78
Dhaka Division,None,461.03,1206.12,449.98,1233.35,431.59,1206.02
31,Bagerhat,603.10,1470.58,779.40,2176.94,541.40,1554.41
32,Chuadanga,30.00,137.70,27.00,126.40,25.00,120.00
33,Jashore,0.00,0.00,84.00,295.68,82.00,289.02
34,Jhenaidah,132.00,410.60,134.00,392.44,145.00,430.65
35,Khulna,465.35,1024.29,431.89,1053.07,384.49,925.64
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00
37,Magura,0.00,0.00,0.00,0.00,0.00,0.00
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0.00,0.00,0.00,0.00,0.00,0.00
39,Narail,0.00,0.00,0.00,0.00,0.00,0.00
40,Satkhira,71.45,305.63,67.17,262.89,71.57,288.18
Khulna Division,None,1301.90,3348.80,1523.46,4307.42,1249.46,3607.90
41,Jamalpur,32.00,62.00,31.00,61.00,33.00,66.00
42,Mymensingh,0.00,0.00,13.00,16.00,12.00,15.00
43,Netrokona,0.00,0.00,0.00,0.00,0.00,0.00
44,Sherpur,0.00,0.00,0.00,0.00,0.00,0.00
Mymensingh Division,None,32.00,62.00,44.00,77.00,45.00,81.00
45,Bogura,0.00,0.00,0.00,0.00,0.00,0.00
46,Joypurhat,0.00,0.00,0.00,0.00,0.40,2.39
47,Naogaon,0.00,0.00,0.00,0.00,11.50,58.99
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0.00,0.00,0.00,0.00,0.00,0.00
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,0.00,0.00,0.00,0.00,0.00,0.00
52,Sirajganj,0.00,0.00,0.00,0.00,0.00,0.00
Rajshahi Division,None,0.00,0.00,0.00,0.00,11.90,61.38
53,Dinajpur,10.25,21.41,12.00,30.61,10.00,29.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00
55,Kurigram,0.00,0.00,0.00,0.00,0.00,0.00
56,Lalmonirhat,0.00,0.00,0.00,0.00,0.00,0.00
57,Nilphamari,0.00,0.00,0.00,0.00,0.00,0.00
58,Panchagar,36.00,65.39,34.00,62.42,32.00,69.00
59,Rangpur,0.00,0.00,0.00,0.00,0.00,0.00
60,Thakurgaon,33.00,156.95,27.00,126.65,18.00,54.00
Rangpur Divison,None,79.25,243.75,73.00,219.68,60.00,152.00
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,0.00,0.00,0.00,0.00,28.04,89.20
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,6.60,16.00,7.30,18.00,10.00,25.00
Sylhet Division,None,6.60,16.00,7.30,18.00,38.04,114.20
BANGLADESH,None,3478.85,9596.04,3738.60,10922.04,3525.69,10435.06
