District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,37.00,108.00,38.00,111.00,36.00,103.00
2,Barishal,238.00,823.00,244.00,880.00,265.00,917.00
3,Bhola,33.30,54.16,42.10,79.74,45.00,109.00
4,Jhallokati,188.00,494.00,154.00,327.00,155.00,331.00
5,Patuakhali,99.00,165.18,101.15,170.71,101.00,172.00
6,Pirojpur,256.00,744.00,255.00,737.00,254.00,732.00
Barishal Division,None,851.30,2388.34,834.25,2305.45,856.00,2364.00
7,Bandarban,39.00,47.20,39.00,47.16,40.80,49.34
8,Brahmanbaria,9.60,47.22,8.40,41.05,7.65,37.20
9,Chandpur,56.49,103.38,55.66,102.52,54.70,100.54
10,Chattogram,160.77,313.20,169.49,334.29,161.98,330.35
11,Cumilla,10.18,26.30,10.57,27.65,11.15,28.05
12,Cox’s Bazar,24.22,100.76,24.08,100.21,21.89,94.46
13,Feni,21.15,79.25,21.10,79.55,20.90,74.00
14,Khagrachari,180.05,552.31,183.20,571.41,193.50,623.32
15,Lakshmipur,0,0,0.00,0.00,0.00,0.00
16,Noakhali,11.42,34.54,12.00,36.40,11.00,33.20
17,Rangamati,154.55,427.95,143.60,386.90,139.76,370.76
Chattogram Division,None,667.43,1732.11,667.10,1727.14,663.33,1741.22
18,Dhaka,92.35,346.49,39.90,161.82,37.90,139.27
19,Faridpur,168.10,694.69,168.10,694.68,164.00,690.19
20,Gazipur,85.47,310.73,84.54,307.37,84.12,308.67
21,Gopalganj,69.35,322.56,125.02,645.33,130.14,643.77
22,Kishoreganj,3.25,8.22,3.27,8.34,3.40,8.34
23,Madaripur,16.45,52.41,22.20,72.87,27.70,91.32
24,Manikganj,33.47,57.29,32.67,55.37,33.97,66.94
25,Munshiganj,0,0,0.00,0.00,0.00,0.00
26,Narayanganj,52.95,164.95,52.75,168.20,50.36,162.33
27,Narsingdi,0,0,0.00,0.00,0.00,0.00
28,Rajbari,68.00,239.00,65.00,251.00,63.00,260.00
29,Shariatpur,0,0,16.00,44.00,18.00,50.00
30,Tangail,147.75,443.30,144.41,453.12,138.65,454.08
Dhaka Division,None,737.14,2639.64,753.86,2862.10,751.24,2874.91
31,Bagerhat,178.00,316.00,162.50,303.89,166.12,337.46
32,Chuadanga,105.00,521.00,99.50,497.05,62.20,295.28
33,Jashore,224.00,1020.00,367.50,2130.05,383.44,2241.44
34,Jhenaidah,294.00,1474.00,298.50,1488.15,306.74,1554.00
35,Khulna,168.00,516.00,169.75,515.62,175.18,529.15
36,Kushtia,169.00,701.00,216.00,1004.00,226.00,1349.00
37,Magura,42.00,178.00,42.37,181.76,40.56,174.57
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0.00,0.00,20.00,272.69
39,Narail,149.00,501.00,136.00,456.58,135.00,455.24
40,Satkhira,302.00,1549.00,296.81,1524.13,308.81,1586.62
Khulna Division,None,1631.00,6776.00,1788.93,8101.23,1824.05,8795.45
41,Jamalpur,24.00,67.00,21.00,58.00,24.00,76.00
42,Mymensingh,68.00,214.00,66.00,208.00,67.00,221.00
43,Netrokona,42.00,125.00,40.00,119.00,31.00,157.00
44,Sherpur,58.00,182.00,45.00,141.00,46.00,144.00
Mymensingh Division,None,192.00,588.00,172.00,526.00,168.00,598.00
45,Bogura,17.63,111.93,17.50,110.00,0.00,0.00
46,Joypurhat,28.53,105.34,36.09,182.16,38.98,261.71
47,Naogaon,48.38,181.52,48.77,186.58,69.80,345.85
48,Natore,76.75,310.91,83.94,375.91,88.06,398.08
49,Chapai Nawabganj,49.21,106.32,48.45,110.29,51.95,125.31
50,Pabna,36.65,114.91,28.50,203.52,23.10,167.18
51,Rajshahi,47.67,335.34,48.66,367.21,47.13,361.82
52,Sirajganj,43.98,149.76,38.38,132.77,37.02,130.66
Rajshahi Division,None,348.80,1416.03,350.29,1668.44,356.04,1790.61
53,Dinajpur,134.00,696.00,143.00,692.00,141.00,650.00
54,Gaibandha,4.00,8.00,0.00,0.00,0.00,0.00
55,Kurigram,0.67,1.67,0.63,1.68,1.00,2.00
56,Lalmonirhat,0,0,0.00,0.00,0.00,0.00
57,Nilphamari,0,0,0.00,0.00,0.00,0.00
58,Panchagar,90.00,162.54,85.00,153.24,82.00,147.00
59,Rangpur,31.00,109.00,33.00,115.00,34.00,123.00
60,Thakurgaon,76.74,158.70,75.00,150.68,73.00,148.00
Rangpur Divison,None,336.41,1135.91,336.63,1112.60,331.00,1070.00
61,Habiganj,0,0,0.00,0.00,12.50,37.50
62,Moulvibazar,139.91,248.16,130.49,335.70,128.98,329.57
63,Sunamganj,0,0,0.00,0.00,0.00,0.00
64,Sylhet,0,0,0.00,0.00,0.00,0.00
Sylhet Division,None,139.91,248.16,130.49,335.70,141.48,367.07
BANGLADESH,None,4903.99,16924.19,5033.55,18638.66,5091.14,19601.26
