District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0.00,0.00,0.00,0.00
2,Barishal,0,0,25.00,56.00,21.00,46.00
3,Bhola,0,0,0.00,0.00,0.00,0.00
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
Barishal Division,None,0,0,25.00,56.00,21.00,46.00
7,Bandarban,217,349.10,179.00,468.66,180.75,471.77
8,Brahmanbaria,22.60,132.71,20.72,120.05,20.32,118.59
9,Chandpur,1.90,2.30,1.50,1.80,1.90,2.60
10,Chattogram,1045.52,3773.95,1031.38,2773.14,1015.88,2755.69
11,Cumilla,32.25,117.80,32.64,119.10,33.10,120.05
12,Cox’s Bazar,236.25,931.77,236.34,932.60,228.54,902.27
13,Feni,43,134,42.86,135.19,43.20,152.00
14,Khagrachari,3320,13992.81,3364.80,14305.71,3406.46,14598.23
15,Lakshmipur,0,0,0.00,0.00,0.00,0.00
16,Noakhali,59.90,206.49,62.80,210.68,69.25,232.70
17,Rangamati,442.70,1216.45,433.95,1212.95,422.46,1164.81
Chattogram Division,None,5421.12,20857.38,5405.99,20279.88,5421.86,20518.71
18,Dhaka,0,0,0.00,0.00,0.00,0.00
19,Faridpur,186,811.40,180.95,822.57,177.10,775.07
20,Gazipur,76.44,249.66,71.88,244.26,71.38,245.21
21,Gopalganj,13,62.87,16.10,132.10,16.60,137.11
22,Kishoreganj,79.15,306.18,75.04,280.26,68.40,254.21
23,Madaripur,0,0,0.00,0.00,0.00,0.00
24,Manikganj,8,24,9.40,28.20,7.40,20.72
25,Munshiganj,0,0,0.00,0.00,0.00,0.00
26,Narayanganj,58.50,170.70,58.05,181.50,55.54,176.66
27,Narsingdi,8.81,30.89,8.97,31.43,8.97,31.45
28,Rajbari,0,0,0.00,0.00,0.00,0.00
29,Shariatpur,0,0,0.00,0.00,0.00,0.00
30,Tangail,777.85,3041.04,1136.13,5305.66,1086.49,5094.14
Dhaka Division,None,1207.75,4696.74,1556.52,7025.98,1491.88,6734.57
31,Bagerhat,21,36,29.00,62.00,30.47,64.40
32,Chuadanga,59,266,58.00,264.00,19.00,70.20
33,Jashore,94,349,97.00,362.00,88.66,331.73
34,Jhenaidah,75,273,72.00,262.00,68.59,256.01
35,Khulna,51,127,49.00,122.00,48.25,122.22
36,Kushtia,29,130,25.00,110.00,21.00,94.00
37,Magura,11,35,12.00,36.00,13.56,44.14
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0.00,0.00,0.00,0.00
39,Narail,0,0,0.00,0.00,0.00,0.00
40,Satkhira,115,437,149.00,460.00,121.99,467.53
Khulna Division,None,455,1653,491.00,1678.00,411.52,1450.23
41,Jamalpur,62,154,63.00,150.00,61.00,145.00
42,Mymensingh,304,940,298.00,923.00,293.00,921.00
43,Netrokona,166,529,136.00,416.00,157.00,466.00
44,Sherpur,120,427,118.00,418.00,123.00,440.00
Mymensingh Division,None,652,2050,615.00,1907.00,615.00,1907.00
45,Bogura,69.62,236.90,62.91,176.61,61.03,484.88
46,Joypurhat,27,99.36,162.31,626.43,166.16,647.19
47,Naogaon,65.40,234.96,68.49,251.91,66.83,264.74
48,Natore,25.50,88.11,23.58,81.52,25.10,86.88
49,Chapai Nawabganj,0,0,0.00,0.00,0.00,0.00
50,Pabna,237.50,740.02,212.10,1603.41,216.70,1643.93
51,Rajshahi,7.46,47.35,6.02,38.21,9.75,71.65
52,Sirajganj,55.02,215.43,74.32,247.52,61.40,236.25
Rajshahi Division,None,487.50,1662.13,609.73,3025.61,606.97,3435.52
53,Dinajpur,132,670,139.00,687.00,146.00,710.00
54,Gaibandha,42,97,46.08,116.80,46.00,117.00
55,Kurigram,166,580,170.40,589.92,161.00,560.00
56,Lalmonirhat,0,0,0.00,0.00,0.00,0.00
57,Nilphamari,44,164,44.08,162.66,45.00,162.00
58,Panchagar,110,270,113.00,281.65,110.00,275.00
59,Rangpur,43,117,47.00,130.00,49.00,132.00
60,Thakurgaon,34,64,34.70,65.25,35.00,66.00
Rangpur Divison,None,571,1962,594.26,2033.28,592.00,2022.00
61,Habiganj,234.18,573.67,249.55,431.08,218.29,423.74
62,Moulvibazar,75,168.38,29.60,116.00,30.36,106.13
63,Sunamganj,0,0,0.00,0.00,0.00,0.00
64,Sylhet,102.20,363.97,103.65,405.85,94.10,333.12
Sylhet Division,None,411.38,1106.02,382.80,952.93,342.75,862.99
BANGLADESH,None,9205.75,33987.72,9680.30,36958.68,9502.98,36977.02
