District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,40.00,69.00,40.00,69.00,49.00,76.00
2,Barishal,298.00,501.00,298.00,501.00,309.00,584.00
3,Bhola,254.00,656.00,254.00,656.00,256.00,648.00
4,Jhallokati,125.00,164.00,125.00,164.00,129.00,168.00
5,Patuakhali,84.00,159.00,84.00,159.00,91.00,149.00
6,Pirojpur,185.00,340.00,185.00,340.00,188.00,351.00
Barishal Division,None,986.00,1889.00,986.00,1889.00,1022.00,1976.00
7,Bandarban,233.20,378.42,233.20,378.42,234.40,380.00
8,Brahmanbaria,181.00,705.89,181.00,705.89,181.17,724.11
9,Chandpur,214.34,454.61,214.34,454.61,217.65,468.90
10,Chattogram,1516.20,4758.07,1516.20,4758.07,1505.54,4739.05
11,Cumilla,734.50,3207.53,734.50,3207.53,738.60,3217.00
12,Cox’s Bazar,182.44,386.74,182.44,386.74,172.03,377.14
13,Feni,268.53,272.61,268.53,272.61,269.20,511.00
14,Khagrachari,470.00,1281.00,470.00,1281.00,466.85,1292.45
15,Lakshmipur,500.70,872.67,500.70,872.67,518.00,1014.27
16,Noakhali,327.30,701.64,327.30,701.64,324.69,708.54
17,Rangamati,307.62,711.79,307.62,711.79,304.66,702.82
Chattogram Division,None,4935.83,13730.97,4935.83,13730.97,4932.79,14135.28
18,Dhaka,172.00,174.80,172.00,174.80,178.54,146.24
19,Faridpur,200.20,289.59,200.20,289.59,202.80,307.53
20,Gazipur,300.83,345.95,300.83,345.95,297.61,311.54
21,Gopalganj,328.30,788.71,328.30,788.71,339.85,817.74
22,Kishoreganj,575.38,1857.86,575.38,1857.86,570.74,1843.25
23,Madaripur,94.44,251.43,94.44,251.43,93.62,248.80
24,Manikganj,157.95,187.86,157.95,187.86,162.09,206.04
25,Munshiganj,88.45,165.44,88.45,165.44,93.95,180.92
26,Narayanganj,147.73,308.01,147.73,308.01,139.91,288.40
27,Narsingdi,232.87,425.93,232.87,425.93,242.87,441.63
28,Rajbari,210.00,391.00,210.00,391.00,221.00,459.00
29,Shariatpur,104.40,275.00,104.40,275.00,113.00,310.00
30,Tangail,865.50,1413.89,865.50,1413.89,867.26,1371.31
Dhaka Division,None,3478.05,6875.47,3478.05,6875.47,3523.24,6932.40
31,Bagerhat,217.70,259.81,217.70,259.81,225.70,273.45
32,Chuadanga,30.41,37.42,30.41,37.42,29.23,37.08
33,Jashore,672.00,3073.00,672.00,3073.00,688.00,3121.00
34,Jhenaidah,408.50,1037.37,408.50,1037.37,424.00,1064.84
35,Khulna,169.71,227.31,169.71,227.31,173.83,236.05
36,Kushtia,15.00,23.00,15.00,23.00,12.00,97.00
37,Magura,94.00,223.79,94.00,223.79,98.45,238.06
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,12.00,93.36,12.00,93.36,12.50,98.86
39,Narail,183.50,544.79,183.50,544.79,196.00,552.61
40,Satkhira,125.68,278.22,125.68,278.22,134.00,299.62
Khulna Division,None,1928.50,5798.07,1928.50,5798.07,1993.71,6018.57
41,Jamalpur,328.00,714.00,328.00,714.00,339.00,743.00
42,Mymensingh,1691.00,4836.00,1691.00,4836.00,1695.00,4879.00
43,Netrokona,203.00,621.00,203.00,621.00,206.00,612.00
44,Sherpur,295.00,948.00,295.00,948.00,298.00,965.00
Mymensingh Division,None,2517.00,7119.00,2517.00,7119.00,2538.00,7199.00
45,Bogura,363.94,1264.23,363.94,1264.23,354.42,1242.52
46,Joypurhat,1500.62,6822.58,1500.62,6822.58,1504.07,7749.32
47,Naogaon,74.20,118.29,74.20,118.29,90.51,153.81
48,Natore,183.15,460.10,183.15,460.10,185.74,478.08
49,Chapai Nawabganj,0.00,0.00,0.00,0.00,0.60,1.32
50,Pabna,87.00,482.00,87.00,482.00,83.58,465.34
51,Rajshahi,40.46,145.25,40.46,145.25,45.83,163.57
52,Sirajganj,283.35,582.83,283.35,582.83,202.89,435.09
Rajshahi Division,None,2532.72,9875.28,2532.72,9875.28,2467.64,10689.05
53,Dinajpur,181.44,312.85,181.44,312.85,186.05,316.56
54,Gaibandha,157.00,275.00,157.00,275.00,163.00,284.00
55,Kurigram,68.14,87.32,68.14,87.32,71.66,94.00
56,Lalmonirhat,142.30,192.95,142.30,192.95,143.20,190.67
57,Nilphamari,39.83,77.63,39.83,77.63,40.92,86.50
58,Panchagar,270.00,441.12,270.00,441.12,268.00,436.82
59,Rangpur,292.00,324.00,292.00,324.00,294.00,312.00
60,Thakurgaon,68.52,74.94,68.52,74.94,74.32,81.22
Rangpur Divison,None,1219.23,1785.81,1219.23,1785.81,1241.15,1801.77
61,Habiganj,240.91,578.95,240.91,578.95,262.24,735.10
62,Moulvibazar,226.40,437.83,226.40,437.83,249.19,589.09
63,Sunamganj,249.00,525.00,249.00,525.00,253.00,535.00
64,Sylhet,207.14,301.00,207.14,301.00,195.78,363.81
Sylhet Division,None,923.45,1842.78,923.45,1842.78,960.21,2223.00
BANGLADESH,None,18962.64,48609.08,18520.78,48916.38,18678.74,50975.07
