District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,13,19,10.00,15.00,11.00,15.00
2,Barishal,155,268,149.00,220.00,199.00,289.00
3,Bhola,71.05,82.77,67.50,79.11,77.00,91.00
4,Jhallokati,60,61,60.00,60.00,0.00,0.00
5,Patuakhali,65,90.95,69.00,93.30,96.00,131.00
6,Pirojpur,28,58,28.00,57.00,25.00,50.00
Barishal Division,None,392.05,579.72,383.50,524.41,408.00,576.00
7,Bandarban,0,0,0.00,0.00,0.00,0.00
8,Brahmanbaria,63.78,134.96,64.16,133.71,73.99,162.41
9,Chandpur,3.90,2.96,3.55,7.01,7.66,13.65
10,Chattogram,41.34,117.77,41.52,127.45,96.06,417.84
11,Cumilla,100.20,213.81,88.86,173.20,89.82,175.53
12,Cox’s Bazar,65.73,94.75,77.97,98.73,80.02,103.80
13,Feni,97.75,115.15,97.79,108.00,155.63,196.37
14,Khagrachari,147.20,184.48,152.70,195.82,98.00,121.50
15,Lakshmipur,105.30,237,108.70,241.16,109.20,241.98
16,Noakhali,89.60,117.64,80.21,98.84,83.56,102.84
17,Rangamati,96.45,131.12,92.20,117.39,93.21,119.89
Chattogram Division,None,811.25,1349.64,807.66,1301.31,887.15,1655.81
18,Dhaka,95.91,246.75,106.50,290.82,100.70,275.93
19,Faridpur,91.90,315.63,111.50,344.00,108.00,323.00
20,Gazipur,40.01,45.08,41.30,51.45,40.72,50.71
21,Gopalganj,55,68,51.87,64.55,49.02,61.18
22,Kishoreganj,55.54,180.13,66.29,180.00,76.29,196.20
23,Madaripur,37.06,54.15,40.47,57.90,44.18,63.66
24,Manikganj,4.15,6.32,9.10,16.41,14.80,29.57
25,Munshiganj,5.45,8.10,15.20,22.76,16.72,25.42
26,Narayanganj,549.85,700.85,70.88,118.80,68.01,122.19
27,Narsingdi,58.25,115.09,59.72,121.37,60.89,121.89
28,Rajbari,112,144,105.00,130.00,103.00,131.14
29,Shariatpur,30,46,31.00,46.50,37.00,29.00
30,Tangail,133.90,175.48,159.05,211.94,164.05,247.34
Dhaka Division,None,1269.02,2105.58,867.88,1656.50,883.38,1677.23
31,Bagerhat,120.95,114.96,107.57,85.83,84.00,81.18
32,Chuadanga,50.40,104.50,46.00,91.45,40.75,40.70
33,Jashore,0,0,0.00,0.00,0.00,0.00
34,Jhenaidah,88,117.48,87.15,115.14,91.27,122.73
35,Khulna,83.40,100.37,82.50,104.22,78.22,96.74
36,Kushtia,0,0,0.00,0.00,0.00,0.00
37,Magura,14.03,11.94,19.47,19.10,18.68,18.56
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0.00,0.00,0.00,0.00
39,Narail,50.40,59.18,52.00,65.74,53.00,66.32
40,Satkhira,56.93,67.92,75.82,89.45,117.02,132.75
Khulna Division,None,407.18,576.35,394.69,570.93,482.94,558.98
41,Jamalpur,57,91,55.00,85.00,61.00,97.00
42,Mymensingh,98,192,100.00,193.00,99.00,191.00
43,Netrokona,116,193,55.00,106.00,72.00,132.00
44,Sherpur,50,88,51.00,92.00,53.00,96.00
Mymensingh Division,None,321,564,261.00,476.00,285.00,516.00
45,Bogura,30,47,30.00,47.00,30.00,50.00
46,Joypurhat,17,23,13.00,19.00,14.00,21.00
47,Naogaon,27,47,30.00,53.00,44.00,74.00
48,Natore,66,64,60.00,93.00,61.00,95.00
49,Chapai Nawabganj,3,3,4.00,5.00,3.00,4.00
50,Pabna,85,168,85.00,216.00,87.00,273.00
51,Rajshahi,31,73,30.00,73.00,27.00,63.00
52,Sirajganj,40,113,65.00,149.00,65.00,157.00
Rajshahi Division,None,299,538,317.00,655.00,331.00,737.00
53,Dinajpur,70,204,93.45,213.05,94.00,215.00
54,Gaibandha,17,24,17.50,17.91,18.00,19.00
55,Kurigram,151,254,153.50,258.41,111.00,145.00
56,Lalmonirhat,2,4,1.50,3.02,2.00,4.00
57,Nilphamari,123,183,128.29,192.17,131.00,198.00
58,Panchagar,75,96,74.00,95.04,76.00,100.00
59,Rangpur,80,70,85.00,85.00,86.00,86.00
60,Thakurgaon,48,48,51.90,60.65,46.00,49.00
Rangpur Divison,None,566,883,605.14,925.25,564.00,816.00
61,Habiganj,46.07,53.88,44.99,57.25,56.60,68.56
62,Moulvibazar,26.18,30.27,27.10,33.56,27.94,34.92
63,Sunamganj,28,35,29.00,36.00,31.00,37.00
64,Sylhet,72.99,69.92,75.59,90.96,63.00,76.60
Sylhet Division,None,173.24,189.07,176.68,217.77,178.54,217.08
BANGLADESH,None,4238.74,6596.29,3813.55,6109.40,4020.01,6537.02
