District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,89.00,140.00,90.00,142.00,93.00,147.00
2,Barishal,335.00,478.00,302.00,426.00,302.00,426.00
3,Bhola,253.00,430.00,257.00,407.00,257.00,407.00
4,Jhallokati,199.00,208.00,206.00,245.00,206.00,245.00
5,Patuakhali,103.00,114.00,103.00,93.00,103.00,97.00
6,Pirojpur,144.00,166.00,145.00,169.00,145.00,177.00
Barishal Division,None,1123.00,1536.00,1103.00,1482.00,1106.00,1499.00
7,Bandarban,320.00,417.70,322.40,420.76,322.90,421.47
8,Brahmanbaria,201.45,334.08,196.55,314.86,156.20,324.95
9,Chandpur,90.38,60.97,99.07,172.82,92.50,146.70
10,Chattogram,1508.30,3064.82,1495.70,3061.66,1499.04,3101.37
11,Cumilla,443.10,856.88,445.70,863.30,449.54,871.03
12,Cox’s Bazar,304.45,659.88,303.64,655.41,301.26,639.04
13,Feni,119.60,130.45,119.80,133.00,120.30,203.00
14,Khagrachari,1001.10,2360.04,1032.90,2469.85,1046.70,2537.84
15,Lakshmipur,163.30,371.00,170.80,371.47,172.50,378.10
16,Noakhali,282.48,575.25,285.41,586.17,296.82,602.01
17,Rangamati,666.30,931.10,605.47,888.65,619.23,876.38
Chattogram Division,None,5100.46,9762.17,5077.44,9937.95,5076.99,10101.89
18,Dhaka,462.70,929.82,468.95,1066.01,455.80,1034.06
19,Faridpur,217.96,350.16,229.65,488.46,245.15,501.04
20,Gazipur,246.74,367.20,274.40,418.00,279.38,423.66
21,Gopalganj,203.70,468.14,211.21,487.69,207.51,488.59
22,Kishoreganj,167.23,369.82,178.36,384.81,176.44,375.85
23,Madaripur,76.28,149.63,80.10,150.70,76.43,151.46
24,Manikganj,175.36,314.68,209.81,450.66,233.84,574.16
25,Munshiganj,74.60,157.59,77.90,170.07,71.20,146.27
26,Narayanganj,147.67,173.10,134.97,190.16,133.32,188.89
27,Narsingdi,257.95,507.47,265.06,536.66,268.00,546.23
28,Rajbari,261.50,634.30,265.00,642.15,268.00,656.20
29,Shariatpur,98.00,190.00,100.00,194.00,118.00,231.00
30,Tangail,212.65,332.73,216.12,342.69,218.47,346.92
Dhaka Division,None,2602.34,4944.64,2711.53,5522.06,2751.54,5664.33
31,Bagerhat,464.30,558.58,464.50,639.59,471.10,683.57
32,Chuadanga,625.50,1475.50,614.00,1448.00,607.50,1481.10
33,Jashore,636.00,1551.32,629.00,1546.99,629.60,1561.36
34,Jhenaidah,310.00,748.81,317.00,764.99,323.50,780.65
35,Khulna,299.64,875.25,310.27,886.75,311.62,880.11
36,Kushtia,179.00,687.00,173.00,644.00,137.00,353.00
37,Magura,61.27,136.79,96.75,350.82,98.59,373.59
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,107.00,575.69,112.00,602.40,110.00,518.64
39,Narail,185.00,427.50,190.00,451.31,189.00,451.09
40,Satkhira,304.31,505.13,276.89,646.78,301.10,707.57
Khulna Division,None,3172.02,7541.57,3183.41,7981.63,3179.01,7790.68
41,Jamalpur,280.00,1211.00,285.00,1254.00,289.00,1277.00
42,Mymensingh,561.00,2542.00,566.00,2550.00,582.00,2622.00
43,Netrokona,125.00,526.00,166.00,500.00,112.00,438.00
44,Sherpur,148.00,960.00,145.00,800.00,149.00,822.00
Mymensingh Division,None,1114.00,5239.00,1162.00,5104.00,1132.00,5159.00
45,Bogura,296.00,742.00,342.00,921.00,350.00,1023.00
46,Joypurhat,95.00,158.00,94.00,209.00,98.00,175.00
47,Naogaon,165.00,198.00,185.00,357.00,196.00,431.00
48,Natore,246.00,403.00,280.00,746.00,291.00,775.00
49,Chapai Nawabganj,51.00,56.00,56.00,64.00,62.00,72.00
50,Pabna,289.00,786.00,266.00,1383.00,269.00,1441.00
51,Rajshahi,263.00,903.00,265.00,991.00,289.00,1138.00
52,Sirajganj,119.00,183.00,130.00,192.00,146.00,265.00
Rajshahi Division,None,1524.00,3429.00,1618.00,4863.00,1700.00,5320.00
53,Dinajpur,275.00,1097.00,280.70,1066.92,292.50,1121.00
54,Gaibandha,161.00,196.00,160.00,195.00,159.00,191.00
55,Kurigram,232.00,358.00,240.10,429.08,242.30,490.00
56,Lalmonirhat,179.00,228.00,178.25,229.07,181.50,234.70
57,Nilphamari,158.00,333.00,154.90,297.07,161.36,305.37
58,Panchagar,362.00,1190.00,339.00,1110.80,329.00,1070.24
59,Rangpur,355.00,512.00,354.00,500.00,359.00,512.00
60,Thakurgaon,170.00,243.00,173.60,251.14,177.00,257.00
Rangpur Divison,None,1892.00,4157.00,1880.55,4079.08,1901.66,4181.31
61,Habiganj,211.07,807.44,210.67,741.27,223.25,682.35
62,Moulvibazar,349.28,879.53,352.57,840.09,377.62,915.20
63,Sunamganj,84.00,186.00,76.00,166.00,77.00,161.00
64,Sylhet,566.04,1046.98,562.15,1178.37,522.00,1173.00
Sylhet Division,None,1210.39,2919.95,1201.39,2925.73,1199.87,2931.55
BANGLADESH,None,17738.21,39529.33,17937.32,41895.45,18047.07,42647.76
