District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0.00,0.00,0.00,0.00
2,Barishal,0,0,0.00,0.00,0.00,0.00
3,Bhola,0,0,0.00,0.00,0.00,0.00
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
Barishal Division,None,0,0,0.00,0.00,0.00,0.00
7,Bandarban,0,0,0.00,0.00,0.00,0.00
8,Brahmanbaria,7.90,35.15,8.05,36.23,8.85,39.83
9,Chandpur,0,0,0.00,0.00,0.00,0.00
10,Chattogram,8.02,10.50,7.83,10.62,7.62,9.11
11,Cumilla,54.01,67.20,51.00,69.00,61.00,102.00
12,Cox’s Bazar,5.74,5.44,6.25,5.62,7.25,6.10
13,Feni,13.85,31.98,13.89,32.00,13.95,49.00
14,Khagrachari,0,0,0.00,0.00,0.00,0.00
15,Lakshmipur,1,1.20,0.00,0.00,0.00,0.00
16,Noakhali,0,0,0.00,0.00,0.00,0.00
17,Rangamati,8.40,13.77,8.46,13.84,8.49,13.79
Chattogram Division,None,98.92,165.24,95.48,167.31,107.16,219.83
18,Dhaka,549.62,1392.61,567.55,1464.74,563.61,1448.93
19,Faridpur,181.80,277.60,198.56,315.65,210.80,410.71
20,Gazipur,87.20,129.47,85.34,131.53,87.18,143.74
21,Gopalganj,135.38,295.97,131.69,478.41,129.61,488.94
22,Kishoreganj,81.50,217.98,73.47,213.37,73.72,197.93
23,Madaripur,19.24,82.95,20.66,77.86,25.17,94.06
24,Manikganj,459.80,829.49,502.30,1343.28,505.39,1428.70
25,Munshiganj,119.55,222.50,117.35,228.35,112.51,269.02
26,Narayanganj,174.24,587.02,163.01,475.33,158.73,450.31
27,Narsingdi,84.33,171.13,89.26,190.32,93.39,203.94
28,Rajbari,673,3340,675.00,2543.84,663.50,3430.05
29,Shariatpur,36.40,75,36.40,75.00,38.00,77.00
30,Tangail,274.98,849,280.00,659.65,278.78,660.59
Dhaka Division,None,2877.04,8470.72,2940.59,8197.33,2940.39,9303.92
31,Bagerhat,75,196,78.00,216.40,81.50,231.81
32,Chuadanga,883,2505,883.00,2649.00,897.50,3118.70
33,Jashore,3077,18059,3085.00,18138.00,3116.50,18450.55
34,Jhenaidah,1761,7692,1724.50,7644.98,1749.56,7769.62
35,Khulna,105,319,101.00,278.56,101.16,279.73
36,Kushtia,562,3151,558.00,2994.00,547.00,5140.00
37,Magura,133,407,132.10,406.61,131.58,412.07
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,373,3259,383.00,3357.13,390.00,3420.43
39,Narail,230,988,233.00,999.58,242.00,1039.60
40,Satkhira,1056,3171,1065.59,3199.84,1068.74,3195.00
Khulna Division,None,8255,39747,8243.19,39884.10,8325.54,43057.51
41,Jamalpur,347,785,361.00,816.00,368.00,779.00
42,Mymensingh,363,852,375.00,965.00,379.00,992.00
43,Netrokona,0,0,0.00,0.00,0.00,0.00
44,Sherpur,279,658,276.00,650.00,272.00,685.00
Mymensingh Division,None,989,2295,1012.00,2431.00,1019.00,2456.00
45,Bogura,716.76,3693.27,727.85,4511.02,735.07,3843.26
46,Joypurhat,631.32,2235.92,653.11,5143.93,665.87,5761.20
47,Naogaon,1481.84,6494.07,1538.81,10286.09,1572.66,10555.61
48,Natore,542.21,4332.02,567.05,7317.25,570.72,7251.75
49,Chapai Nawabganj,477.16,1887.80,517.00,2096.11,491.70,2021.05
50,Pabna,2885.50,15752.18,2839.00,19930.00,2841.80,19996.00
51,Rajshahi,1796.90,10306.07,1835.02,11424.35,1887.70,11862.81
52,Sirajganj,513.19,2394.96,465.84,2181.72,485.94,2576.14
Rajshahi Division,None,9044.88,47096.29,9143.68,62890.47,9251.46,63867.82
53,Dinajpur,810,2282,880.10,2599.54,873.00,2633.48
54,Gaibandha,594,2070,312.00,1053.71,324.52,1098.56
55,Kurigram,636,1539.47,639.00,1547.49,640.50,1569.60
56,Lalmonirhat,309.25,791.48,316.50,813.10,317.00,813.22
57,Nilphamari,331.41,1127.40,324.61,1140.87,325.22,1205.73
58,Panchagar,245,516,259.00,550.70,261.00,556.23
59,Rangpur,833,2421,830.00,2422.00,837.00,2454.00
60,Thakurgaon,681.25,1542.19,688.88,1593.63,684.20,1573.72
Rangpur Divison,None,4439.91,12289.54,4250.09,11721.04,4262.44,11904.54
61,Habiganj,0,0,0.00,0.00,12.25,26.38
62,Moulvibazar,0,0,0.00,0.00,0.00,0.00
63,Sunamganj,18,95,20.00,106.00,17.00,87.00
64,Sylhet,57.20,238.80,63.90,250.00,94.00,393.00
Sylhet Division,None,75.20,333.80,83.90,356.00,123.25,506.38
BANGLADESH,None,25779.95,110397.59,25768.93,12567.25,26029.24,131316.00
