District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,41.00,78.00,40.00,78.00,53.00,81.00
2,Barishal,236.00,302.00,163.00,342.00,193.00,365.00
3,Bhola,225.00,375.00,227.00,381.00,219.11,376.59
4,Jhallokati,108.00,165.00,110.00,162.00,109.00,157.00
5,Patuakhali,81.00,92.00,79.00,90.00,106.49,119.01
6,Pirojpur,97.00,134.00,97.00,135.00,95.00,133.00
Barishal Division,None,788.00,1146.00,716.00,1188.00,775.60,1231.60
7,Bandarban,98.50,153.70,99.20,154.70,100.40,156.50
8,Brahmanbaria,56.30,96.26,53.90,90.46,54.31,91.50
9,Chandpur,281.23,569.83,404.52,750.48,380.08,671.24
10,Chattogram,305.06,598.03,304.89,597.28,333.00,611.57
11,Cumilla,262.85,421.97,261.30,427.00,271.90,428.45
12,Cox’s Bazar,42.15,133.35,43.59,133.48,44.26,118.56
13,Feni,76.35,102.42,76.95,123.30,354.20,669.08
14,Khagrachari,328.40,596.76,339.40,629.74,77.50,151.00
15,Lakshmipur,169.00,430.00,177.00,457.00,183.00,471.00
16,Noakhali,196.10,349.89,204.31,365.83,219.52,396.37
17,Rangamati,357.44,673.59,351.35,653.42,345.44,636.45
Chattogram Division,None,2173.38,4125.80,2316.41,4382.69,2363.61,4401.72
18,Dhaka,694.23,2713.29,720.25,2862.49,664.00,2695.37
19,Faridpur,233.28,485.37,246.80,556.81,287.10,652.65
20,Gazipur,253.83,421.10,284.94,481.44,287.20,490.81
21,Gopalganj,200.00,404.76,209.45,425.42,216.25,439.72
22,Kishoreganj,142.52,394.00,162.48,466.06,163.90,464.89
23,Madaripur,101.55,198.18,98.62,194.64,106.86,211.48
24,Manikganj,347.50,1191.92,382.53,1512.82,423.00,2042.48
25,Munshiganj,350.22,1050.09,342.96,1043.17,347.54,1096.51
26,Narayanganj,261.77,458.61,243.87,421.80,242.21,431.50
27,Narsingdi,169.67,259.29,176.14,283.11,184.87,298.61
28,Rajbari,241.60,388.00,260.00,429.00,267.00,450.94
29,Shariatpur,179.00,821.00,182.00,839.00,183.50,853.00
30,Tangail,836.60,1688.45,832.01,1726.03,830.23,1731.16
Dhaka Division,None,4011.77,10474.06,4142.05,11241.79,4203.66,11859.12
31,Bagerhat,215.00,426.00,209.25,410.83,211.04,405.26
32,Chuadanga,13.00,36.00,12.70,34.00,14.34,38.80
33,Jashore,351.00,1254.00,368.00,1283.00,359.90,1289.61
34,Jhenaidah,214.00,609.00,206.00,582.99,207.41,595.35
35,Khulna,170.00,347.00,157.82,359.61,178.09,382.57
36,Kushtia,94.00,135.00,94.00,194.00,73.00,289.00
37,Magura,67.00,185.00,79.20,260.49,78.07,256.90
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,22.00,64.00,25.00,73.91,33.00,123.00
39,Narail,118.00,354.00,125.30,376.47,129.00,387.59
40,Satkhira,170.00,398.00,173.01,388.80,186.57,422.65
Khulna Division,None,1434.00,3808.00,1450.28,3964.10,1470.42,4190.73
41,Jamalpur,234.00,534.00,245.00,587.00,249.00,596.00
42,Mymensingh,377.00,753.00,383.00,765.00,386.00,785.00
43,Netrokona,141.00,276.00,139.00,337.00,144.00,353.00
44,Sherpur,211.00,543.00,210.00,598.00,203.00,574.00
Mymensingh Division,None,963.00,2106.00,977.00,2287.00,982.00,2308.00
45,Bogura,24.00,84.00,40.00,161.00,49.00,201.00
46,Joypurhat,19.41,37.00,18.00,40.00,19.00,170.00
47,Naogaon,34.00,60.00,27.00,58.00,35.00,111.00
48,Natore,75.00,160.00,76.00,766.00,81.00,810.00
49,Chapai Nawabganj,163.00,423.00,170.00,467.00,193.00,573.00
50,Pabna,375.00,1466.00,358.00,2253.00,360.00,2821.00
51,Rajshahi,130.00,430.00,136.00,498.00,138.00,526.00
52,Sirajganj,372.00,1200.00,397.00,1437.00,411.00,1513.00
Rajshahi Division,None,1192.41,3860.00,1222.00,5680.00,1286.00,6725.00
53,Dinajpur,49.00,240.00,52.00,239.00,53.00,243.00
54,Gaibandha,58.00,89.00,53.55,80.00,49.00,71.00
55,Kurigram,14.00,30.00,15.84,33.61,19.00,42.00
56,Lalmonirhat,18.00,41.00,19.00,43.27,19.00,42.00
57,Nilphamari,86.00,188.00,87.24,192.10,87.00,191.00
58,Panchagar,103.00,253.00,105.00,257.98,107.00,263.00
59,Rangpur,7.00,12.00,8.00,14.00,9.00,14.00
60,Thakurgaon,90.00,112.00,105.20,162.92,100.00,127.00
Rangpur Divison,None,425.00,965.00,445.83,1022.88,443.00,993.00
61,Habiganj,17.25,29.00,19.00,32.02,23.30,52.05
62,Moulvibazar,34.17,79.78,36.59,77.83,38.06,95.43
63,Sunamganj,70.00,224.00,71.00,223.00,64.00,193.00
64,Sylhet,69.40,128.00,102.85,323.52,90.30,229.64
Sylhet Division,None,190.82,460.78,229.44,656.37,215.66,570.12
BANGLADESH,None,11178.38,26945.64,11499.01,30422.83,11739.95,32279.29
